cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_K22-M80,bin,balanced_rf,gender,statistical_parity,selection_rate,0.018906864769132586,0.9242031245724918,M,F,2,2
cohort_K22-M80,bin,balanced_rf,gender,predictive_parity,ppv,0.04507583849604785,0.0684326710816777,M,F,2,2
cohort_K22-M80,bin,balanced_rf,gender,equal_opportunity,tpr,0.25524475524475526,0.37606837606837606,M,F,2,2
cohort_K22-M80,bin,balanced_rf,gender,predictive_equality,fpr,0.013670985019427373,0.9441060104007969,M,F,2,2
cohort_K22-M80,bin,balanced_rf,gender,equalised_odds,tpr,0.25524475524475526,0.37606837606837606,M,F,2,2
cohort_K22-M80,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.0792904764391526,0.6719245174301355,80+,65-79,3,3
cohort_K22-M80,bin,balanced_rf,age_band,predictive_parity,ppv,0.13027029599314743,0.09995068222916323,40-64,80+,3,3
cohort_K22-M80,bin,balanced_rf,age_band,equal_opportunity,tpr,0.04516129032258065,0.8870967741935484,80+,40-64,3,3
cohort_K22-M80,bin,balanced_rf,age_band,predictive_equality,fpr,0.09070494801770487,0.6211888731630534,80+,65-79,3,3
cohort_K22-M80,bin,balanced_rf,age_band,equalised_odds,fpr,0.09070494801770487,0.6211888731630534,80+,65-79,3,3
cohort_K22-M80,cont,balanced_rf,gender,statistical_parity,selection_rate,0.018961292898408783,0.8567013100887148,M,F,2,2
cohort_K22-M80,cont,balanced_rf,gender,predictive_parity,ppv,0.04730867230867231,0.0664421997755331,M,F,2,2
cohort_K22-M80,cont,balanced_rf,gender,equal_opportunity,tpr,0.15034965034965034,0.3384615384615385,M,F,2,2
cohort_K22-M80,cont,balanced_rf,gender,predictive_equality,fpr,0.015892972839838593,0.8772112311911403,M,F,2,2
cohort_K22-M80,cont,balanced_rf,gender,equalised_odds,tpr,0.15034965034965034,0.3384615384615385,M,F,2,2
cohort_K22-M80,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.04130685089234312,0.7025906735751295,40-64,80+,3,3
cohort_K22-M80,cont,balanced_rf,age_band,predictive_parity,ppv,0.16038121170864533,0.05229283990345937,40-64,80+,3,3
cohort_K22-M80,cont,balanced_rf,age_band,equal_opportunity,tpr,0.2548387096774194,0.2818181818181818,40-64,80+,3,3
cohort_K22-M80,cont,balanced_rf,age_band,predictive_equality,fpr,0.038771204321039754,0.7156122322644546,40-64,65-79,3,3
cohort_K22-M80,cont,balanced_rf,age_band,equalised_odds,tpr,0.2548387096774194,0.2818181818181818,40-64,80+,3,3
