cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_K25-B96,bin,balanced_rf,gender,statistical_parity,selection_rate,0.02303293112116639,0.9180456171735243,F,M,2,2
cohort_K25-B96,bin,balanced_rf,gender,predictive_parity,ppv,0.13835042611584575,0.4138310893512852,M,F,2,2
cohort_K25-B96,bin,balanced_rf,gender,equal_opportunity,tpr,0.018675442204853954,0.9297213622291022,M,F,2,2
cohort_K25-B96,bin,balanced_rf,gender,predictive_equality,fpr,0.029576861929803078,0.8963285251945047,F,M,2,2
cohort_K25-B96,bin,balanced_rf,gender,equalised_odds,fpr,0.029576861929803078,0.8963285251945047,F,M,2,2
cohort_K25-B96,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.0635515340025449,0.7814778804083616,18-39,40-64,4,4
cohort_K25-B96,bin,balanced_rf,age_band,predictive_parity,ppv,0.08571428571428573,0.5714285714285714,80+,18-39,4,4
cohort_K25-B96,bin,balanced_rf,age_band,equal_opportunity,tpr,0.1205673758865248,0.6382978723404256,65-79,40-64,4,4
cohort_K25-B96,bin,balanced_rf,age_band,predictive_equality,fpr,0.054928297017507816,0.8068873079698939,18-39,40-64,4,4
cohort_K25-B96,bin,balanced_rf,age_band,equalised_odds,tpr,0.1205673758865248,0.6382978723404256,65-79,40-64,4,4
cohort_K25-B96,cont,balanced_rf,gender,statistical_parity,selection_rate,0.0036827551533433894,0.9671708683473389,M,F,2,2
cohort_K25-B96,cont,balanced_rf,gender,predictive_parity,ppv,0.18399311531841653,0.4400209533787323,M,F,2,2
cohort_K25-B96,cont,balanced_rf,gender,equal_opportunity,tpr,0.01966269025092554,0.8777493606138108,M,F,2,2
cohort_K25-B96,cont,balanced_rf,gender,predictive_equality,fpr,0.006698666992784638,0.9358437527451612,F,M,2,2
cohort_K25-B96,cont,balanced_rf,gender,equalised_odds,tpr,0.01966269025092554,0.8777493606138108,M,F,2,2
cohort_K25-B96,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.06725778109914968,0.4912146676852559,18-39,40-64,4,4
cohort_K25-B96,cont,balanced_rf,age_band,predictive_parity,ppv,0.27058823529411763,0.0,18-39,40-64,4,4
cohort_K25-B96,cont,balanced_rf,age_band,equal_opportunity,tpr,0.27380952380952384,0.0,18-39,40-64,4,4
cohort_K25-B96,cont,balanced_rf,age_band,predictive_equality,fpr,0.028945130355728918,0.7390269698572183,18-39,40-64,4,4
cohort_K25-B96,cont,balanced_rf,age_band,equalised_odds,tpr,0.27380952380952384,0.0,18-39,40-64,4,4
cohort_K25-B96,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.010696329813976863,0.9129500818330606,F,M,2,2
cohort_K25-B96,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.17933130699088146,0.37234042553191493,M,F,2,2
cohort_K25-B96,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.02221308103661046,0.8411764705882352,M,F,2,2
cohort_K25-B96,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.01957930781460193,0.8415008415008415,F,M,2,2
cohort_K25-B96,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.02221308103661046,0.8411764705882352,M,F,2,2
cohort_K25-B96,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.09890731352628708,0.3443566742535815,18-39,40-64,4,4
cohort_K25-B96,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.11527647610121836,0.4409090909090909,80+,40-64,4,4
cohort_K25-B96,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.20684523809523808,0.13125,18-39,40-64,4,4
cohort_K25-B96,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.08036892577494939,0.41654247391952315,18-39,40-64,4,4
cohort_K25-B96,cont_bin,balanced_rf,age_band,equalised_odds,tpr,0.20684523809523808,0.13125,18-39,40-64,4,4
cohort_K25-B96,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.0029348919054801303,0.9784116124260356,F,M,2,2
cohort_K25-B96,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.21709916589434664,0.3069526627218935,M,F,2,2
cohort_K25-B96,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.06417112299465241,0.6470588235294117,M,F,2,2
cohort_K25-B96,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.019732175614528558,0.857256601937453,F,M,2,2
cohort_K25-B96,cont_disc_bin,balanced_rf,gender,equalised_odds,tpr,0.06417112299465241,0.6470588235294117,M,F,2,2
cohort_K25-B96,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.07549837409868515,0.546304163126593,18-39,40-64,4,4
cohort_K25-B96,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.22,0.0,18-39,65-79,4,4
cohort_K25-B96,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.27380952380952384,0.0,18-39,40-64,4,4
cohort_K25-B96,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.04193500298151462,0.7209325396825397,65-79,40-64,4,4
cohort_K25-B96,cont_disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.27380952380952384,0.0,18-39,40-64,4,4
