cohort,feature_set,fold,feature,itemid,representation,importance
cohort_K25-B96,cont,0,cont_50803,50803,cont,0.0005888581915412972
cohort_K25-B96,cont,0,cont_50804,50804,cont,0.006961386096667278
cohort_K25-B96,cont,0,cont_50805,50805,cont,3.38436744560838e-05
cohort_K25-B96,cont,0,cont_50806,50806,cont,0.002891558351423725
cohort_K25-B96,cont,0,cont_50808,50808,cont,0.004000643606966541
cohort_K25-B96,cont,0,cont_50809,50809,cont,0.0025516695699404966
cohort_K25-B96,cont,0,cont_50811,50811,cont,0.0031552322425507763
cohort_K25-B96,cont,0,cont_50813,50813,cont,0.010480306530471181
cohort_K25-B96,cont,0,cont_50814,50814,cont,0.0
cohort_K25-B96,cont,0,cont_50818,50818,cont,0.007191846242975428
cohort_K25-B96,cont,0,cont_50820,50820,cont,0.00674590881303663
cohort_K25-B96,cont,0,cont_50821,50821,cont,0.006207845674699123
cohort_K25-B96,cont,0,cont_50822,50822,cont,0.00458358840533367
cohort_K25-B96,cont,0,cont_50824,50824,cont,0.004038794228139337
cohort_K25-B96,cont,0,cont_50853,50853,cont,0.0013176445872128668
cohort_K25-B96,cont,0,cont_50856,50856,cont,0.00011155972995726151
cohort_K25-B96,cont,0,cont_50861,50861,cont,0.01686871791991629
cohort_K25-B96,cont,0,cont_50862,50862,cont,0.017906295225797546
cohort_K25-B96,cont,0,cont_50863,50863,cont,0.020915602640399433
cohort_K25-B96,cont,0,cont_50866,50866,cont,8.867602229160944e-05
cohort_K25-B96,cont,0,cont_50867,50867,cont,0.0012930198132354918
cohort_K25-B96,cont,0,cont_50868,50868,cont,0.023380653418335312
cohort_K25-B96,cont,0,cont_50877,50877,cont,0.0
cohort_K25-B96,cont,0,cont_50878,50878,cont,0.0158991320613154
cohort_K25-B96,cont,0,cont_50881,50881,cont,0.0
cohort_K25-B96,cont,0,cont_50882,50882,cont,0.028023400354496547
cohort_K25-B96,cont,0,cont_50883,50883,cont,0.002075194260403603
cohort_K25-B96,cont,0,cont_50885,50885,cont,0.018046295939588734
cohort_K25-B96,cont,0,cont_50889,50889,cont,0.002108822463835707
cohort_K25-B96,cont,0,cont_50890,50890,cont,4.025157232704402e-05
cohort_K25-B96,cont,0,cont_50891,50891,cont,0.0
cohort_K25-B96,cont,0,cont_50893,50893,cont,0.02355647006532543
cohort_K25-B96,cont,0,cont_50894,50894,cont,0.0
cohort_K25-B96,cont,0,cont_50895,50895,cont,6.000148303513734e-05
cohort_K25-B96,cont,0,cont_50896,50896,cont,6.9987371424715185e-06
cohort_K25-B96,cont,0,cont_50899,50899,cont,0.0
cohort_K25-B96,cont,0,cont_50902,50902,cont,0.03267398156516303
cohort_K25-B96,cont,0,cont_50904,50904,cont,0.0011222322324448515
cohort_K25-B96,cont,0,cont_50905,50905,cont,3.604505632040049e-05
cohort_K25-B96,cont,0,cont_50906,50906,cont,3.791098130720771e-05
