cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_K25-K91,bin,balanced_rf,all,all,1729,99,0.05725853094274147,0.2949681897050318,0.5943390964863358,0.08133554057246731,0.12807881773399016,0.053486071689546305,0.552491169362335,0.3939393939393939,0.2889570552147239,0.07647058823529412
cohort_K25-K91,bin,balanced_rf,gender,F,799,33,0.04130162703379224,0.2853566958698373,0.6150407468945328,0.07497728377399615,0.11494252873563218,0.077763426884795,0.5882387847139805,0.45454545454545453,0.2780678851174935,0.06578947368421052
cohort_K25-K91,bin,balanced_rf,gender,M,930,66,0.07096774193548387,0.3032258064516129,0.5705141694725029,0.0922005241546304,0.13793103448275862,0.03632443177795808,0.5325126262626263,0.36363636363636365,0.2986111111111111,0.0851063829787234
cohort_K25-K91,bin,balanced_rf,age_band,18-39,178,5,0.028089887640449437,0.23595505617977527,0.5213872832369942,0.05322938585498259,0.0425531914893617,-0.014396198465911458,0.4815028901734104,0.2,0.23699421965317918,0.023809523809523808
cohort_K25-K91,bin,balanced_rf,age_band,40-64,785,65,0.08280254777070063,0.3273885350318471,0.5823824786324787,0.1121127662013992,0.17391304347826086,0.06619360202158495,0.5563568376068376,0.4307692307692308,0.31805555555555554,0.10894941634241245
cohort_K25-K91,bin,balanced_rf,age_band,65-79,584,29,0.04965753424657534,0.2893835616438356,0.5866107486797142,0.07113121733432728,0.10101010101010101,0.027948126550419516,0.5291705498602051,0.3448275862068966,0.2864864864864865,0.05917159763313609
cohort_K25-K91,bin,balanced_rf,age_band,80+,182,0,0.0,0.23076923076923078,,,,,,,0.23076923076923078,0.0
cohort_K25-K91,cont,balanced_rf,all,all,1729,99,0.05725853094274147,0.1341816078658184,0.7089328871537459,0.1636033992644585,0.229607250755287,0.1805124885955309,0.6324099894652042,0.3838383838383838,0.11901840490797547,0.16379310344827586
cohort_K25-K91,cont,balanced_rf,gender,F,799,33,0.04130162703379224,0.10638297872340426,0.75876256032914,0.13827869133167492,0.22033898305084745,0.19357704527917982,0.6499723079357544,0.3939393939393939,0.09399477806788512,0.15294117647058825
cohort_K25-K91,cont,balanced_rf,gender,M,930,66,0.07096774193548387,0.15806451612903225,0.6631769079685746,0.1838288951909089,0.2347417840375587,0.16722715472729088,0.6187920875420876,0.3787878787878788,0.1412037037037037,0.17006802721088435
cohort_K25-K91,cont,balanced_rf,age_band,18-39,178,5,0.028089887640449437,0.11235955056179775,0.5381502890173411,0.04392906944152477,0.08,0.04717837821234484,0.5450867052023122,0.2,0.10982658959537572,0.05
cohort_K25-K91,cont,balanced_rf,age_band,40-64,785,65,0.08280254777070063,0.2,0.6819017094017095,0.2018464795433158,0.26126126126126126,0.1849000654084097,0.6341880341880342,0.4461538461538462,0.17777777777777778,0.18471337579617833
cohort_K25-K91,cont,balanced_rf,age_band,65-79,584,29,0.04965753424657534,0.07876712328767123,0.7406958682820751,0.18005793676867415,0.21333333333333335,0.16725179527175163,0.6036968002485243,0.27586206896551724,0.06846846846846846,0.17391304347826086
cohort_K25-K91,cont,balanced_rf,age_band,80+,182,0,0.0,0.04945054945054945,,,,,,,0.04945054945054945,0.0
cohort_K25-K91,cont_bin,balanced_rf,all,all,1729,99,0.05725853094274147,0.14227877385772122,0.7138036809815951,0.1904339700746166,0.20869565217391303,0.15616189725045362,0.6174010039040714,0.36363636363636365,0.12883435582822086,0.14634146341463414
cohort_K25-K91,cont_bin,balanced_rf,gender,F,799,33,0.04130162703379224,0.10387984981226533,0.7826370757180157,0.1566753092867992,0.20689655172413793,0.17670964488003918,0.6354735342985995,0.36363636363636365,0.0926892950391645,0.14457831325301204
cohort_K25-K91,cont_bin,balanced_rf,gender,M,930,66,0.07096774193548387,0.17526881720430107,0.658179012345679,0.210635062973084,0.2096069868995633,0.13693442479713488,0.601378367003367,0.36363636363636365,0.16087962962962962,0.147239263803681
cohort_K25-K91,cont_bin,balanced_rf,age_band,18-39,178,5,0.028089887640449437,0.12921348314606743,0.5132947976878612,0.045756787330316746,0.07142857142857142,0.03587589370774112,0.5364161849710982,0.2,0.12716763005780346,0.043478260869565216
cohort_K25-K91,cont_bin,balanced_rf,age_band,40-64,785,65,0.08280254777070063,0.20636942675159237,0.6918482905982906,0.23998917943765918,0.23788546255506607,0.15518023408284373,0.6139423076923077,0.4153846153846154,0.1875,0.16666666666666666
cohort_K25-K91,cont_bin,balanced_rf,age_band,65-79,584,29,0.04965753424657534,0.08732876712328767,0.7407269338303821,0.16072356721722517,0.2,0.15265278622444312,0.5991922957440199,0.27586206896551724,0.07747747747747748,0.1568627450980392
cohort_K25-K91,cont_bin,balanced_rf,age_band,80+,182,0,0.0,0.054945054945054944,,,,,,,0.054945054945054944,0.0
cohort_K25-K91,cont_disc_bin,balanced_rf,all,all,1729,99,0.05725853094274147,0.14285714285714285,0.7038080188386937,0.15306013593507098,0.21965317919075145,0.16971860227381733,0.6278087624713391,0.3838383838383838,0.12822085889570553,0.15384615384615385
