cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_K30-K31,bin,balanced_rf,gender,statistical_parity,selection_rate,0.1543141592920354,0.6472819216182047,M,F,2,2
cohort_K30-K31,bin,balanced_rf,gender,predictive_parity,ppv,0.3115079365079365,0.2863636363636364,M,F,2,2
cohort_K30-K31,bin,balanced_rf,gender,equal_opportunity,tpr,0.1923076923076923,0.6153846153846154,M,F,2,2
cohort_K30-K31,bin,balanced_rf,gender,predictive_equality,fpr,0.11887640449438197,0.7019718309859156,M,F,2,2
cohort_K30-K31,bin,balanced_rf,gender,equalised_odds,tpr,0.1923076923076923,0.6153846153846154,M,F,2,2
cohort_K30-K31,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.08334862104812574,0.8039413118527042,65-79,40-64,3,3
cohort_K30-K31,bin,balanced_rf,age_band,predictive_parity,ppv,0.7197197197197198,0.04894179894179894,65-79,18-39,3,3
cohort_K30-K31,bin,balanced_rf,age_band,equal_opportunity,tpr,0.309090909090909,0.3928571428571429,65-79,18-39,3,3
cohort_K30-K31,bin,balanced_rf,age_band,predictive_equality,fpr,0.22043611965334078,0.4545140089934279,18-39,40-64,3,3
cohort_K30-K31,bin,balanced_rf,age_band,equalised_odds,tpr,0.309090909090909,0.3928571428571429,65-79,18-39,3,3
cohort_K30-K31,cont,balanced_rf,gender,statistical_parity,selection_rate,0.13898107177974434,0.5601478167849849,M,F,2,2
cohort_K30-K31,cont,balanced_rf,gender,predictive_parity,ppv,0.5543956043956043,0.08272727272727273,M,F,2,2
cohort_K30-K31,cont,balanced_rf,gender,equal_opportunity,tpr,0.4230769230769231,0.15384615384615385,M,F,2,2
cohort_K30-K31,cont,balanced_rf,gender,predictive_equality,fpr,0.012247191011235947,0.9394444444444445,M,F,2,2
cohort_K30-K31,cont,balanced_rf,gender,equalised_odds,tpr,0.4230769230769231,0.15384615384615385,M,F,2,2
cohort_K30-K31,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.26716163583252195,0.24905918576804653,65-79,18-39,3,3
cohort_K30-K31,cont,balanced_rf,age_band,predictive_parity,ppv,0.7297297297297297,0.0,65-79,18-39,3,3
cohort_K30-K31,cont,balanced_rf,age_band,equal_opportunity,tpr,0.4909090909090909,0.0,65-79,18-39,3,3
cohort_K30-K31,cont,balanced_rf,age_band,predictive_equality,fpr,0.1519807478711588,0.3836336336336337,65-79,40-64,3,3
cohort_K30-K31,cont,balanced_rf,age_band,equalised_odds,tpr,0.4909090909090909,0.0,65-79,18-39,3,3
cohort_K30-K31,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.13360373647984264,0.5817622162370143,M,F,2,2
cohort_K30-K31,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.4875776397515528,0.22660098522167485,M,F,2,2
cohort_K30-K31,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.29650349650349644,0.43766578249336874,M,F,2,2
cohort_K30-K31,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.011011235955056181,0.9423529411764706,M,F,2,2
cohort_K30-K31,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.29650349650349644,0.43766578249336874,M,F,2,2
cohort_K30-K31,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.2737341772151899,0.270042194092827,65-79,18-39,3,3
cohort_K30-K31,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.7692307692307693,0.0,65-79,18-39,3,3
cohort_K30-K31,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.5454545454545454,0.0,65-79,18-39,3,3
cohort_K30-K31,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.11791928915216585,0.47829647829647837,65-79,40-64,3,3
cohort_K30-K31,cont_bin,balanced_rf,age_band,equalised_odds,tpr,0.5454545454545454,0.0,65-79,18-39,3,3
cohort_K30-K31,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.21524705014749262,0.5603464507625683,M,F,2,2
cohort_K30-K31,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.4131777625257379,0.28076463560334525,M,F,2,2
cohort_K30-K31,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.3517482517482517,0.5223171889838557,M,F,2,2
cohort_K30-K31,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.07707865168539324,0.7713333333333334,M,F,2,2
cohort_K30-K31,cont_disc_bin,balanced_rf,gender,equalised_odds,tpr,0.3517482517482517,0.5223171889838557,M,F,2,2
cohort_K30-K31,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.4503407984420642,0.21940928270042198,65-79,18-39,3,3
cohort_K30-K31,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.6833333333333333,0.0,65-79,18-39,3,3
cohort_K30-K31,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.7454545454545455,0.0,65-79,18-39,3,3
cohort_K30-K31,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.25261996690568117,0.3485064011379801,65-79,18-39,3,3
cohort_K30-K31,cont_disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.7454545454545455,0.0,65-79,18-39,3,3
cohort_K30-K31,disc,balanced_rf,gender,statistical_parity,selection_rate,0.21155973451327434,0.4792375765827093,M,F,2,2
cohort_K30-K31,disc,balanced_rf,gender,predictive_parity,ppv,0.4020979020979021,0.2532467532467532,M,F,2,2
cohort_K30-K31,disc,balanced_rf,gender,equal_opportunity,tpr,0.34195804195804197,0.40293040293040294,M,F,2,2
cohort_K30-K31,disc,balanced_rf,gender,predictive_equality,fpr,0.11337078651685395,0.6262962962962962,M,F,2,2
cohort_K30-K31,disc,balanced_rf,gender,equalised_odds,tpr,0.34195804195804197,0.40293040293040294,M,F,2,2
cohort_K30-K31,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.21397273612463485,0.47016274864376134,65-79,18-39,3,3
cohort_K30-K31,disc,balanced_rf,age_band,predictive_parity,ppv,0.6523809523809524,0.1696969696969697,65-79,18-39,3,3
