cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_K44-E66,bin,balanced_rf,all,all,2292,146,0.0636998254799302,0.30846422338568935,0.49621628004953466,0.06565408591981022,0.10316529894490035,-0.004006499452561073,0.4962114925506517,0.3013698630136986,0.30894687791239517,0.06223479490806223
cohort_K44-E66,bin,balanced_rf,gender,F,1342,98,0.07302533532041729,0.3204172876304024,0.4795303169499311,0.06888553400103405,0.10227272727272728,-0.027010869685105087,0.4757776100794015,0.2755102040816326,0.32395498392282956,0.06279069767441861
cohort_K44-E66,bin,balanced_rf,gender,M,950,48,0.05052631578947368,0.29157894736842105,0.5247135994087213,0.06808302616376224,0.10461538461538461,0.03176747264886381,0.5329591648189209,0.3541666666666667,0.28824833702882485,0.061371841155234655
cohort_K44-E66,bin,balanced_rf,age_band,18-39,162,19,0.11728395061728394,0.2222222222222222,0.5042326094957674,0.16209923009582455,0.18181818181818182,0.03589130115657294,0.5231873389768127,0.2631578947368421,0.21678321678321677,0.1388888888888889
cohort_K44-E66,bin,balanced_rf,age_band,40-64,919,69,0.0750816104461371,0.29379760609357997,0.5855157715260018,0.10066687278346764,0.1710914454277286,0.07912072855159379,0.5683802216538789,0.42028985507246375,0.28352941176470586,0.10740740740740741
cohort_K44-E66,bin,balanced_rf,age_band,65-79,803,49,0.06102117061021171,0.32627646326276466,0.40429275158339195,0.053811912866216886,0.05144694533762058,-0.08863310512861199,0.413197639798625,0.16326530612244897,0.33687002652519893,0.030534351145038167
cohort_K44-E66,bin,balanced_rf,age_band,80+,408,9,0.022058823529411766,0.34068627450980393,0.411166805903648,0.022369048590866896,0.02702702702702703,-0.03754032380015696,0.4394319131161236,0.2222222222222222,0.3433583959899749,0.014388489208633094
cohort_K44-E66,cont,balanced_rf,all,all,2292,146,0.0636998254799302,0.14136125654450263,0.4691908488554686,0.05756943091736758,0.059574468085106386,-0.034042712786680154,0.4757178056658453,0.0958904109589041,0.14445479962721341,0.043209876543209874
cohort_K44-E66,cont,balanced_rf,gender,F,1342,98,0.07302533532041729,0.1557377049180328,0.4687561519784763,0.06471425548976695,0.05863192182410423,-0.04946234675325592,0.46553251525690664,0.09183673469387756,0.1607717041800643,0.0430622009569378
cohort_K44-E66,cont,balanced_rf,gender,M,950,48,0.05052631578947368,0.12105263157894737,0.4601926274944568,0.05059548819905928,0.06134969325153374,-0.011941934362323915,0.49110772357723576,0.10416666666666667,0.12195121951219512,0.043478260869565216
cohort_K44-E66,cont,balanced_rf,age_band,18-39,162,19,0.11728395061728394,0.17901234567901234,0.576370997423629,0.17255362424732132,0.20833333333333334,0.08000739411692541,0.5476628634523372,0.2631578947368421,0.16783216783216784,0.1724137931034483
cohort_K44-E66,cont,balanced_rf,age_band,40-64,919,69,0.0750816104461371,0.1425462459194777,0.48555839727195227,0.07152900060435902,0.07,-0.03349204349791114,0.4777834612105712,0.10144927536231885,0.14588235294117646,0.05343511450381679
cohort_K44-E66,cont,balanced_rf,age_band,65-79,803,49,0.06102117061021171,0.14196762141967623,0.4164726898717046,0.05046743695764565,0.024539877300613498,-0.07388177529612916,0.4461376062361284,0.04081632653061224,0.14854111405835543,0.017543859649122806
cohort_K44-E66,cont,balanced_rf,age_band,80+,408,9,0.022058823529411766,0.12254901960784313,0.43957115009746595,0.020777331955339866,0.0,-0.0561278356557346,0.43734335839599,0.0,0.12531328320802004,0.0
cohort_K44-E66,cont_bin,balanced_rf,all,all,2292,146,0.0636998254799302,0.13961605584642234,0.47249422308468125,0.05936536594267685,0.0815450643776824,-0.007133677100156265,0.49493801784779584,0.13013698630136986,0.1402609506057782,0.059375
cohort_K44-E66,cont_bin,balanced_rf,gender,F,1342,98,0.07302533532041729,0.1482861400894188,0.4685674913052038,0.06557053803511059,0.06734006734006734,-0.036523596347049,0.47505577793818493,0.10204081632653061,0.15192926045016078,0.05025125628140704
cohort_K44-E66,cont_bin,balanced_rf,gender,M,950,48,0.05052631578947368,0.12736842105263158,0.47187961936437545,0.055605710483452836,0.10650887573964497,0.0416076907198295,0.5316657427937916,0.1875,0.12416851441241686,0.0743801652892562
cohort_K44-E66,cont_bin,balanced_rf,age_band,18-39,162,19,0.11728395061728394,0.14814814814814814,0.5857563489142437,0.18680542299423092,0.23255813953488372,0.11800849691767812,0.5651453809348546,0.2631578947368421,0.13286713286713286,0.20833333333333334
cohort_K44-E66,cont_bin,balanced_rf,age_band,40-64,919,69,0.0750816104461371,0.13710554951033732,0.5062404092071611,0.07902466442957147,0.11282051282051282,0.018484196018637284,0.5120630861040069,0.15942028985507245,0.13529411764705881,0.0873015873015873
cohort_K44-E66,cont_bin,balanced_rf,age_band,65-79,803,49,0.06102117061021171,0.1444582814445828,0.40138309965896174,0.0486350416020879,0.03636363636363636,-0.060355969198918835,0.45567855789530665,0.061224489795918366,0.14986737400530503,0.02586206896551724
