cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_K44-E66,bin,balanced_rf,gender,statistical_parity,selection_rate,0.028838340261981343,0.9099975520195838,M,F,2,2
cohort_K44-E66,bin,balanced_rf,gender,predictive_parity,ppv,0.0014188565191839558,0.9774033961759592,M,F,2,2
cohort_K44-E66,bin,balanced_rf,gender,equal_opportunity,tpr,0.07865646258503406,0.7779111644657862,F,M,2,2
cohort_K44-E66,bin,balanced_rf,gender,predictive_equality,fpr,0.03570664689400471,0.8897789857663974,M,F,2,2
cohort_K44-E66,bin,balanced_rf,gender,equalised_odds,tpr,0.07865646258503406,0.7779111644657862,F,M,2,2
cohort_K44-E66,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.11846405228758172,0.6522781774580335,18-39,80+,4,4
cohort_K44-E66,bin,balanced_rf,age_band,predictive_parity,ppv,0.12450039968025581,0.10359712230215827,80+,18-39,4,4
cohort_K44-E66,bin,balanced_rf,age_band,equal_opportunity,tpr,0.2570245489500148,0.3884588318085855,65-79,40-64,4,4
cohort_K44-E66,bin,balanced_rf,age_band,predictive_equality,fpr,0.12657517920675815,0.6313613393905365,18-39,80+,4,4
cohort_K44-E66,bin,balanced_rf,age_band,equalised_odds,tpr,0.2570245489500148,0.3884588318085855,65-79,40-64,4,4
cohort_K44-E66,cont,balanced_rf,gender,statistical_parity,selection_rate,0.03468507333908542,0.7772853185595567,M,F,2,2
cohort_K44-E66,cont,balanced_rf,gender,predictive_parity,ppv,0.0004160599126274145,0.9904306220095694,F,M,2,2
cohort_K44-E66,cont,balanced_rf,gender,equal_opportunity,tpr,0.012329931972789115,0.8816326530612245,F,M,2,2
cohort_K44-E66,cont,balanced_rf,gender,predictive_equality,fpr,0.03882048466786919,0.7585365853658537,M,F,2,2
cohort_K44-E66,cont,balanced_rf,gender,equalised_odds,fpr,0.03882048466786919,0.7585365853658537,M,F,2,2
cohort_K44-E66,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.056463326071169204,0.6845841784989858,80+,18-39,4,4
cohort_K44-E66,cont,balanced_rf,age_band,predictive_parity,ppv,0.1724137931034483,0.0,80+,18-39,4,4
cohort_K44-E66,cont,balanced_rf,age_band,equal_opportunity,tpr,0.2631578947368421,0.0,80+,18-39,4,4
cohort_K44-E66,cont,balanced_rf,age_band,predictive_equality,fpr,0.042518884624147796,0.746658312447786,80+,18-39,4,4
cohort_K44-E66,cont,balanced_rf,age_band,equalised_odds,tpr,0.2631578947368421,0.0,80+,18-39,4,4
cohort_K44-E66,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.020917719036787213,0.8589367892092038,M,F,2,2
cohort_K44-E66,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.024128909007849163,0.6756002233389168,F,M,2,2
cohort_K44-E66,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.08545918367346939,0.54421768707483,F,M,2,2
cohort_K44-E66,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.027760746037743922,0.8172784758150612,M,F,2,2
cohort_K44-E66,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.08545918367346939,0.54421768707483,F,M,2,2
cohort_K44-E66,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.01579520697167755,0.8933823529411765,80+,18-39,4,4
cohort_K44-E66,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.20833333333333334,0.0,80+,18-39,4,4
cohort_K44-E66,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.2631578947368421,0.0,80+,18-39,4,4
cohort_K44-E66,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.017000241138172167,0.8865647626709574,18-39,65-79,4,4
cohort_K44-E66,cont_bin,balanced_rf,age_band,equalised_odds,tpr,0.2631578947368421,0.0,80+,18-39,4,4
cohort_K44-E66,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.04262138206918188,0.7327201180521398,M,F,2,2
cohort_K44-E66,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.011029721310095143,0.8033033033033032,M,F,2,2
cohort_K44-E66,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.01828231292517006,0.8506944444444445,M,F,2,2
cohort_K44-E66,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.04486279151011327,0.7237162740664311,M,F,2,2
cohort_K44-E66,cont_disc_bin,balanced_rf,gender,equalised_odds,fpr,0.04486279151011327,0.7237162740664311,M,F,2,2
cohort_K44-E66,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.021121773740629513,0.8653486924034869,65-79,80+,4,4
cohort_K44-E66,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.125,0.0,80+,18-39,4,4
cohort_K44-E66,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.15942028985507245,0.0,80+,40-64,4,4
cohort_K44-E66,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.022753943682736255,0.8581433823529412,40-64,80+,4,4
cohort_K44-E66,cont_disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.15942028985507245,0.0,80+,40-64,4,4
cohort_K44-E66,disc,balanced_rf,gender,statistical_parity,selection_rate,0.05109263471644837,0.768357041251778,M,F,2,2
cohort_K44-E66,disc,balanced_rf,gender,predictive_parity,ppv,0.028663756924626492,0.3939662821650399,M,F,2,2
cohort_K44-E66,disc,balanced_rf,gender,equal_opportunity,tpr,0.08035714285714285,0.4375,M,F,2,2
cohort_K44-E66,disc,balanced_rf,gender,predictive_equality,fpr,0.05152180577637405,0.7727194099793996,M,F,2,2
cohort_K44-E66,disc,balanced_rf,gender,equalised_odds,tpr,0.08035714285714285,0.4375,M,F,2,2
cohort_K44-E66,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.03451641810151698,0.843525571273123,40-64,80+,4,4
cohort_K44-E66,disc,balanced_rf,age_band,predictive_parity,ppv,0.07712418300653595,0.1259259259259259,80+,18-39,4,4
cohort_K44-E66,disc,balanced_rf,age_band,equal_opportunity,tpr,0.09667024704618689,0.3877551020408163,65-79,18-39,4,4
cohort_K44-E66,disc,balanced_rf,age_band,predictive_equality,fpr,0.033645879404393314,0.8491606080634502,40-64,80+,4,4
cohort_K44-E66,disc,balanced_rf,age_band,equalised_odds,tpr,0.09667024704618689,0.3877551020408163,65-79,18-39,4,4
cohort_K44-E66,disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.04113420660443956,0.8166043014513027,M,F,2,2
cohort_K44-E66,disc_bin,balanced_rf,gender,predictive_parity,ppv,0.0449841524420514,0.20351588911426638,M,F,2,2
cohort_K44-E66,disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.13180272108843538,0.24019607843137253,M,F,2,2
cohort_K44-E66,disc_bin,balanced_rf,gender,predictive_equality,fpr,0.03760845851662259,0.8352643577652166,M,F,2,2
cohort_K44-E66,disc_bin,balanced_rf,gender,equalised_odds,tpr,0.13180272108843538,0.24019607843137253,M,F,2,2
cohort_K44-E66,disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.029350423520877356,0.8684068923459565,40-64,80+,4,4
cohort_K44-E66,disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.06625727213962508,0.2490842490842491,80+,18-39,4,4
cohort_K44-E66,disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.1201814058956916,0.45918367346938777,65-79,80+,4,4
cohort_K44-E66,disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.024234114698510972,0.8913549239920687,40-64,80+,4,4
cohort_K44-E66,disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.1201814058956916,0.45918367346938777,65-79,80+,4,4
cohort_K44-E66,disc_imp,balanced_rf,gender,statistical_parity,selection_rate,0.05604831751509923,0.7467446393762183,M,F,2,2
