cohort,feature_set,fold,feature,itemid,representation,importance
cohort_K44-K43,cont,0,cont_50803,50803,cont,0.0006722141400242025
cohort_K44-K43,cont,0,cont_50804,50804,cont,0.005512918131290952
cohort_K44-K43,cont,0,cont_50805,50805,cont,0.0003199256105987833
cohort_K44-K43,cont,0,cont_50806,50806,cont,0.0009322545668347475
cohort_K44-K43,cont,0,cont_50808,50808,cont,0.0033977210973292027
cohort_K44-K43,cont,0,cont_50809,50809,cont,0.001456276743612992
cohort_K44-K43,cont,0,cont_50811,50811,cont,0.0006702743602503083
cohort_K44-K43,cont,0,cont_50813,50813,cont,0.007264457870814561
cohort_K44-K43,cont,0,cont_50814,50814,cont,0.0001371516348474873
cohort_K44-K43,cont,0,cont_50818,50818,cont,0.005064802587993011
cohort_K44-K43,cont,0,cont_50820,50820,cont,0.0033232956914958267
cohort_K44-K43,cont,0,cont_50821,50821,cont,0.0028621286779038197
cohort_K44-K43,cont,0,cont_50822,50822,cont,0.002871909345528805
cohort_K44-K43,cont,0,cont_50824,50824,cont,0.0017046185502229395
cohort_K44-K43,cont,0,cont_50853,50853,cont,0.00014821571990356018
cohort_K44-K43,cont,0,cont_50856,50856,cont,0.0
cohort_K44-K43,cont,0,cont_50861,50861,cont,0.020585402169025775
cohort_K44-K43,cont,0,cont_50862,50862,cont,0.010096140568126686
cohort_K44-K43,cont,0,cont_50863,50863,cont,0.012818590612334747
cohort_K44-K43,cont,0,cont_50866,50866,cont,0.0
cohort_K44-K43,cont,0,cont_50867,50867,cont,0.001386951319281786
cohort_K44-K43,cont,0,cont_50868,50868,cont,0.01889787091868171
cohort_K44-K43,cont,0,cont_50877,50877,cont,0.0
cohort_K44-K43,cont,0,cont_50878,50878,cont,0.018509554009730242
cohort_K44-K43,cont,0,cont_50881,50881,cont,0.0
cohort_K44-K43,cont,0,cont_50882,50882,cont,0.024002408055563446
cohort_K44-K43,cont,0,cont_50883,50883,cont,0.00045662208545389993
cohort_K44-K43,cont,0,cont_50885,50885,cont,0.015921716600784497
cohort_K44-K43,cont,0,cont_50889,50889,cont,0.00259802893263179
cohort_K44-K43,cont,0,cont_50890,50890,cont,0.00011428571428571426
cohort_K44-K43,cont,0,cont_50891,50891,cont,0.00017066666666666662
cohort_K44-K43,cont,0,cont_50893,50893,cont,0.027041896716678376
cohort_K44-K43,cont,0,cont_50894,50894,cont,0.0
cohort_K44-K43,cont,0,cont_50895,50895,cont,0.0
cohort_K44-K43,cont,0,cont_50896,50896,cont,0.0
cohort_K44-K43,cont,0,cont_50899,50899,cont,0.0
cohort_K44-K43,cont,0,cont_50902,50902,cont,0.022160648499128424
cohort_K44-K43,cont,0,cont_50904,50904,cont,0.0011666731440581697
cohort_K44-K43,cont,0,cont_50905,50905,cont,0.0
cohort_K44-K43,cont,0,cont_50906,50906,cont,0.0
cohort_K44-K43,cont,0,cont_50907,50907,cont,0.0009364449742359546
cohort_K44-K43,cont,0,cont_50908,50908,cont,0.00030533431096811366
cohort_K44-K43,cont,0,cont_50910,50910,cont,0.0
cohort_K44-K43,cont,0,cont_50911,50911,cont,0.003789800906168133
cohort_K44-K43,cont,0,cont_50912,50912,cont,0.03889131550699334
cohort_K44-K43,cont,0,cont_50914,50914,cont,0.0
cohort_K44-K43,cont,0,cont_50915,50915,cont,0.0
cohort_K44-K43,cont,0,cont_50916,50916,cont,0.0
cohort_K44-K43,cont,0,cont_50917,50917,cont,0.000347240395359711
cohort_K44-K43,cont,0,cont_50924,50924,cont,0.005254814937633223
cohort_K44-K43,cont,0,cont_50925,50925,cont,0.00017350844277673512
cohort_K44-K43,cont,0,cont_50927,50927,cont,0.00011709475661809877
cohort_K44-K43,cont,0,cont_50930,50930,cont,0.0001185185185185185
cohort_K44-K43,cont,0,cont_50931,50931,cont,0.0
cohort_K44-K43,cont,0,cont_50935,50935,cont,0.0019047936718959591
cohort_K44-K43,cont,0,cont_50945,50945,cont,0.0
cohort_K44-K43,cont,0,cont_50949,50949,cont,0.0003348011812822468
cohort_K44-K43,cont,0,cont_50950,50950,cont,0.0
cohort_K44-K43,cont,0,cont_50951,50951,cont,0.0
cohort_K44-K43,cont,0,cont_50952,50952,cont,0.004307445848668987
cohort_K44-K43,cont,0,cont_50953,50953,cont,0.005085029908263744
cohort_K44-K43,cont,0,cont_50954,50954,cont,0.016198761968545118
cohort_K44-K43,cont,0,cont_50956,50956,cont,0.007518661527492396
cohort_K44-K43,cont,0,cont_50957,50957,cont,0.0
cohort_K44-K43,cont,0,cont_50960,50960,cont,0.02617430612466418
cohort_K44-K43,cont,0,cont_50964,50964,cont,0.00022760942760942759
cohort_K44-K43,cont,0,cont_50965,50965,cont,0.000399563449320547
cohort_K44-K43,cont,0,cont_50966,50966,cont,0.0
cohort_K44-K43,cont,0,cont_50967,50967,cont,2.086593635889466e-06
cohort_K44-K43,cont,0,cont_50968,50968,cont,0.0
cohort_K44-K43,cont,0,cont_50969,50969,cont,0.0
cohort_K44-K43,cont,0,cont_50970,50970,cont,0.0332190392802358
cohort_K44-K43,cont,0,cont_50971,50971,cont,0.021259120712857
cohort_K44-K43,cont,0,cont_50976,50976,cont,0.00012857463524130181
cohort_K44-K43,cont,0,cont_50978,50978,cont,0.0
cohort_K44-K43,cont,0,cont_50981,50981,cont,0.0
cohort_K44-K43,cont,0,cont_50982,50982,cont,0.0
cohort_K44-K43,cont,0,cont_50983,50983,cont,0.03212918015563257
cohort_K44-K43,cont,0,cont_50986,50986,cont,0.0
cohort_K44-K43,cont,0,cont_50988,50988,cont,0.0
cohort_K44-K43,cont,0,cont_50989,50989,cont,0.0
cohort_K44-K43,cont,0,cont_50990,50990,cont,0.0
cohort_K44-K43,cont,0,cont_50992,50992,cont,0.0
cohort_K44-K43,cont,0,cont_50993,50993,cont,0.003598965920064934
cohort_K44-K43,cont,0,cont_50994,50994,cont,0.00038697046106116623
cohort_K44-K43,cont,0,cont_50995,50995,cont,0.00038293593353569974
cohort_K44-K43,cont,0,cont_50997,50997,cont,0.0
cohort_K44-K43,cont,0,cont_50998,50998,cont,0.00470413331452474
cohort_K44-K43,cont,0,cont_51000,51000,cont,0.0041548138011615
cohort_K44-K43,cont,0,cont_51001,51001,cont,0.00011849901250822908
cohort_K44-K43,cont,0,cont_51005,51005,cont,0.0
cohort_K44-K43,cont,0,cont_51006,51006,cont,0.022705711795601404
cohort_K44-K43,cont,0,cont_51007,51007,cont,0.0010799614555834184
cohort_K44-K43,cont,0,cont_51008,51008,cont,0.0
cohort_K44-K43,cont,0,cont_51009,51009,cont,0.006400113449041048
cohort_K44-K43,cont,0,cont_51010,51010,cont,0.003005680554855407
cohort_K44-K43,cont,0,cont_51070,51070,cont,0.0
cohort_K44-K43,cont,0,cont_51080,51080,cont,0.0
cohort_K44-K43,cont,0,cont_51099,51099,cont,0.0
cohort_K44-K43,cont,0,cont_51110,51110,cont,6.153846153846194e-06
cohort_K44-K43,cont,0,cont_51111,51111,cont,0.0
cohort_K44-K43,cont,0,cont_51114,51114,cont,0.00014494668042655672
cohort_K44-K43,cont,0,cont_51116,51116,cont,0.0018638996446854342
cohort_K44-K43,cont,0,cont_51117,51117,cont,0.0008932974216932791
cohort_K44-K43,cont,0,cont_51118,51118,cont,0.00015342779122306684
cohort_K44-K43,cont,0,cont_51120,51120,cont,0.0009974755648492744
cohort_K44-K43,cont,0,cont_51124,51124,cont,0.0
cohort_K44-K43,cont,0,cont_51125,51125,cont,0.0005123659867761502
cohort_K44-K43,cont,0,cont_51127,51127,cont,0.0004340709419779194
cohort_K44-K43,cont,0,cont_51130,51130,cont,0.0
cohort_K44-K43,cont,0,cont_51131,51131,cont,0.0
cohort_K44-K43,cont,0,cont_51132,51132,cont,0.0
cohort_K44-K43,cont,0,cont_51133,51133,cont,0.009636296678401737
cohort_K44-K43,cont,0,cont_51138,51138,cont,0.0
cohort_K44-K43,cont,0,cont_51139,51139,cont,0.0
cohort_K44-K43,cont,0,cont_51140,51140,cont,0.0
cohort_K44-K43,cont,0,cont_51143,51143,cont,0.00023729218814211528
