cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_K59-J69,bin,balanced_rf,all,all,16792,1196,0.07122439256788947,0.24350881372081945,0.542825088715827,0.07936884547643541,0.13093661305581836,0.029543326081437764,0.5246501118115355,0.28929765886287623,0.23999743523980507,0.08461726583516753
cohort_K59-J69,bin,balanced_rf,gender,F,9345,537,0.05746388443017657,0.24451578384162653,0.5644058558581415,0.07002412676454191,0.12331679659815734,0.04567571137242331,0.5421769315858107,0.3240223463687151,0.23966848319709355,0.07614879649890591
cohort_K59-J69,bin,balanced_rf,gender,M,7447,659,0.08849201020545186,0.24224519940915806,0.5276477591894292,0.09296699336563652,0.13966707267559886,0.01364041051487713,0.5102886196563963,0.26100151745068284,0.24042427813789038,0.09534368070953436
cohort_K59-J69,bin,balanced_rf,age_band,18-39,2404,72,0.029950083194675542,0.21547420965058237,0.571570659424433,0.04271551240981732,0.0711864406779661,0.032562121550746496,0.5392724413950829,0.2916666666666667,0.21312178387650085,0.04054054054054054
cohort_K59-J69,bin,balanced_rf,age_band,40-64,7538,525,0.06964712125232157,0.2333510214911117,0.5371860422480699,0.07370397402117579,0.10595446584938704,-0.0018596744312275556,0.4984549781697935,0.23047619047619047,0.23356623413660346,0.06878908470722
cohort_K59-J69,bin,balanced_rf,age_band,65-79,4923,375,0.07617306520414381,0.2498476538695917,0.5434849017883319,0.08816073863120445,0.15327102803738318,0.05183642621833422,0.5422981530343008,0.328,0.2434036939313984,0.1
cohort_K59-J69,bin,balanced_rf,age_band,80+,1927,224,0.11624286455630514,0.3020238713025428,0.5202478818891033,0.12664764642464815,0.20099255583126552,0.04706522192081189,0.5337102067779549,0.36160714285714285,0.29418672930123313,0.13917525773195877
cohort_K59-J69,cont,balanced_rf,all,all,16792,1196,0.07122439256788947,0.10612196283944736,0.6005361067197574,0.09210333797784782,0.11484217595701814,0.03313669664925783,0.5198404358891441,0.14297658862876253,0.10329571685047448,0.09595959595959595
cohort_K59-J69,cont,balanced_rf,gender,F,9345,537,0.05746388443017657,0.1043338683788122,0.6266265685334308,0.08264285443659611,0.1111111111111111,0.04207489662066318,0.5276332714292238,0.1564245810055866,0.10115803814713896,0.08615384615384615
cohort_K59-J69,cont,balanced_rf,gender,M,7447,659,0.08849201020545186,0.10836578487981738,0.575797309900628,0.10688722300502995,0.11869031377899045,0.02370871426709424,0.5129743374677977,0.13201820940819423,0.1060695344725987,0.10780669144981413
cohort_K59-J69,cont,balanced_rf,age_band,18-39,2404,72,0.029950083194675542,0.049500831946755405,0.5973562273680199,0.041707667399656013,0.041884816753926704,0.0049047195370905535,0.5031208309510196,0.05555555555555555,0.049313893653516294,0.03361344537815126
cohort_K59-J69,cont,balanced_rf,age_band,40-64,7538,525,0.06964712125232157,0.07986203236932873,0.5961468836786105,0.08634416397804191,0.0834072759538598,0.00975187428327246,0.5051925335940736,0.08952380952380952,0.07913874233566234,0.07807308970099668
cohort_K59-J69,cont,balanced_rf,age_band,65-79,4923,375,0.07617306520414381,0.13893967093235832,0.5598595719730285,0.09033709068169872,0.11898016997167139,0.024125482635228592,0.5157282321899737,0.168,0.13654353562005278,0.09210526315789473
cohort_K59-J69,cont,balanced_rf,age_band,80+,1927,224,0.11624286455630514,0.19564089257913855,0.5911325077594163,0.14704827781567842,0.1896838602329451,0.05377890412050459,0.5332802931801024,0.2544642857142857,0.18790369935408102,0.15119363395225463
cohort_K59-J69,cont_bin,balanced_rf,all,all,16792,1196,0.07122439256788947,0.10749166269652215,0.5964527018333318,0.0887541583198663,0.11129623458847052,0.028735404950401538,0.5173025885206823,0.13963210702341136,0.10502692998204669,0.0925207756232687
cohort_K59-J69,cont_bin,balanced_rf,gender,F,9345,537,0.05746388443017657,0.10679507758159444,0.6242480807188995,0.07933092228636203,0.10684039087947883,0.03669934707538851,0.5243519096402965,0.1527001862197393,0.10399636693914623,0.08216432865731463
cohort_K59-J69,cont_bin,balanced_rf,gender,M,7447,659,0.08849201020545186,0.10836578487981738,0.5703967011319628,0.10250229686494879,0.11596180081855388,0.020666590225138094,0.5113095679870664,0.12898330804248861,0.10636417206835592,0.10532837670384139
cohort_K59-J69,cont_bin,balanced_rf,age_band,18-39,2404,72,0.029950083194675542,0.05116472545757072,0.6042976939203354,0.04727333772054494,0.06153846153846154,0.02565390646689511,0.5165809033733562,0.08333333333333333,0.050171526586620926,0.04878048780487805
cohort_K59-J69,cont_bin,balanced_rf,age_band,40-64,7538,525,0.06964712125232157,0.0826479172194216,0.5963029204266905,0.08521925725175204,0.07491289198606271,-0.0007384538138371687,0.4996006056778907,0.08190476190476191,0.08270355054898046,0.06902086677367576
cohort_K59-J69,cont_bin,balanced_rf,age_band,65-79,4923,375,0.07617306520414381,0.1399553118017469,0.5498968044561712,0.0847248728945666,0.12030075187969924,0.025418456791255786,0.5166218117854002,0.17066666666666666,0.1374230430958663,0.09288824383164006
cohort_K59-J69,cont_bin,balanced_rf,age_band,80+,1927,224,0.11624286455630514,0.192008303061754,0.5820925257948159,0.1387479026538871,0.18181818181818182,0.04517606946298737,0.5277582627296368,0.24107142857142858,0.18555490311215503,0.14594594594594595
