cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_K70-A04,bin,balanced_rf,all,all,3798,235,0.06187467087941022,0.19352290679304898,0.48999707394557535,0.05903405987197999,0.09278350515463918,-0.001321957883540601,0.498916165554965,0.19148936170212766,0.19365703059219758,0.061224489795918366
cohort_K70-A04,bin,balanced_rf,gender,F,1026,97,0.09454191033138401,0.1968810916179337,0.49555003162695727,0.0903600303222992,0.10702341137123746,-0.025949015064461248,0.4823665841776436,0.16494845360824742,0.20021528525296017,0.07920792079207921
cohort_K70-A04,bin,balanced_rf,gender,M,2772,138,0.049783549783549784,0.19227994227994227,0.48229672179855404,0.04813224736506414,0.08643815201192251,0.010376165607788302,0.5094004819913506,0.21014492753623187,0.19134396355353075,0.054409005628517824
cohort_K70-A04,bin,balanced_rf,age_band,18-39,600,23,0.03833333333333333,0.15166666666666667,0.425325898575842,0.033234446497408976,0.017543859649122806,-0.06021828680845276,0.4437495290483008,0.043478260869565216,0.1559792027729636,0.01098901098901099
cohort_K70-A04,bin,balanced_rf,age_band,40-64,2620,174,0.06641221374045801,0.19427480916030535,0.5085971936353981,0.06769778586660752,0.11127379209370425,0.016257354442561024,0.5129157620699054,0.21839080459770116,0.19255928045789045,0.07465618860510806
cohort_K70-A04,bin,balanced_rf,age_band,65-79,546,33,0.06043956043956044,0.23992673992673993,0.4541319629038928,0.05295857968987769,0.07317073170731707,-0.034512095776845615,0.469076732234627,0.18181818181818182,0.24366471734892786,0.04580152671755725
cohort_K70-A04,bin,balanced_rf,age_band,80+,32,5,0.15625,0.125,0.362962962962963,0.14454989454989456,0.0,-0.16265001215808886,0.42592592592592593,0.0,0.14814814814814814,0.0
cohort_K70-A04,cont,balanced_rf,all,all,3798,235,0.06187467087941022,0.0631911532385466,0.5052877983530494,0.06496168723425774,0.06736842105263158,0.00516573584889367,0.5026083685156544,0.06808510638297872,0.06286836935166994,0.06666666666666667
cohort_K70-A04,cont,balanced_rf,gender,F,1026,97,0.09454191033138401,0.08674463937621832,0.47159122435164735,0.09000717736658408,0.07526881720430108,-0.016738205269592157,0.4919489973699688,0.07216494845360824,0.08826695371367062,0.07865168539325842
cohort_K70-A04,cont,balanced_rf,gender,M,2772,138,0.049783549783549784,0.05447330447330447,0.5127361812639617,0.054670550129835724,0.06228373702422145,0.010836085154500826,0.5056534944372916,0.06521739130434782,0.053910402429764616,0.059602649006622516
