cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_K70-A04,bin,balanced_rf,gender,statistical_parity,selection_rate,0.004601149337991439,0.9766298058377266,M,F,2,2
cohort_K70-A04,bin,balanced_rf,gender,predictive_parity,ppv,0.024798915163561384,0.6869136960600375,M,F,2,2
cohort_K70-A04,bin,balanced_rf,gender,equal_opportunity,tpr,0.045196473927984454,0.7849271240668326,F,M,2,2
cohort_K70-A04,bin,balanced_rf,gender,predictive_equality,fpr,0.008871321699429419,0.9556910867808068,M,F,2,2
cohort_K70-A04,bin,balanced_rf,gender,equalised_odds,tpr,0.045196473927984454,0.7849271240668326,F,M,2,2
cohort_K70-A04,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.11492673992673993,0.5209923664122137,80+,65-79,4,4
cohort_K70-A04,bin,balanced_rf,age_band,predictive_parity,ppv,0.07465618860510806,0.0,80+,40-64,4,4
cohort_K70-A04,bin,balanced_rf,age_band,equal_opportunity,tpr,0.21839080459770116,0.0,80+,40-64,4,4
cohort_K70-A04,bin,balanced_rf,age_band,predictive_equality,fpr,0.09551656920077972,0.608,80+,65-79,4,4
cohort_K70-A04,bin,balanced_rf,age_band,equalised_odds,tpr,0.21839080459770116,0.0,80+,40-64,4,4
cohort_K70-A04,cont,balanced_rf,gender,statistical_parity,selection_rate,0.03227133490291385,0.6279731504450605,M,F,2,2
cohort_K70-A04,cont,balanced_rf,gender,predictive_parity,ppv,0.01904903638663591,0.7578051087984863,M,F,2,2
cohort_K70-A04,cont,balanced_rf,gender,equal_opportunity,tpr,0.0069475571492604166,0.9037267080745343,M,F,2,2
cohort_K70-A04,cont,balanced_rf,gender,predictive_equality,fpr,0.034356551283906,0.6107654128933089,M,F,2,2
cohort_K70-A04,cont,balanced_rf,gender,equalised_odds,fpr,0.034356551283906,0.6107654128933089,M,F,2,2
cohort_K70-A04,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.09333333333333334,0.0,80+,18-39,4,4
