cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_K70-G31,bin,balanced_rf,gender,statistical_parity,selection_rate,0.07360452531157333,0.7465406522506175,F,M,2,2
cohort_K70-G31,bin,balanced_rf,gender,predictive_parity,ppv,0.023571262497093702,0.5740336134453781,M,F,2,2
cohort_K70-G31,bin,balanced_rf,gender,equal_opportunity,tpr,0.2661820699203877,0.486648865153538,M,F,2,2
cohort_K70-G31,bin,balanced_rf,gender,predictive_equality,fpr,0.08219484882418812,0.7183602992901452,F,M,2,2
cohort_K70-G31,bin,balanced_rf,gender,equalised_odds,tpr,0.2661820699203877,0.486648865153538,M,F,2,2
cohort_K70-G31,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.014029090365994257,0.9502676628036945,40-64,18-39,3,3
cohort_K70-G31,bin,balanced_rf,age_band,predictive_parity,ppv,0.05085748078060319,0.3558052434456929,18-39,65-79,3,3
cohort_K70-G31,bin,balanced_rf,age_band,equal_opportunity,tpr,0.15000000000000002,0.625,18-39,65-79,3,3
cohort_K70-G31,bin,balanced_rf,age_band,predictive_equality,fpr,0.021948359674621998,0.9224829609179536,65-79,18-39,3,3
cohort_K70-G31,bin,balanced_rf,age_band,equalised_odds,tpr,0.15000000000000002,0.625,18-39,65-79,3,3
cohort_K70-G31,cont,balanced_rf,gender,statistical_parity,selection_rate,0.04577744247409618,0.6988975862434168,F,M,2,2
cohort_K70-G31,cont,balanced_rf,gender,predictive_parity,ppv,0.03530264588619064,0.45280898876404496,M,F,2,2
cohort_K70-G31,cont,balanced_rf,gender,equal_opportunity,tpr,0.17480096919349253,0.41004672897196265,M,F,2,2
cohort_K70-G31,cont,balanced_rf,gender,predictive_equality,fpr,0.05143710339678985,0.6642300194931774,F,M,2,2
cohort_K70-G31,cont,balanced_rf,gender,equalised_odds,tpr,0.17480096919349253,0.41004672897196265,M,F,2,2
cohort_K70-G31,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.07465854300482155,0.5867584154733123,65-79,18-39,3,3
cohort_K70-G31,cont,balanced_rf,age_band,predictive_parity,ppv,0.03620981387478849,0.4568527918781726,40-64,65-79,3,3
cohort_K70-G31,cont,balanced_rf,age_band,equal_opportunity,tpr,0.11666666666666667,0.5333333333333333,65-79,18-39,3,3
cohort_K70-G31,cont,balanced_rf,age_band,predictive_equality,fpr,0.07391846007279479,0.5856497329864438,65-79,18-39,3,3
cohort_K70-G31,cont,balanced_rf,age_band,equalised_odds,tpr,0.11666666666666667,0.5333333333333333,65-79,18-39,3,3
cohort_K70-G31,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.05742124340090446,0.6297974021267679,F,M,2,2
cohort_K70-G31,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.04157972022567431,0.3228445563247326,M,F,2,2
cohort_K70-G31,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.17514710972654896,0.32443257676902537,M,F,2,2
cohort_K70-G31,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.0639417693169093,0.594795978710822,F,M,2,2
