cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_K92-I86,bin,balanced_rf,gender,statistical_parity,selection_rate,0.0023621671886907003,0.9899597098469728,M,F,2,2
cohort_K92-I86,bin,balanced_rf,gender,predictive_parity,ppv,0.016203420068519,0.6819012797074955,F,M,2,2
cohort_K92-I86,bin,balanced_rf,gender,equal_opportunity,tpr,0.19592555331991945,0.6339285714285715,F,M,2,2
cohort_K92-I86,bin,balanced_rf,gender,predictive_equality,fpr,0.0066479908275625665,0.9714312666898873,M,F,2,2
cohort_K92-I86,bin,balanced_rf,gender,equalised_odds,tpr,0.19592555331991945,0.6339285714285715,F,M,2,2
cohort_K92-I86,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.061879819583878976,0.7697720998213609,65-79,40-64,3,3
cohort_K92-I86,bin,balanced_rf,age_band,predictive_parity,ppv,0.032460204324067474,0.4570293094883259,65-79,18-39,3,3
cohort_K92-I86,bin,balanced_rf,age_band,equal_opportunity,tpr,0.1027863777089783,0.8047058823529412,40-64,65-79,3,3
cohort_K92-I86,bin,balanced_rf,age_band,predictive_equality,fpr,0.05959112222569554,0.7734347516044687,65-79,40-64,3,3
cohort_K92-I86,bin,balanced_rf,age_band,equalised_odds,tpr,0.1027863777089783,0.8047058823529412,40-64,65-79,3,3
cohort_K92-I86,cont,balanced_rf,gender,statistical_parity,selection_rate,0.0020423057684496038,0.9812317750527852,M,F,2,2
cohort_K92-I86,cont,balanced_rf,gender,predictive_parity,ppv,0.03617409795899498,0.6361311322948151,F,M,2,2
cohort_K92-I86,cont,balanced_rf,gender,equal_opportunity,tpr,0.193158953722334,0.5966386554621849,F,M,2,2
cohort_K92-I86,cont,balanced_rf,gender,predictive_equality,fpr,0.006111581102842628,0.9414887024373421,M,F,2,2
cohort_K92-I86,cont,balanced_rf,gender,equalised_odds,tpr,0.193158953722334,0.5966386554621849,F,M,2,2
cohort_K92-I86,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.0925188370745111,0.41056547347690514,65-79,40-64,3,3
cohort_K92-I86,cont,balanced_rf,age_band,predictive_parity,ppv,0.058064516129032254,0.5645161290322581,40-64,18-39,3,3
cohort_K92-I86,cont,balanced_rf,age_band,equal_opportunity,tpr,0.21604278074866307,0.603921568627451,40-64,18-39,3,3
cohort_K92-I86,cont,balanced_rf,age_band,predictive_equality,fpr,0.09111847452328851,0.3947508305647841,65-79,40-64,3,3
cohort_K92-I86,cont,balanced_rf,age_band,equalised_odds,tpr,0.21604278074866307,0.603921568627451,40-64,18-39,3,3
cohort_K92-I86,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.004046609529372663,0.965154195719291,M,F,2,2
cohort_K92-I86,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.046590322913442686,0.5598440545808967,F,M,2,2
cohort_K92-I86,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.24949698189134806,0.5338345864661654,F,M,2,2
cohort_K92-I86,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.009453166027534196,0.9155541979666335,M,F,2,2
cohort_K92-I86,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.24949698189134806,0.5338345864661654,F,M,2,2
cohort_K92-I86,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.09347363048087909,0.4305077011833331,65-79,40-64,3,3
cohort_K92-I86,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.06484210526315791,0.5261538461538461,65-79,18-39,3,3
cohort_K92-I86,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.21443850267379683,0.63710407239819,40-64,18-39,3,3
cohort_K92-I86,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.08995060956548923,0.424265706282513,65-79,40-64,3,3
cohort_K92-I86,cont_bin,balanced_rf,age_band,equalised_odds,tpr,0.21443850267379683,0.63710407239819,40-64,18-39,3,3
cohort_K92-I86,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.004666861376599232,0.9594906314654543,F,M,2,2
cohort_K92-I86,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.05510739932302047,0.47859922178988323,F,M,2,2
cohort_K92-I86,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.3171529175050302,0.4226190476190476,F,M,2,2
cohort_K92-I86,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.002172374955463352,0.9797986935494002,M,F,2,2
cohort_K92-I86,cont_disc_bin,balanced_rf,gender,equalised_odds,tpr,0.3171529175050302,0.4226190476190476,F,M,2,2
cohort_K92-I86,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.09079052505289169,0.4454290093418729,65-79,40-64,3,3
cohort_K92-I86,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.049797775530839236,0.5835095137420718,65-79,18-39,3,3
cohort_K92-I86,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.12352941176470589,0.7529411764705882,40-64,18-39,3,3
cohort_K92-I86,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.08722725851828696,0.4401284109149278,65-79,40-64,3,3
cohort_K92-I86,cont_disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.12352941176470589,0.7529411764705882,40-64,18-39,3,3
cohort_K92-I86,disc,balanced_rf,gender,statistical_parity,selection_rate,0.01626861913730071,0.8849704479099908,F,M,2,2
cohort_K92-I86,disc,balanced_rf,gender,predictive_parity,ppv,0.045583851073029744,0.5306935332708529,F,M,2,2
cohort_K92-I86,disc,balanced_rf,gender,equal_opportunity,tpr,0.35186116700201203,0.432224025974026,F,M,2,2
cohort_K92-I86,disc,balanced_rf,gender,predictive_equality,fpr,0.00894799527419092,0.9314789212744109,F,M,2,2
cohort_K92-I86,disc,balanced_rf,gender,equalised_odds,tpr,0.35186116700201203,0.432224025974026,F,M,2,2
cohort_K92-I86,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.10238853389242294,0.4643248889071912,65-79,40-64,3,3
cohort_K92-I86,disc,balanced_rf,age_band,predictive_parity,ppv,0.04994481236203091,0.6004415011037527,40-64,18-39,3,3
cohort_K92-I86,disc,balanced_rf,age_band,equal_opportunity,tpr,0.231578947368421,0.6333333333333334,40-64,65-79,3,3
cohort_K92-I86,disc,balanced_rf,age_band,predictive_equality,fpr,0.10051266020631447,0.4518581657006478,65-79,40-64,3,3
cohort_K92-I86,disc,balanced_rf,age_band,equalised_odds,tpr,0.231578947368421,0.6333333333333334,40-64,65-79,3,3
cohort_K92-I86,disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.01820511012860926,0.8795227939216209,F,M,2,2
cohort_K92-I86,disc_bin,balanced_rf,gender,predictive_parity,ppv,0.03912915563401,0.56957928802589,F,M,2,2
cohort_K92-I86,disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.3340040241448692,0.461038961038961,F,M,2,2
cohort_K92-I86,disc_bin,balanced_rf,gender,predictive_equality,fpr,0.011353536786280982,0.9191834608758362,F,M,2,2
cohort_K92-I86,disc_bin,balanced_rf,gender,equalised_odds,tpr,0.3340040241448692,0.461038961038961,F,M,2,2
cohort_K92-I86,disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.10023828094253351,0.4923830644576829,65-79,40-64,3,3
cohort_K92-I86,disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.026723786209710318,0.7230443974630022,65-79,18-39,3,3
cohort_K92-I86,disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.1962848297213622,0.6892156862745099,40-64,65-79,3,3
cohort_K92-I86,disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.09719287277274148,0.48471992045077894,65-79,40-64,3,3
cohort_K92-I86,disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.1962848297213622,0.6892156862745099,40-64,65-79,3,3
cohort_K92-I86,disc_imp,balanced_rf,gender,statistical_parity,selection_rate,0.01447178216658443,0.8969930704898446,F,M,2,2
cohort_K92-I86,disc_imp,balanced_rf,gender,predictive_parity,ppv,0.03412210845657945,0.6429081673148662,F,M,2,2
cohort_K92-I86,disc_imp,balanced_rf,gender,equal_opportunity,tpr,0.2842052313883299,0.5307308970099669,F,M,2,2
cohort_K92-I86,disc_imp,balanced_rf,gender,predictive_equality,fpr,0.00875014845547209,0.9326647052517479,F,M,2,2
cohort_K92-I86,disc_imp,balanced_rf,gender,equalised_odds,tpr,0.2842052313883299,0.5307308970099669,F,M,2,2
cohort_K92-I86,disc_imp,balanced_rf,age_band,statistical_parity,selection_rate,0.09660849176988595,0.48663200561742215,65-79,40-64,3,3
cohort_K92-I86,disc_imp,balanced_rf,age_band,predictive_parity,ppv,0.04530631260191009,0.5997942386831275,65-79,18-39,3,3
cohort_K92-I86,disc_imp,balanced_rf,age_band,equal_opportunity,tpr,0.13188854489164087,0.772192513368984,40-64,65-79,3,3
cohort_K92-I86,disc_imp,balanced_rf,age_band,predictive_equality,fpr,0.09227008440137542,0.4832422969187675,65-79,40-64,3,3
cohort_K92-I86,disc_imp,balanced_rf,age_band,equalised_odds,tpr,0.13188854489164087,0.772192513368984,40-64,65-79,3,3
