model,measure,mean_cont,std_cont,mean_disc,std_disc,mean_disc_imp,std_disc_imp,mean_bin,std_bin,mean_cont_bin,std_cont_bin,mean_disc_bin,std_disc_bin,mean_cont_disc_bin,std_cont_disc_bin
rf,auc_roc,0.7127738659993517,0.09925813238988594,0.7024564627033637,0.10004118726106015,0.7051258227451104,0.09946400780955321,0.6140651670527711,0.05039688936213914,0.7100778676491905,0.06606968453909193,0.6986477781203961,0.09754622130148581,0.7137860489786022,0.08604212457427413
rf,avg_prec,0.051684579545227316,0.022571654336728583,0.05535452420697129,0.013212810884249242,0.04826120686107656,0.01771229805287787,0.044745573320925235,0.013218402543968704,0.04283227093550048,0.010221209172387023,0.05099128555400636,0.021359168689095747,0.05070329758684983,0.018167192093830647
rf,f1,0.0,0.0,0.0,0.0,0.0,0.0,0.050779190257451125,0.0437089326153569,0.0,0.0,0.0,0.0,0.0,0.0
rf,mcc,0.0,0.0,0.0,0.0,0.0,0.0,0.030884547610203383,0.04542175175584516,0.0,0.0,0.0,0.0,0.0,0.0
rf,balanced_acc,0.5,0.0,0.5,0.0,0.5,0.0,0.5138793772780822,0.02255301356475484,0.5,0.0,0.5,0.0,0.5,0.0
balanced_rf,auc_roc,0.779753200054819,0.08441756675937033,0.7574967764890059,0.11259165132645423,0.7620052270373269,0.10806426770547727,0.7118804981669922,0.038281219203230694,0.7795812108130333,0.07418163652320386,0.7534185606869233,0.09568098068428506,0.7696465902891435,0.0982587541200554
balanced_rf,avg_prec,0.09064919500285153,0.033338930783059786,0.09287328525554037,0.04010953941627486,0.09914597980390724,0.03884047464526044,0.07408719088052337,0.017762198010146592,0.09058108679776236,0.029208290760820033,0.08815684634775234,0.029199247485616118,0.08545478682842371,0.02881803408531341
balanced_rf,f1,0.14241475107533824,0.051058766703307674,0.13322530674439975,0.04520386253873815,0.13780270836825972,0.0546387078284223,0.07867941456243514,0.01877638500330412,0.1448939903508841,0.044900155846773995,0.12798988934675942,0.0425083907585034,0.13955848661152892,0.04521474741211348
balanced_rf,mcc,0.14472063296804444,0.0680011750437212,0.1469386939195567,0.08066403814579946,0.1542177993778117,0.09260188879295857,0.07675564652836406,0.04475285567489443,0.15216205021342535,0.06500196288790487,0.14251232663970517,0.07665980742466515,0.1447620365363358,0.06620993141526832
balanced_rf,balanced_acc,0.6467781704710476,0.0659070755225251,0.6698194045821243,0.10711124512923798,0.6784047890130221,0.11775009270260552,0.6101960369606069,0.07015916457226555,0.6598467178485681,0.07055215903920858,0.6695296628372484,0.10212605341711528,0.6522477736400031,0.07334275242745222
catboost,auc_roc,0.7741266683534028,0.07132565377968214,0.7217622105204899,0.12150024885072229,0.7176937277133392,0.12106801160678189,0.6903320972719678,0.04913096715491867,0.7545369830087684,0.11007045865340212,0.7238338704533895,0.13218248446633432,0.7678471822281259,0.092515171140869
catboost,avg_prec,0.10771400524573997,0.05780812884164448,0.08093230036728156,0.03592141199360029,0.08729820427895177,0.04059100387588158,0.05721683206052044,0.0075725158180779285,0.10456687061623275,0.06113893186584331,0.10158515794878839,0.0690356400738069,0.08733206113184636,0.038694088325593186
catboost,f1,0.015384615384615385,0.034401045807689073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catboost,mcc,0.03956282840374722,0.08846517369293827,-0.0009158062130497042,0.0020478049465957934,0.0,0.0,0.0,0.0,-0.0009335200560186732,0.002087414303617165,-0.0009158062130497042,0.0020478049465957934,0.0,0.0
catboost,balanced_acc,0.504,0.008944271909999168,0.4999074074074074,0.0002070433312499715,0.5,0.0,0.5,0.0,0.4999074074074074,0.0002070433312499715,0.4999074074074074,0.0002070433312499715,0.5,0.0
