cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_K92-J96,bin,balanced_rf,gender,statistical_parity,selection_rate,0.0059773715610056954,0.9805208009129579,M,F,2,2
cohort_K92-J96,bin,balanced_rf,gender,predictive_parity,ppv,0.05624833755307518,0.7983869828669896,M,F,2,2
cohort_K92-J96,bin,balanced_rf,gender,equal_opportunity,tpr,0.039708051543235645,0.8870951787445348,M,F,2,2
cohort_K92-J96,bin,balanced_rf,gender,predictive_equality,fpr,0.005410127935883191,0.981835679056899,F,M,2,2
cohort_K92-J96,bin,balanced_rf,gender,equalised_odds,tpr,0.039708051543235645,0.8870951787445348,M,F,2,2
cohort_K92-J96,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.07956836272192591,0.7550813303635295,18-39,65-79,4,4
cohort_K92-J96,bin,balanced_rf,age_band,predictive_parity,ppv,0.12770254217153718,0.570171931227509,18-39,80+,4,4
cohort_K92-J96,bin,balanced_rf,age_band,equal_opportunity,tpr,0.10066371681415931,0.7315634218289085,18-39,65-79,4,4
cohort_K92-J96,bin,balanced_rf,age_band,predictive_equality,fpr,0.0712358273608173,0.771212352851246,18-39,40-64,4,4
cohort_K92-J96,bin,balanced_rf,age_band,equalised_odds,tpr,0.10066371681415931,0.7315634218289085,18-39,65-79,4,4
cohort_K92-J96,cont,balanced_rf,gender,statistical_parity,selection_rate,0.039934037527298655,0.7996230152391297,F,M,2,2
cohort_K92-J96,cont,balanced_rf,gender,predictive_parity,ppv,0.05110977460835697,0.8319902090001883,M,F,2,2
cohort_K92-J96,cont,balanced_rf,gender,equal_opportunity,tpr,0.03565862347276724,0.8481391489866066,F,M,2,2
cohort_K92-J96,cont,balanced_rf,gender,predictive_equality,fpr,0.04302011733427408,0.7730739782320045,F,M,2,2
cohort_K92-J96,cont,balanced_rf,gender,equalised_odds,fpr,0.04302011733427408,0.7730739782320045,F,M,2,2
cohort_K92-J96,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.11643856268106564,0.43909730753635645,18-39,40-64,4,4
cohort_K92-J96,cont,balanced_rf,age_band,predictive_parity,ppv,0.05300983986108426,0.828922789539228,65-79,80+,4,4
cohort_K92-J96,cont,balanced_rf,age_band,equal_opportunity,tpr,0.08741849091755938,0.6456637168141593,18-39,65-79,4,4
cohort_K92-J96,cont,balanced_rf,age_band,predictive_equality,fpr,0.12251764978891655,0.39199185011294685,18-39,40-64,4,4
cohort_K92-J96,cont,balanced_rf,age_band,equalised_odds,fpr,0.12251764978891655,0.39199185011294685,18-39,40-64,4,4
cohort_K92-J96,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.02604116924213193,0.8607043116953886,F,M,2,2
cohort_K92-J96,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.03788098693759073,0.8768867924528301,M,F,2,2
cohort_K92-J96,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.031421335337174006,0.8661846627948324,F,M,2,2
cohort_K92-J96,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.026615183635672113,0.8469111142816379,F,M,2,2
cohort_K92-J96,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.031421335337174006,0.8661846627948324,F,M,2,2
cohort_K92-J96,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.11530537122698753,0.43041281898520506,18-39,40-64,4,4
cohort_K92-J96,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.1020979020979021,0.7192307692307692,18-39,80+,4,4
cohort_K92-J96,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.1028469958081043,0.5939547178485233,18-39,65-79,4,4
cohort_K92-J96,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.11939974354626134,0.38841224607976105,18-39,40-64,4,4
cohort_K92-J96,cont_bin,balanced_rf,age_band,equalised_odds,fpr,0.11939974354626134,0.38841224607976105,18-39,40-64,4,4
cohort_K92-J96,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.03282842753360202,0.8210219383504582,F,M,2,2
cohort_K92-J96,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.029373024236037937,0.9047008547008547,M,F,2,2
cohort_K92-J96,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.047417271993543175,0.8008474576271186,F,M,2,2
cohort_K92-J96,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.03076763367306254,0.8173633265167007,F,M,2,2
cohort_K92-J96,cont_disc_bin,balanced_rf,gender,equalised_odds,tpr,0.047417271993543175,0.8008474576271186,F,M,2,2
cohort_K92-J96,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.1266397983874007,0.3550135327954341,18-39,40-64,4,4
cohort_K92-J96,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.1274397244546498,0.6442307692307693,18-39,80+,4,4
cohort_K92-J96,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.16683162552398695,0.3889540462735899,18-39,65-79,4,4
cohort_K92-J96,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.1270160030703046,0.3322227957392896,18-39,40-64,4,4
cohort_K92-J96,cont_disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.16683162552398695,0.3889540462735899,18-39,65-79,4,4
cohort_K92-J96,disc,balanced_rf,gender,statistical_parity,selection_rate,0.029071877447328698,0.8626353790613719,F,M,2,2
cohort_K92-J96,disc,balanced_rf,gender,predictive_parity,ppv,0.04943502824858759,0.8349056603773585,M,F,2,2
cohort_K92-J96,disc,balanced_rf,gender,equal_opportunity,tpr,0.021729147532771137,0.9117796610169492,F,M,2,2
cohort_K92-J96,disc,balanced_rf,gender,predictive_equality,fpr,0.03310384616091294,0.8362463076573506,F,M,2,2
cohort_K92-J96,disc,balanced_rf,gender,equalised_odds,fpr,0.03310384616091294,0.8362463076573506,F,M,2,2
cohort_K92-J96,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.1437595322507293,0.3700557662770918,18-39,40-64,4,4
cohort_K92-J96,disc,balanced_rf,age_band,predictive_parity,ppv,0.10944026733500417,0.6534391534391535,18-39,80+,4,4
cohort_K92-J96,disc,balanced_rf,age_band,equal_opportunity,tpr,0.13824522589659988,0.45420066659004715,18-39,65-79,4,4
cohort_K92-J96,disc,balanced_rf,age_band,predictive_equality,fpr,0.1413500415026642,0.3584882731802163,18-39,40-64,4,4
cohort_K92-J96,disc,balanced_rf,age_band,equalised_odds,fpr,0.1413500415026642,0.3584882731802163,18-39,40-64,4,4
cohort_K92-J96,disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.032762210379538914,0.8474862620262844,F,M,2,2
cohort_K92-J96,disc_bin,balanced_rf,gender,predictive_parity,ppv,0.05069379515017888,0.8311800972828949,M,F,2,2
cohort_K92-J96,disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.025013219782360624,0.8997825602140946,F,M,2,2
cohort_K92-J96,disc_bin,balanced_rf,gender,predictive_equality,fpr,0.03693016350731365,0.8201169716252075,F,M,2,2
cohort_K92-J96,disc_bin,balanced_rf,gender,equalised_odds,fpr,0.03693016350731365,0.8201169716252075,F,M,2,2
cohort_K92-J96,disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.1286109484887849,0.4387407687626441,18-39,40-64,4,4
cohort_K92-J96,disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.09942028985507248,0.695111111111111,18-39,80+,4,4
cohort_K92-J96,disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.11929436422915696,0.5577379667601986,18-39,65-79,4,4
cohort_K92-J96,disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.13436152836907916,0.40545023696682464,18-39,40-64,4,4
cohort_K92-J96,disc_bin,balanced_rf,age_band,equalised_odds,fpr,0.13436152836907916,0.40545023696682464,18-39,40-64,4,4
cohort_K92-J96,disc_imp,balanced_rf,gender,statistical_parity,selection_rate,0.03384460616710919,0.848660160120261,F,M,2,2
cohort_K92-J96,disc_imp,balanced_rf,gender,predictive_parity,ppv,0.05171615690577422,0.8253986629236246,M,F,2,2
cohort_K92-J96,disc_imp,balanced_rf,gender,equal_opportunity,tpr,0.02358339595335507,0.9073400765445597,F,M,2,2
cohort_K92-J96,disc_imp,balanced_rf,gender,predictive_equality,fpr,0.03863340296955298,0.8204635594776097,F,M,2,2
cohort_K92-J96,disc_imp,balanced_rf,gender,equalised_odds,fpr,0.03863340296955298,0.8204635594776097,F,M,2,2
cohort_K92-J96,disc_imp,balanced_rf,age_band,statistical_parity,selection_rate,0.1458952589380162,0.3810328378255934,18-39,40-64,4,4
cohort_K92-J96,disc_imp,balanced_rf,age_band,predictive_parity,ppv,0.16556108347153126,0.4741000877963125,18-39,80+,4,4
cohort_K92-J96,disc_imp,balanced_rf,age_band,equal_opportunity,tpr,0.18792718900640334,0.32014575741801143,18-39,80+,4,4
cohort_K92-J96,disc_imp,balanced_rf,age_band,predictive_equality,fpr,0.13594130720004283,0.3984597156398104,18-39,40-64,4,4
cohort_K92-J96,disc_imp,balanced_rf,age_band,equalised_odds,tpr,0.18792718900640334,0.32014575741801143,18-39,80+,4,4
