cohort,feature_set,fold,feature,itemid,representation,importance
cohort_K92-J96,cont,0,cont_50803,50803,cont,0.0005284939367230996
cohort_K92-J96,cont,0,cont_50804,50804,cont,0.0054756534579509745
cohort_K92-J96,cont,0,cont_50805,50805,cont,6.248874800752414e-05
cohort_K92-J96,cont,0,cont_50806,50806,cont,0.0016654721363123302
cohort_K92-J96,cont,0,cont_50808,50808,cont,0.0032095970017541595
cohort_K92-J96,cont,0,cont_50809,50809,cont,0.002077723499669798
cohort_K92-J96,cont,0,cont_50811,50811,cont,0.0022171871617488836
cohort_K92-J96,cont,0,cont_50813,50813,cont,0.007614296846552821
cohort_K92-J96,cont,0,cont_50814,50814,cont,4.297642927727053e-05
cohort_K92-J96,cont,0,cont_50818,50818,cont,0.005785011179685282
cohort_K92-J96,cont,0,cont_50820,50820,cont,0.00645091189543372
cohort_K92-J96,cont,0,cont_50821,50821,cont,0.005165328759308578
cohort_K92-J96,cont,0,cont_50822,50822,cont,0.004120377466810206
cohort_K92-J96,cont,0,cont_50824,50824,cont,0.0018308563474645362
cohort_K92-J96,cont,0,cont_50853,50853,cont,0.0010526260784847466
cohort_K92-J96,cont,0,cont_50856,50856,cont,0.00013067606480335247
cohort_K92-J96,cont,0,cont_50861,50861,cont,0.020391955899657904
cohort_K92-J96,cont,0,cont_50862,50862,cont,0.016650625786472226
cohort_K92-J96,cont,0,cont_50863,50863,cont,0.020858885235709817
cohort_K92-J96,cont,0,cont_50866,50866,cont,0.00014547898162030012
cohort_K92-J96,cont,0,cont_50867,50867,cont,0.0020572516028312744
cohort_K92-J96,cont,0,cont_50868,50868,cont,0.022139119942931263
cohort_K92-J96,cont,0,cont_50877,50877,cont,1.2996653016600664e-05
cohort_K92-J96,cont,0,cont_50878,50878,cont,0.018966508800603157
cohort_K92-J96,cont,0,cont_50881,50881,cont,0.00017415278513413643
cohort_K92-J96,cont,0,cont_50882,50882,cont,0.023186590793558136
cohort_K92-J96,cont,0,cont_50883,50883,cont,0.002916267330966114
cohort_K92-J96,cont,0,cont_50885,50885,cont,0.018819766179324376
cohort_K92-J96,cont,0,cont_50889,50889,cont,0.002680594493931123
cohort_K92-J96,cont,0,cont_50890,50890,cont,0.00033223046601569455
cohort_K92-J96,cont,0,cont_50891,50891,cont,0.00022917482090010238
cohort_K92-J96,cont,0,cont_50893,50893,cont,0.021934033336112078
cohort_K92-J96,cont,0,cont_50894,50894,cont,7.598398113816125e-06
cohort_K92-J96,cont,0,cont_50895,50895,cont,0.0
cohort_K92-J96,cont,0,cont_50896,50896,cont,7.3541083139460126e-06
cohort_K92-J96,cont,0,cont_50899,50899,cont,4.395769521590158e-05
cohort_K92-J96,cont,0,cont_50902,50902,cont,0.027138875369742757
cohort_K92-J96,cont,0,cont_50904,50904,cont,0.001391251221244582
cohort_K92-J96,cont,0,cont_50905,50905,cont,7.890584505301884e-05
cohort_K92-J96,cont,0,cont_50906,50906,cont,4.754944603712319e-05
cohort_K92-J96,cont,0,cont_50907,50907,cont,0.0016690717910095964
cohort_K92-J96,cont,0,cont_50908,50908,cont,0.0003884980579916885
