cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_L02-A49,bin,balanced_rf,all,all,2619,16,0.0061092019854906456,0.3127147766323024,0.627641183250096,0.012697674703213367,0.02155688622754491,0.04224224055152336,0.625660295812524,0.5625,0.311179408374952,0.01098901098901099
cohort_L02-A49,bin,balanced_rf,gender,F,1137,8,0.007036059806508356,0.2911169744942832,0.6696191319751993,0.018541302434621484,0.029498525073746312,0.06186874545173824,0.6681244464127547,0.625,0.2887511071744907,0.015105740181268883
cohort_L02-A49,bin,balanced_rf,gender,M,1482,8,0.005398110661268556,0.3292847503373819,0.590188263229308,0.012348672801105102,0.016129032258064516,0.02676169826114865,0.585820895522388,0.5,0.3283582089552239,0.00819672131147541
cohort_L02-A49,bin,balanced_rf,age_band,18-39,636,0,0.0,0.37264150943396224,,,,,,,0.37264150943396224,0.0
cohort_L02-A49,bin,balanced_rf,age_band,40-64,1351,10,0.007401924500370096,0.30495928941524797,0.6924310216256525,0.017554080287739617,0.03317535545023697,0.07409713391168839,0.6989932885906041,0.7,0.30201342281879195,0.01699029126213592
cohort_L02-A49,bin,balanced_rf,age_band,65-79,512,5,0.009765625,0.26953125,0.5581854043392507,0.03238404684211405,0.027972027972027972,0.029199952210912976,0.5658777120315581,0.4,0.2682445759368836,0.014492753623188406
cohort_L02-A49,bin,balanced_rf,age_band,80+,120,1,0.008333333333333333,0.26666666666666666,0.5882352941176471,0.02,0.0,-0.05527899928227821,0.36554621848739494,0.0,0.2689075630252101,0.0
cohort_L02-A49,cont,balanced_rf,all,all,2619,16,0.0061092019854906456,0.22833142420771288,0.6357087975412985,0.009899786795500059,0.02280130293159609,0.039067992555903576,0.6052271417595083,0.4375,0.22704571648098348,0.011705685618729096
cohort_L02-A49,cont,balanced_rf,gender,F,1137,8,0.007036059806508356,0.2040457343887423,0.6898804251550045,0.016128834827903095,0.025,0.03570837992373203,0.5860828166519043,0.375,0.20283436669619131,0.01293103448275862
cohort_L02-A49,cont,balanced_rf,gender,M,1482,8,0.005398110661268556,0.24696356275303644,0.5873897557666214,0.008171436781023392,0.0213903743315508,0.043226978439571136,0.6272048846675713,0.5,0.24559023066485752,0.01092896174863388
cohort_L02-A49,cont,balanced_rf,age_band,18-39,636,0,0.0,0.2940251572327044,,,,,,,0.2940251572327044,0.0
cohort_L02-A49,cont,balanced_rf,age_band,40-64,1351,10,0.007401924500370096,0.20799407846039972,0.718717375093214,0.018759344353765035,0.03436426116838488,0.062128028127842634,0.6470917225950783,0.5,0.2058165548098434,0.017793594306049824
cohort_L02-A49,cont,balanced_rf,age_band,65-79,512,5,0.009765625,0.205078125,0.5412228796844181,0.016227286472998384,0.03636363636363636,0.04794239322044569,0.598422090729783,0.4,0.20315581854043394,0.01904761904761905
cohort_L02-A49,cont,balanced_rf,age_band,80+,120,1,0.008333333333333333,0.20833333333333334,0.46218487394957986,0.015384615384615385,0.0,-0.04702564066699708,0.3949579831932773,0.0,0.21008403361344538,0.0
cohort_L02-A49,cont_bin,balanced_rf,all,all,2619,16,0.0061092019854906456,0.24436807941962582,0.6388301959277757,0.009837535105476053,0.018292682926829267,0.023833884675152055,0.5657174414137534,0.375,0.24356511717249327,0.009375
cohort_L02-A49,cont_bin,balanced_rf,gender,F,1137,8,0.007036059806508356,0.22251539138082674,0.7118578387953941,0.016823242988423665,0.022988505747126436,0.030860155033765692,0.5767825509300266,0.375,0.22143489813994685,0.011857707509881422
cohort_L02-A49,cont_bin,balanced_rf,gender,M,1482,8,0.005398110661268556,0.2611336032388664,0.5712347354138398,0.007704665525159277,0.015189873417721518,0.019097542761765906,0.557242198100407,0.375,0.26051560379918587,0.007751937984496124
cohort_L02-A49,cont_bin,balanced_rf,age_band,18-39,636,0,0.0,0.2971698113207547,,,,,,,0.2971698113207547,0.0
cohort_L02-A49,cont_bin,balanced_rf,age_band,40-64,1351,10,0.007401924500370096,0.22575869726128794,0.7360924683072334,0.018899555013314046,0.031746031746031744,0.05664454092998418,0.6381431767337807,0.5,0.22371364653243847,0.01639344262295082
cohort_L02-A49,cont_bin,balanced_rf,age_band,65-79,512,5,0.009765625,0.23046875,0.510059171597633,0.0136781064846615,0.016260162601626018,-0.007184830157562101,0.48461538461538467,0.2,0.23076923076923078,0.00847457627118644
cohort_L02-A49,cont_bin,balanced_rf,age_band,80+,120,1,0.008333333333333333,0.23333333333333334,0.4957983193277311,0.01639344262295082,0.0,-0.05057217374241737,0.38235294117647056,0.0,0.23529411764705882,0.0
cohort_L02-A49,cont_disc_bin,balanced_rf,all,all,2619,16,0.0061092019854906456,0.25925925925925924,0.646369573568959,0.009812987977389059,0.02014388489208633,0.03188817259246721,0.5896681713407607,0.4375,0.2581636573184787,0.010309278350515464
cohort_L02-A49,cont_disc_bin,balanced_rf,gender,F,1137,8,0.007036059806508356,0.23043095866314864,0.72957263064659,0.015964407622846517,0.022222222222222223,0.028898753873360036,0.5727967227635076,0.375,0.22940655447298494,0.011450381679389313
cohort_L02-A49,cont_disc_bin,balanced_rf,gender,M,1482,8,0.005398110661268556,0.2813765182186235,0.570429104477612,0.007799687808234059,0.018823529411764704,0.03581776069802039,0.6099050203527816,0.5,0.2801899592944369,0.009592326139088728
cohort_L02-A49,cont_disc_bin,balanced_rf,age_band,18-39,636,0,0.0,0.300314465408805,,,,,,,0.300314465408805,0.0
cohort_L02-A49,cont_disc_bin,balanced_rf,age_band,40-64,1351,10,0.007401924500370096,0.2472242783123612,0.744034302759135,0.017815022739987516,0.029069767441860465,0.05059907868576929,0.627330350484713,0.5,0.2453392990305742,0.014970059880239521
cohort_L02-A49,cont_disc_bin,balanced_rf,age_band,65-79,512,5,0.009765625,0.2421875,0.5209072978303747,0.015448196603312323,0.031007751937984496,0.03658185111751691,0.5796844181459566,0.4,0.2406311637080868,0.016129032258064516
cohort_L02-A49,cont_disc_bin,balanced_rf,age_band,80+,120,1,0.008333333333333333,0.25,0.5294117647058824,0.017543859649122806,0.0,-0.05292561240249632,0.3739495798319328,0.0,0.25210084033613445,0.0
