cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_L02-A49,bin,balanced_rf,gender,statistical_parity,selection_rate,0.03816777584309872,0.8840888446732125,F,M,2,2
cohort_L02-A49,bin,balanced_rf,gender,predictive_parity,ppv,0.006909018869793473,0.5426229508196722,M,F,2,2
cohort_L02-A49,bin,balanced_rf,gender,equal_opportunity,tpr,0.125,0.8,M,F,2,2
cohort_L02-A49,bin,balanced_rf,gender,predictive_equality,fpr,0.03960710178073318,0.8793783718495853,F,M,2,2
cohort_L02-A49,bin,balanced_rf,gender,equalised_odds,tpr,0.125,0.8,M,F,2,2
cohort_L02-A49,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.03542803941524797,0.8838269872572816,65-79,40-64,2,2
cohort_L02-A49,bin,balanced_rf,age_band,predictive_parity,ppv,0.0024975376389475158,0.8530020703933748,65-79,40-64,2,2
cohort_L02-A49,bin,balanced_rf,age_band,equal_opportunity,tpr,0.29999999999999993,0.5714285714285715,65-79,40-64,2,2
cohort_L02-A49,bin,balanced_rf,age_band,predictive_equality,fpr,0.03376884688190834,0.8881875958799035,65-79,40-64,2,2
cohort_L02-A49,bin,balanced_rf,age_band,equalised_odds,tpr,0.29999999999999993,0.5714285714285715,65-79,40-64,2,2
cohort_L02-A49,cont,balanced_rf,gender,statistical_parity,selection_rate,0.04291782836429414,0.8262179736724483,F,M,2,2
cohort_L02-A49,cont,balanced_rf,gender,predictive_parity,ppv,0.0020020727341247407,0.8451730418943534,M,F,2,2
cohort_L02-A49,cont,balanced_rf,gender,equal_opportunity,tpr,0.125,0.75,F,M,2,2
cohort_L02-A49,cont,balanced_rf,gender,predictive_equality,fpr,0.04275586396866621,0.8259056809673646,F,M,2,2
cohort_L02-A49,cont,balanced_rf,gender,equalised_odds,tpr,0.125,0.75,F,M,2,2
cohort_L02-A49,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.0029159534603997173,0.98598059386121,65-79,40-64,2,2
cohort_L02-A49,cont,balanced_rf,age_band,predictive_parity,ppv,0.0012540247415692256,0.9341637010676157,40-64,65-79,2,2
cohort_L02-A49,cont,balanced_rf,age_band,equal_opportunity,tpr,0.09999999999999998,0.8,65-79,40-64,2,2
cohort_L02-A49,cont,balanced_rf,age_band,predictive_equality,fpr,0.002660736269409464,0.9870722922562388,65-79,40-64,2,2
cohort_L02-A49,cont,balanced_rf,age_band,equalised_odds,tpr,0.09999999999999998,0.8,65-79,40-64,2,2
cohort_L02-A49,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.03861821185803968,0.8521132042025458,F,M,2,2
cohort_L02-A49,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.004105769525385298,0.6537467700258398,M,F,2,2
cohort_L02-A49,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.0,1.0,F,F,2,2
cohort_L02-A49,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.03908070565923902,0.8499870829642752,F,M,2,2
cohort_L02-A49,cont_bin,balanced_rf,gender,equalised_odds,fpr,0.03908070565923902,0.8499870829642752,F,M,2,2
cohort_L02-A49,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.004710052738712056,0.9795631609981308,40-64,65-79,2,2
cohort_L02-A49,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.00791886635176438,0.5169491525423728,65-79,40-64,2,2
