cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_L02-I87,bin,balanced_rf,all,all,2796,95,0.033977110157367665,0.27968526466380544,0.5578927882460687,0.04610971707922005,0.0661345496009122,0.010687308308916127,0.5132387614723591,0.30526315789473685,0.2787856349500185,0.0370843989769821
cohort_L02-I87,bin,balanced_rf,gender,F,1219,30,0.02461033634126333,0.25676784249384743,0.47970283151107374,0.026326444177327803,0.052478134110787174,0.015719692546884552,0.522161480235492,0.3,0.255677039529016,0.02875399361022364
cohort_L02-I87,bin,balanced_rf,gender,M,1577,65,0.04121750158528852,0.2974001268230818,0.5865791615791616,0.06794953129349798,0.0749063670411985,0.004668351883711752,0.5053673178673179,0.3076923076923077,0.296957671957672,0.042643923240938165
cohort_L02-I87,bin,balanced_rf,age_band,18-39,725,13,0.01793103448275862,0.3406896551724138,0.6211106309420917,0.13000308394266397,0.05384615384615385,0.05638606791646766,0.6006914433880726,0.5384615384615384,0.33707865168539325,0.02834008097165992
cohort_L02-I87,bin,balanced_rf,age_band,40-64,1421,57,0.04011259676284307,0.2674173117522871,0.549589700056593,0.05711727697694505,0.06407322654462243,-0.010069987308070946,0.48864279466995936,0.24561403508771928,0.26832844574780057,0.03684210526315789
cohort_L02-I87,bin,balanced_rf,age_band,65-79,511,21,0.0410958904109589,0.2465753424657534,0.5990767735665694,0.054228095821576575,0.10884353741496598,0.06454192817224401,0.5700680272108843,0.38095238095238093,0.24081632653061225,0.06349206349206349
cohort_L02-I87,bin,balanced_rf,age_band,80+,139,4,0.02877697841726619,0.20863309352517986,0.4388888888888889,0.030579589240859434,0.0,-0.0883823953706156,0.3925925925925926,0.0,0.21481481481481482,0.0
cohort_L02-I87,cont,balanced_rf,all,all,2796,95,0.033977110157367665,0.18276108726752505,0.6958572848262827,0.06876973905419846,0.09570957095709572,0.059446536263070435,0.5634053664334847,0.30526315789473685,0.17845242502776748,0.05675146771037182
cohort_L02-I87,cont,balanced_rf,gender,F,1219,30,0.02461033634126333,0.14273995077932733,0.7233249229044014,0.04986092640131696,0.10784313725490197,0.10168257766011772,0.6147883375385478,0.36666666666666664,0.13708999158957108,0.06321839080459771
cohort_L02-I87,cont,balanced_rf,gender,M,1577,65,0.04121750158528852,0.2136968928344959,0.6734686609686609,0.0868444284599351,0.08955223880597014,0.03198038255378836,0.5329721204721205,0.27692307692307694,0.210978835978836,0.05341246290801187
cohort_L02-I87,cont,balanced_rf,age_band,18-39,725,13,0.01793103448275862,0.24275862068965517,0.7714455488331893,0.17955981790447517,0.09523809523809523,0.14167860919427092,0.7288785652549697,0.6923076923076923,0.2345505617977528,0.05113636363636364
cohort_L02-I87,cont,balanced_rf,age_band,40-64,1421,57,0.04011259676284307,0.1597466572836031,0.660994495035242,0.06949330588981932,0.09154929577464789,0.03812233117434978,0.5355893399187117,0.22807017543859648,0.15689149560117302,0.05726872246696035
