cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_M06-I25,bin,balanced_rf,all,all,1581,225,0.14231499051233396,0.3592662871600253,0.5327417240249098,0.14988506164260754,0.2068095838587642,0.004396323392287291,0.5030186823992133,0.36444444444444446,0.3584070796460177,0.1443661971830986
cohort_M06-I25,bin,balanced_rf,gender,F,1192,164,0.13758389261744966,0.35822147651006714,0.5495041283097655,0.1592367978917686,0.21996615905245348,0.03175482398256867,0.5221006927968113,0.39634146341463417,0.3521400778210117,0.1522248243559719
cohort_M06-I25,bin,balanced_rf,gender,M,389,61,0.15681233933161953,0.36246786632390743,0.48600559776089564,0.14335459427803188,0.16831683168316833,-0.07515867998425986,0.4503198720511795,0.2786885245901639,0.3780487804878049,0.12056737588652482
cohort_M06-I25,bin,balanced_rf,age_band,18-39,159,0,0.0,0.3522012578616352,,,,,,,0.3522012578616352,0.0
cohort_M06-I25,bin,balanced_rf,age_band,40-64,715,119,0.16643356643356644,0.34685314685314683,0.5285798883311714,0.1871177119659063,0.23978201634877383,0.021493545509022563,0.5137330099825166,0.3697478991596639,0.3422818791946309,0.1774193548387097
cohort_M06-I25,bin,balanced_rf,age_band,65-79,533,82,0.15384615384615385,0.3677298311444653,0.5344491914985668,0.1573711437353245,0.19424460431654678,-0.03401179323121506,0.4772727272727273,0.32926829268292684,0.37472283813747226,0.1377551020408163
cohort_M06-I25,bin,balanced_rf,age_band,80+,174,24,0.13793103448275862,0.39080459770114945,0.5665277777777777,0.16319369561981278,0.2391304347826087,0.055359284573206595,0.5391666666666667,0.4583333333333333,0.38,0.16176470588235295
cohort_M06-I25,cont,balanced_rf,all,all,1581,225,0.14231499051233396,0.20430107526881722,0.6109423139954113,0.18058190009625708,0.20072992700729927,0.040556971903394946,0.5234021632251721,0.24444444444444444,0.1976401179941003,0.17027863777089783
cohort_M06-I25,cont,balanced_rf,gender,F,1192,164,0.13758389261744966,0.20721476510067113,0.6100675002372592,0.17842796660725285,0.20437956204379562,0.048171844840602614,0.5283406092815792,0.25609756097560976,0.19941634241245138,0.1700404858299595
cohort_M06-I25,cont,balanced_rf,gender,M,389,61,0.15681233933161953,0.1953727506426735,0.6130547780887645,0.19558595877124138,0.1897810218978102,0.019297510751232233,0.5105207916833266,0.21311475409836064,0.19207317073170732,0.17105263157894737
cohort_M06-I25,cont,balanced_rf,age_band,18-39,159,0,0.0,0.1509433962264151,,,,,,,0.1509433962264151,0.0
cohort_M06-I25,cont,balanced_rf,age_band,40-64,715,119,0.16643356643356644,0.2055944055944056,0.5881506965202188,0.18802084007108832,0.16541353383458646,-0.022909882748666236,0.48757120297783546,0.18487394957983194,0.20973154362416108,0.14965986394557823
cohort_M06-I25,cont,balanced_rf,age_band,65-79,533,82,0.15384615384615385,0.20075046904315197,0.6515061381212482,0.22785944732526658,0.26455026455026454,0.11084470451020947,0.561529933481153,0.3048780487804878,0.18181818181818182,0.2336448598130841
cohort_M06-I25,cont,balanced_rf,age_band,80+,174,24,0.13793103448275862,0.25862068965517243,0.5376388888888889,0.19237286699125963,0.2318840579710145,0.068249933349707,0.5433333333333333,0.3333333333333333,0.24666666666666667,0.17777777777777778
cohort_M06-I25,cont_bin,balanced_rf,all,all,1581,225,0.14231499051233396,0.20872865275142316,0.5947148475909538,0.17174142972600298,0.2018018018018018,0.04025352496825323,0.5234119960668633,0.24888888888888888,0.20206489675516223,0.1696969696969697
cohort_M06-I25,cont_bin,balanced_rf,gender,F,1192,164,0.13758389261744966,0.2063758389261745,0.5929077299041472,0.16864042599849233,0.1951219512195122,0.037036310767448864,0.5217566669830123,0.24390243902439024,0.20038910505836577,0.16260162601626016
cohort_M06-I25,cont_bin,balanced_rf,gender,M,389,61,0.15681233933161953,0.2159383033419023,0.5960865653738505,0.18769918367509308,0.2206896551724138,0.04858489663421584,0.5274890043982408,0.26229508196721313,0.2073170731707317,0.19047619047619047
cohort_M06-I25,cont_bin,balanced_rf,age_band,18-39,159,0,0.0,0.15723270440251572,,,,,,,0.15723270440251572,0.0
cohort_M06-I25,cont_bin,balanced_rf,age_band,40-64,715,119,0.16643356643356644,0.2083916083916084,0.5671563927584456,0.1775492647738049,0.15671641791044777,-0.035118164210776154,0.4808527437820766,0.17647058823529413,0.21476510067114093,0.14093959731543623
