cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_M06-J15,bin,balanced_rf,all,all,2319,92,0.03967227253126347,0.2449331608451919,0.5609369204037407,0.052652834108245464,0.09696969696969697,0.04862983891024782,0.5535717772007576,0.34782608695652173,0.24068253255500674,0.056338028169014086
cohort_M06-J15,bin,balanced_rf,gender,F,1726,73,0.042294322132097335,0.26187717265353416,0.5691934133870339,0.055432672856735456,0.09904761904761905,0.04506762296854686,0.5492255674614026,0.3561643835616438,0.2577132486388385,0.05752212389380531
cohort_M06-J15,bin,balanced_rf,gender,M,593,19,0.03204047217537943,0.19561551433389546,0.5040803227581148,0.049673039655538515,0.08888888888888889,0.05511854358395543,0.5620759215110949,0.3157894736842105,0.1916376306620209,0.05172413793103448
cohort_M06-J15,bin,balanced_rf,age_band,18-39,163,9,0.05521472392638037,0.1901840490797546,0.6208513708513709,0.13900850107756033,0.2,0.15662439417552088,0.6345598845598845,0.4444444444444444,0.17532467532467533,0.12903225806451613
cohort_M06-J15,bin,balanced_rf,age_band,40-64,996,60,0.060240963855421686,0.2429718875502008,0.520619658119658,0.06795481801858733,0.10596026490066225,0.013988023326443291,0.5126068376068376,0.26666666666666666,0.24145299145299146,0.06611570247933884
cohort_M06-J15,bin,balanced_rf,age_band,65-79,889,18,0.020247469066366704,0.23959505061867267,0.6703980099502489,0.05469878039269996,0.08658008658008658,0.10641395523793294,0.6612450567674448,0.5555555555555556,0.2330654420206659,0.046948356807511735
cohort_M06-J15,bin,balanced_rf,age_band,80+,271,5,0.01845018450184502,0.3025830258302583,0.5154135338345864,0.02390144482365802,0.04597701149425287,0.029074367956898477,0.5496240601503759,0.4,0.3007518796992481,0.024390243902439025
cohort_M06-J15,cont,balanced_rf,all,all,2319,92,0.03967227253126347,0.08193186718413109,0.5903023174088753,0.06485731439712736,0.09929078014184398,0.05205555424812557,0.5365719138634544,0.15217391304347827,0.07903008531656938,0.07368421052631578
cohort_M06-J15,cont,balanced_rf,gender,F,1726,73,0.042294322132097335,0.08922363847045191,0.5974773968459173,0.06774725052626021,0.0881057268722467,0.03521013541154978,0.5249359819009025,0.136986301369863,0.08711433756805807,0.06493506493506493
cohort_M06-J15,cont,balanced_rf,gender,M,593,19,0.03204047217537943,0.06070826306913996,0.5266367137355584,0.06821528345623215,0.14545454545454545,0.11414603954627897,0.5773885934348065,0.21052631578947367,0.05574912891986063,0.1111111111111111
cohort_M06-J15,cont,balanced_rf,age_band,18-39,163,9,0.05521472392638037,0.12883435582822086,0.5728715728715728,0.1852809708195413,0.13333333333333333,0.06738839804517976,0.5494227994227994,0.2222222222222222,0.12337662337662338,0.09523809523809523
cohort_M06-J15,cont,balanced_rf,age_band,40-64,996,60,0.060240963855421686,0.08734939759036145,0.5815883190883191,0.07739267819633824,0.09523809523809523,0.026289297697553202,0.5155982905982905,0.11666666666666667,0.08547008547008547,0.08045977011494253
cohort_M06-J15,cont,balanced_rf,age_band,65-79,889,18,0.020247469066366704,0.06749156355455568,0.5152123995407577,0.08133691690226127,0.07692307692307693,0.05683013742343086,0.5506123230003828,0.16666666666666666,0.06544202066590127,0.05
cohort_M06-J15,cont,balanced_rf,age_band,80+,271,5,0.01845018450184502,0.08118081180811808,0.7413533834586467,0.11530379980296984,0.14814814814814814,0.16004676946992252,0.662406015037594,0.4,0.07518796992481203,0.09090909090909091
cohort_M06-J15,cont_bin,balanced_rf,all,all,2319,92,0.03967227253126347,0.09098749460974558,0.591629897893442,0.061679206886216136,0.0924092409240924,0.043242725143505356,0.531857050819,0.15217391304347827,0.08845981140547822,0.06635071090047394
cohort_M06-J15,cont_bin,balanced_rf,gender,F,1726,73,0.042294322132097335,0.0996523754345307,0.6058681185722927,0.06548635625830038,0.08163265306122448,0.026192667238608826,0.5194913358028989,0.136986301369863,0.09800362976406533,0.05813953488372093
cohort_M06-J15,cont_bin,balanced_rf,gender,M,593,19,0.03204047217537943,0.0657672849915683,0.5065560242068586,0.06608317642839126,0.13793103448275862,0.10625124521661955,0.574775353016688,0.21052631578947367,0.06097560975609756,0.10256410256410256
cohort_M06-J15,cont_bin,balanced_rf,age_band,18-39,163,9,0.05521472392638037,0.09815950920245399,0.597041847041847,0.19163132080257642,0.16,0.10080245612650102,0.5656565656565656,0.2222222222222222,0.09090909090909091,0.125
cohort_M06-J15,cont_bin,balanced_rf,age_band,40-64,996,60,0.060240963855421686,0.10140562248995984,0.5883190883190883,0.07711194190752421,0.08695652173913043,0.012799973903680914,0.5081196581196581,0.11666666666666667,0.10042735042735043,0.06930693069306931
cohort_M06-J15,cont_bin,balanced_rf,age_band,65-79,889,18,0.020247469066366704,0.0798650168728909,0.5114172726113024,0.05309877266780226,0.06741573033707865,0.04603107203787943,0.5442977420589361,0.16666666666666666,0.07807118254879448,0.04225352112676056
cohort_M06-J15,cont_bin,balanced_rf,age_band,80+,271,5,0.01845018450184502,0.08487084870848709,0.693609022556391,0.06548237613340886,0.14285714285714285,0.15502876813302996,0.6605263157894736,0.4,0.07894736842105263,0.08695652173913043
cohort_M06-J15,cont_disc_bin,balanced_rf,all,all,2319,92,0.03967227253126347,0.1034928848641656,0.6113166474688116,0.0585986485742938,0.08433734939759036,0.03248339629738995,0.5253460494718962,0.15217391304347827,0.10148181409968568,0.058333333333333334
cohort_M06-J15,cont_disc_bin,balanced_rf,gender,F,1726,73,0.042294322132097335,0.11123986095017381,0.6267309748154042,0.06266360239755789,0.07547169811320754,0.01720757592765658,0.5134417290273392,0.136986301369863,0.11010284331518451,0.052083333333333336
cohort_M06-J15,cont_disc_bin,balanced_rf,gender,M,593,19,0.03204047217537943,0.08094435075885328,0.5315881166330461,0.05152089112239426,0.11940298507462686,0.0864373092958312,0.5669356317623326,0.21052631578947367,0.07665505226480836,0.08333333333333333
cohort_M06-J15,cont_disc_bin,balanced_rf,age_band,18-39,163,9,0.05521472392638037,0.13496932515337423,0.6717171717171717,0.19917194121353712,0.12903225806451613,0.06173158924404657,0.5461760461760461,0.2222222222222222,0.12987012987012986,0.09090909090909091
cohort_M06-J15,cont_disc_bin,balanced_rf,age_band,40-64,996,60,0.060240963855421686,0.12048192771084337,0.5918625356125355,0.0781176521113009,0.07777777777777778,-0.002967417279793091,0.4979700854700855,0.11666666666666667,0.12072649572649573,0.058333333333333334
cohort_M06-J15,cont_disc_bin,balanced_rf,age_band,65-79,889,18,0.020247469066366704,0.08773903262092239,0.5498469192499043,0.03976019844655157,0.0625,0.04010516357807714,0.5402793723689246,0.16666666666666666,0.08610792192881746,0.038461538461538464
cohort_M06-J15,cont_disc_bin,balanced_rf,age_band,80+,271,5,0.01845018450184502,0.07380073800738007,0.7394736842105263,0.06855845908477488,0.16,0.17105847277568148,0.6661654135338346,0.4,0.06766917293233082,0.1
cohort_M06-J15,disc,balanced_rf,all,all,2319,92,0.03967227253126347,0.15092712376024148,0.6231696960231154,0.06713729732865899,0.10407239819004525,0.05625128462224077,0.5515828468792097,0.25,0.14683430624158061,0.06571428571428571
cohort_M06-J15,disc,balanced_rf,gender,F,1726,73,0.042294322132097335,0.15701042873696408,0.6507470850011188,0.076544169707086,0.11046511627906977,0.05964810872021834,0.5539119409293191,0.2602739726027397,0.15245009074410162,0.07011070110701106
cohort_M06-J15,disc,balanced_rf,gender,M,593,19,0.03204047217537943,0.13322091062394603,0.5017421602787456,0.04300573183305238,0.08163265306122448,0.041389511740360166,0.5399321474417751,0.21052631578947367,0.13066202090592335,0.05063291139240506
cohort_M06-J15,disc,balanced_rf,age_band,18-39,163,9,0.05521472392638037,0.1165644171779141,0.7016594516594515,0.1741839295385693,0.21428571428571427,0.1633004788844433,0.6147186147186147,0.3333333333333333,0.1038961038961039,0.15789473684210525
cohort_M06-J15,disc,balanced_rf,age_band,40-64,996,60,0.060240963855421686,0.1716867469879518,0.6102297008547009,0.0901492910051821,0.12987012987012986,0.05257838885904827,0.5416666666666667,0.25,0.16666666666666666,0.08771929824561403
cohort_M06-J15,disc,balanced_rf,age_band,65-79,889,18,0.020247469066366704,0.13948256467941508,0.5559382574307947,0.029808875863517152,0.028169014084507043,-0.011772507143529178,0.48552111238678397,0.1111111111111111,0.14006888633754305,0.016129032258064516
cohort_M06-J15,disc,balanced_rf,age_band,80+,271,5,0.01845018450184502,0.13284132841328414,0.7714285714285715,0.13975885225885226,0.14634146341463414,0.18870904118150836,0.73796992481203,0.6,0.12406015037593984,0.08333333333333333
