cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_M06-J15,bin,balanced_rf,gender,statistical_parity,selection_rate,0.0662616583196387,0.7469742870360698,M,F,2,2
cohort_M06-J15,bin,balanced_rf,gender,predictive_parity,ppv,0.005797985962770827,0.8992042440318302,M,F,2,2
cohort_M06-J15,bin,balanced_rf,gender,equal_opportunity,tpr,0.04037490987743331,0.8866396761133604,M,F,2,2
cohort_M06-J15,bin,balanced_rf,gender,predictive_equality,fpr,0.06607561797681757,0.7436079893998135,M,F,2,2
cohort_M06-J15,bin,balanced_rf,gender,equalised_odds,fpr,0.06607561797681757,0.7436079893998135,M,F,2,2
cohort_M06-J15,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.1123989767505037,0.6285350890318719,18-39,80+,4,4
cohort_M06-J15,bin,balanced_rf,age_band,predictive_parity,ppv,0.10464201416207711,0.18902439024390244,80+,18-39,4,4
cohort_M06-J15,bin,balanced_rf,age_band,equal_opportunity,tpr,0.2888888888888889,0.48,40-64,65-79,4,4
cohort_M06-J15,bin,balanced_rf,age_band,predictive_equality,fpr,0.12542720437457278,0.5829545454545455,18-39,80+,4,4
cohort_M06-J15,bin,balanced_rf,age_band,equalised_odds,tpr,0.2888888888888889,0.48,40-64,65-79,4,4
cohort_M06-J15,cont,balanced_rf,gender,statistical_parity,selection_rate,0.028515375401311945,0.6804055977749064,M,F,2,2
cohort_M06-J15,cont,balanced_rf,gender,predictive_parity,ppv,0.046176046176046176,0.5844155844155844,F,M,2,2
cohort_M06-J15,cont,balanced_rf,gender,equal_opportunity,tpr,0.07354001441961067,0.6506849315068494,F,M,2,2
cohort_M06-J15,cont,balanced_rf,gender,predictive_equality,fpr,0.031365208648197446,0.6399535423925669,M,F,2,2
cohort_M06-J15,cont,balanced_rf,gender,equalised_odds,tpr,0.07354001441961067,0.6506849315068494,F,M,2,2
cohort_M06-J15,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.06134279227366518,0.5238630885425036,65-79,18-39,4,4
cohort_M06-J15,cont,balanced_rf,age_band,predictive_parity,ppv,0.04523809523809523,0.525,65-79,18-39,4,4
cohort_M06-J15,cont,balanced_rf,age_band,equal_opportunity,tpr,0.2833333333333333,0.29166666666666663,40-64,80+,4,4
cohort_M06-J15,cont,balanced_rf,age_band,predictive_equality,fpr,0.05793460271072211,0.5304247990815155,65-79,18-39,4,4
cohort_M06-J15,cont,balanced_rf,age_band,equalised_odds,tpr,0.2833333333333333,0.29166666666666663,40-64,80+,4,4
cohort_M06-J15,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.03388509044296241,0.659967057531668,M,F,2,2
cohort_M06-J15,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.04442456768038163,0.5668604651162791,F,M,2,2
cohort_M06-J15,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.07354001441961067,0.6506849315068494,F,M,2,2
cohort_M06-J15,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.037028020007967774,0.6221770551038843,M,F,2,2
cohort_M06-J15,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.07354001441961067,0.6506849315068494,F,M,2,2
cohort_M06-J15,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.021540605617068942,0.7875797703504884,65-79,40-64,4,4
cohort_M06-J15,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.08274647887323944,0.3380281690140845,65-79,18-39,4,4
cohort_M06-J15,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.2833333333333333,0.29166666666666663,40-64,80+,4,4
cohort_M06-J15,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.022356167878555946,0.777389647507145,65-79,40-64,4,4
cohort_M06-J15,cont_bin,balanced_rf,age_band,equalised_odds,tpr,0.2833333333333333,0.29166666666666663,40-64,80+,4,4
cohort_M06-J15,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.030295510191320527,0.7276559865092749,M,F,2,2
cohort_M06-J15,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.031249999999999993,0.6250000000000001,F,M,2,2
cohort_M06-J15,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.07354001441961067,0.6506849315068494,F,M,2,2
cohort_M06-J15,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.03344779105037615,0.6962131944710341,M,F,2,2
cohort_M06-J15,cont_disc_bin,balanced_rf,gender,equalised_odds,tpr,0.07354001441961067,0.6506849315068494,F,M,2,2
cohort_M06-J15,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.06116858714599416,0.5467963770546796,80+,18-39,4,4
cohort_M06-J15,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.06153846153846154,0.38461538461538464,65-79,80+,4,4
cohort_M06-J15,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.2833333333333333,0.29166666666666663,40-64,80+,4,4
cohort_M06-J15,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.062200956937799035,0.5210526315789474,80+,18-39,4,4
cohort_M06-J15,cont_disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.2833333333333333,0.29166666666666663,40-64,80+,4,4
cohort_M06-J15,disc,balanced_rf,gender,statistical_parity,selection_rate,0.02378951811301805,0.8484844713539884,M,F,2,2
cohort_M06-J15,disc,balanced_rf,gender,predictive_parity,ppv,0.019477789714606,0.7221852098600933,M,F,2,2
cohort_M06-J15,disc,balanced_rf,gender,equal_opportunity,tpr,0.04974765681326604,0.8088642659279779,M,F,2,2
