cohort,feature_set,fold,feature,itemid,representation,importance
cohort_M06-J15,cont,0,cont_50803,50803,cont,0.0006931291262163635
cohort_M06-J15,cont,0,cont_50804,50804,cont,0.01540717215317907
cohort_M06-J15,cont,0,cont_50805,50805,cont,6.339144215530903e-05
cohort_M06-J15,cont,0,cont_50806,50806,cont,0.0018729980268295432
cohort_M06-J15,cont,0,cont_50808,50808,cont,0.0025221575138256597
cohort_M06-J15,cont,0,cont_50809,50809,cont,0.002800118300002466
cohort_M06-J15,cont,0,cont_50811,50811,cont,0.0019999520779045445
cohort_M06-J15,cont,0,cont_50813,50813,cont,0.01027546284487526
cohort_M06-J15,cont,0,cont_50814,50814,cont,0.00031841482121322594
cohort_M06-J15,cont,0,cont_50818,50818,cont,0.019560744264809783
cohort_M06-J15,cont,0,cont_50820,50820,cont,0.015005264729452959
cohort_M06-J15,cont,0,cont_50821,50821,cont,0.007818436982455709
cohort_M06-J15,cont,0,cont_50822,50822,cont,0.002032831080019734
cohort_M06-J15,cont,0,cont_50824,50824,cont,0.0019847473872049554
cohort_M06-J15,cont,0,cont_50853,50853,cont,0.0002407875018857622
cohort_M06-J15,cont,0,cont_50856,50856,cont,0.00019889000555996022
cohort_M06-J15,cont,0,cont_50861,50861,cont,0.012408370934529395
cohort_M06-J15,cont,0,cont_50862,50862,cont,0.011577873429294169
cohort_M06-J15,cont,0,cont_50863,50863,cont,0.017982422833965343
cohort_M06-J15,cont,0,cont_50866,50866,cont,0.00010367170626349894
cohort_M06-J15,cont,0,cont_50867,50867,cont,0.0005294276838698243
cohort_M06-J15,cont,0,cont_50868,50868,cont,0.031761011304015575
cohort_M06-J15,cont,0,cont_50877,50877,cont,0.0
cohort_M06-J15,cont,0,cont_50878,50878,cont,0.014579455747373248
cohort_M06-J15,cont,0,cont_50881,50881,cont,0.000101463153801949
cohort_M06-J15,cont,0,cont_50882,50882,cont,0.01895811299134744
cohort_M06-J15,cont,0,cont_50883,50883,cont,0.000802370655456702
cohort_M06-J15,cont,0,cont_50885,50885,cont,0.012456226397525355
cohort_M06-J15,cont,0,cont_50889,50889,cont,0.0034700765467617343
cohort_M06-J15,cont,0,cont_50890,50890,cont,0.00042824655812751845
cohort_M06-J15,cont,0,cont_50891,50891,cont,5.544014639994941e-05
cohort_M06-J15,cont,0,cont_50893,50893,cont,0.02598559930087846
cohort_M06-J15,cont,0,cont_50894,50894,cont,0.0
cohort_M06-J15,cont,0,cont_50895,50895,cont,0.0
cohort_M06-J15,cont,0,cont_50896,50896,cont,0.0
cohort_M06-J15,cont,0,cont_50899,50899,cont,0.0
cohort_M06-J15,cont,0,cont_50902,50902,cont,0.02079952004588814
cohort_M06-J15,cont,0,cont_50904,50904,cont,0.0015168989202966935
cohort_M06-J15,cont,0,cont_50905,50905,cont,0.0007520603424673846
cohort_M06-J15,cont,0,cont_50906,50906,cont,5.733439473364116e-05
cohort_M06-J15,cont,0,cont_50907,50907,cont,0.0016143737599102512
cohort_M06-J15,cont,0,cont_50908,50908,cont,0.00034667550231730403
cohort_M06-J15,cont,0,cont_50910,50910,cont,0.0
cohort_M06-J15,cont,0,cont_50911,50911,cont,0.007260170284347698
cohort_M06-J15,cont,0,cont_50912,50912,cont,0.030000064319833077
cohort_M06-J15,cont,0,cont_50914,50914,cont,0.0
cohort_M06-J15,cont,0,cont_50915,50915,cont,0.0
cohort_M06-J15,cont,0,cont_50916,50916,cont,0.0
cohort_M06-J15,cont,0,cont_50917,50917,cont,0.0008097265917423407
cohort_M06-J15,cont,0,cont_50924,50924,cont,0.004193890867863297
cohort_M06-J15,cont,0,cont_50925,50925,cont,0.0008562398444108226
cohort_M06-J15,cont,0,cont_50927,50927,cont,0.00027046191427424144
cohort_M06-J15,cont,0,cont_50930,50930,cont,0.000618636619330898
cohort_M06-J15,cont,0,cont_50931,50931,cont,0.0
cohort_M06-J15,cont,0,cont_50935,50935,cont,0.00216983186524446
cohort_M06-J15,cont,0,cont_50945,50945,cont,0.0
cohort_M06-J15,cont,0,cont_50949,50949,cont,0.00030657371481791746
cohort_M06-J15,cont,0,cont_50950,50950,cont,0.0
cohort_M06-J15,cont,0,cont_50951,50951,cont,0.00025550236032985705
cohort_M06-J15,cont,0,cont_50952,50952,cont,0.005224402189142492
cohort_M06-J15,cont,0,cont_50953,50953,cont,0.004107022183783275
cohort_M06-J15,cont,0,cont_50954,50954,cont,0.01270427368198329
cohort_M06-J15,cont,0,cont_50956,50956,cont,0.003924462389985071
cohort_M06-J15,cont,0,cont_50957,50957,cont,0.0
cohort_M06-J15,cont,0,cont_50960,50960,cont,0.02420676637559834
cohort_M06-J15,cont,0,cont_50964,50964,cont,0.0012287604732170512
cohort_M06-J15,cont,0,cont_50965,50965,cont,0.00020940971574302006
cohort_M06-J15,cont,0,cont_50966,50966,cont,0.0
cohort_M06-J15,cont,0,cont_50967,50967,cont,0.0
cohort_M06-J15,cont,0,cont_50968,50968,cont,0.0
cohort_M06-J15,cont,0,cont_50969,50969,cont,0.0
cohort_M06-J15,cont,0,cont_50970,50970,cont,0.02023267261426878
cohort_M06-J15,cont,0,cont_50971,50971,cont,0.01957075640095926
cohort_M06-J15,cont,0,cont_50976,50976,cont,0.002231560329482486
cohort_M06-J15,cont,0,cont_50978,50978,cont,0.0
cohort_M06-J15,cont,0,cont_50981,50981,cont,0.0
cohort_M06-J15,cont,0,cont_50982,50982,cont,0.0
cohort_M06-J15,cont,0,cont_50983,50983,cont,0.027568888917679567
cohort_M06-J15,cont,0,cont_50986,50986,cont,0.0
cohort_M06-J15,cont,0,cont_50988,50988,cont,0.0
cohort_M06-J15,cont,0,cont_50989,50989,cont,0.0
cohort_M06-J15,cont,0,cont_50990,50990,cont,0.0
cohort_M06-J15,cont,0,cont_50992,50992,cont,0.0
cohort_M06-J15,cont,0,cont_50993,50993,cont,0.006303638124590306
cohort_M06-J15,cont,0,cont_50994,50994,cont,0.0008320327136173056
cohort_M06-J15,cont,0,cont_50995,50995,cont,0.0005916177188042637
cohort_M06-J15,cont,0,cont_50997,50997,cont,0.0
cohort_M06-J15,cont,0,cont_50998,50998,cont,0.005379247063490644
cohort_M06-J15,cont,0,cont_51000,51000,cont,0.002601025780665035
cohort_M06-J15,cont,0,cont_51001,51001,cont,0.00034359917441434797
cohort_M06-J15,cont,0,cont_51005,51005,cont,0.0
cohort_M06-J15,cont,0,cont_51006,51006,cont,0.02213056606985378
cohort_M06-J15,cont,0,cont_51007,51007,cont,0.0010975606492080517
cohort_M06-J15,cont,0,cont_51008,51008,cont,3.529259115090179e-05
cohort_M06-J15,cont,0,cont_51009,51009,cont,0.0063482133233094705
cohort_M06-J15,cont,0,cont_51010,51010,cont,0.0021383345463619786
cohort_M06-J15,cont,0,cont_51070,51070,cont,9.141065830721001e-05
cohort_M06-J15,cont,0,cont_51080,51080,cont,0.0
cohort_M06-J15,cont,0,cont_51099,51099,cont,0.00023983706273343427
cohort_M06-J15,cont,0,cont_51110,51110,cont,0.0
cohort_M06-J15,cont,0,cont_51111,51111,cont,0.0
cohort_M06-J15,cont,0,cont_51114,51114,cont,0.0
cohort_M06-J15,cont,0,cont_51116,51116,cont,0.00010756302521008398
cohort_M06-J15,cont,0,cont_51117,51117,cont,0.00019036280433791907
cohort_M06-J15,cont,0,cont_51118,51118,cont,9.463722397476339e-05
cohort_M06-J15,cont,0,cont_51120,51120,cont,2.066241264053479e-05
cohort_M06-J15,cont,0,cont_51124,51124,cont,0.0
cohort_M06-J15,cont,0,cont_51125,51125,cont,0.00025335551578892636
cohort_M06-J15,cont,0,cont_51127,51127,cont,6.206896551724138e-05
cohort_M06-J15,cont,0,cont_51130,51130,cont,0.0
cohort_M06-J15,cont,0,cont_51131,51131,cont,0.0
cohort_M06-J15,cont,0,cont_51132,51132,cont,0.0
cohort_M06-J15,cont,0,cont_51133,51133,cont,0.013299134245268006
cohort_M06-J15,cont,0,cont_51138,51138,cont,0.0
cohort_M06-J15,cont,0,cont_51139,51139,cont,0.0
cohort_M06-J15,cont,0,cont_51140,51140,cont,0.0
cohort_M06-J15,cont,0,cont_51143,51143,cont,0.0046565970453863615
cohort_M06-J15,cont,0,cont_51144,51144,cont,0.0030555040525313696
cohort_M06-J15,cont,0,cont_51146,51146,cont,0.009176698097051015
cohort_M06-J15,cont,0,cont_51148,51148,cont,0.0
cohort_M06-J15,cont,0,cont_51149,51149,cont,0.0
cohort_M06-J15,cont,0,cont_51181,51181,cont,0.0
cohort_M06-J15,cont,0,cont_51196,51196,cont,0.0
cohort_M06-J15,cont,0,cont_51199,51199,cont,0.0
cohort_M06-J15,cont,0,cont_51200,51200,cont,0.010651142526818766
cohort_M06-J15,cont,0,cont_51202,51202,cont,0.0
cohort_M06-J15,cont,0,cont_51203,51203,cont,0.0
cohort_M06-J15,cont,0,cont_51204,51204,cont,0.0
cohort_M06-J15,cont,0,cont_51205,51205,cont,0.0
cohort_M06-J15,cont,0,cont_51206,51206,cont,0.0
cohort_M06-J15,cont,0,cont_51207,51207,cont,0.0
cohort_M06-J15,cont,0,cont_51208,51208,cont,0.0
cohort_M06-J15,cont,0,cont_51209,51209,cont,0.0
cohort_M06-J15,cont,0,cont_51214,51214,cont,0.0037579212090325122
cohort_M06-J15,cont,0,cont_51218,51218,cont,0.0
cohort_M06-J15,cont,0,cont_51221,51221,cont,0.026593121812770786
cohort_M06-J15,cont,0,cont_51222,51222,cont,0.019230247356302396
cohort_M06-J15,cont,0,cont_51223,51223,cont,0.0
cohort_M06-J15,cont,0,cont_51224,51224,cont,0.0
cohort_M06-J15,cont,0,cont_51225,51225,cont,0.0
cohort_M06-J15,cont,0,cont_51227,51227,cont,0.0
cohort_M06-J15,cont,0,cont_51228,51228,cont,5.834683954619124e-05
cohort_M06-J15,cont,0,cont_51229,51229,cont,0.0
cohort_M06-J15,cont,0,cont_51232,51232,cont,0.0
cohort_M06-J15,cont,0,cont_51237,51237,cont,0.02496664671041161
cohort_M06-J15,cont,0,cont_51241,51241,cont,0.0
cohort_M06-J15,cont,0,cont_51244,51244,cont,0.010021362126456455
cohort_M06-J15,cont,0,cont_51245,51245,cont,0.0
cohort_M06-J15,cont,0,cont_51248,51248,cont,0.027484883724777708
cohort_M06-J15,cont,0,cont_51249,51249,cont,0.021760611035395224
cohort_M06-J15,cont,0,cont_51250,51250,cont,0.03698135058474253
cohort_M06-J15,cont,0,cont_51251,51251,cont,0.0032366562831585635
cohort_M06-J15,cont,0,cont_51254,51254,cont,0.013115042943969762
cohort_M06-J15,cont,0,cont_51255,51255,cont,0.003961363153058183
cohort_M06-J15,cont,0,cont_51256,51256,cont,0.013140230717700953
cohort_M06-J15,cont,0,cont_51257,51257,cont,0.000949398051975646
cohort_M06-J15,cont,0,cont_51259,51259,cont,0.0
cohort_M06-J15,cont,0,cont_51263,51263,cont,0.0
cohort_M06-J15,cont,0,cont_51265,51265,cont,0.028686969099820613
cohort_M06-J15,cont,0,cont_51269,51269,cont,1.3682500213788935e-06
cohort_M06-J15,cont,0,cont_51270,51270,cont,0.0
cohort_M06-J15,cont,0,cont_51271,51271,cont,0.0
cohort_M06-J15,cont,0,cont_51272,51272,cont,0.0
cohort_M06-J15,cont,0,cont_51273,51273,cont,0.0
cohort_M06-J15,cont,0,cont_51274,51274,cont,0.027749383418531913
cohort_M06-J15,cont,0,cont_51275,51275,cont,0.019196386998922788
cohort_M06-J15,cont,0,cont_51276,51276,cont,0.00024973772321942715
cohort_M06-J15,cont,0,cont_51277,51277,cont,0.025921998334402133
cohort_M06-J15,cont,0,cont_51279,51279,cont,0.025186747197488268
cohort_M06-J15,cont,0,cont_51282,51282,cont,0.0028865576764273144
cohort_M06-J15,cont,0,cont_51283,51283,cont,0.0023431354487586198
cohort_M06-J15,cont,0,cont_51284,51284,cont,0.0
cohort_M06-J15,cont,0,cont_51288,51288,cont,0.0
cohort_M06-J15,cont,0,cont_51289,51289,cont,0.0
cohort_M06-J15,cont,0,cont_51297,51297,cont,1.5271414688324822e-06
cohort_M06-J15,cont,0,cont_51298,51298,cont,0.0
cohort_M06-J15,cont,0,cont_51299,51299,cont,0.0
cohort_M06-J15,cont,0,cont_51300,51300,cont,4.010695187165788e-06
cohort_M06-J15,cont,0,cont_51301,51301,cont,0.03415303312997394
cohort_M06-J15,cont,0,cont_51366,51366,cont,0.0
cohort_M06-J15,cont,0,cont_51368,51368,cont,0.0
cohort_M06-J15,cont,0,cont_51375,51375,cont,0.0003581535157498054
cohort_M06-J15,cont,0,cont_51376,51376,cont,8.096085249967222e-05
cohort_M06-J15,cont,0,cont_51377,51377,cont,0.0
cohort_M06-J15,cont,0,cont_51379,51379,cont,0.0002587938869296015
cohort_M06-J15,cont,0,cont_51382,51382,cont,0.0003791689379747645
cohort_M06-J15,cont,0,cont_51383,51383,cont,0.00047212211534643044
cohort_M06-J15,cont,0,cont_51386,51386,cont,0.0
cohort_M06-J15,cont,0,cont_51419,51419,cont,0.0
cohort_M06-J15,cont,0,cont_51427,51427,cont,0.00016031306562659504
cohort_M06-J15,cont,0,cont_51428,51428,cont,0.00014548930010850185
cohort_M06-J15,cont,0,cont_51429,51429,cont,0.0
cohort_M06-J15,cont,0,cont_51431,51431,cont,0.0008422370856385491
cohort_M06-J15,cont,0,cont_51433,51433,cont,0.0
cohort_M06-J15,cont,0,cont_51435,51435,cont,0.0
cohort_M06-J15,cont,0,cont_51436,51436,cont,2.580350342726575e-05
cohort_M06-J15,cont,0,cont_51438,51438,cont,6.927159213054354e-05
cohort_M06-J15,cont,0,cont_51440,51440,cont,0.0
cohort_M06-J15,cont,0,cont_51441,51441,cont,0.0
cohort_M06-J15,cont,0,cont_51442,51442,cont,0.0
cohort_M06-J15,cont,0,cont_51444,51444,cont,0.0
cohort_M06-J15,cont,0,cont_51446,51446,cont,0.0
cohort_M06-J15,cont,0,cont_51447,51447,cont,0.0002797654777462472
cohort_M06-J15,cont,0,cont_51448,51448,cont,0.0
cohort_M06-J15,cont,0,cont_51450,51450,cont,0.00017880257996193138
cohort_M06-J15,cont,0,cont_51452,51452,cont,0.0
cohort_M06-J15,cont,0,cont_51454,51454,cont,0.0
cohort_M06-J15,cont,0,cont_51455,51455,cont,0.0002410040117129611
cohort_M06-J15,cont,0,cont_51457,51457,cont,7.018060182355187e-05
cohort_M06-J15,cont,0,cont_51467,51467,cont,0.0
cohort_M06-J15,cont,0,cont_51471,51471,cont,0.0
cohort_M06-J15,cont,0,cont_51479,51479,cont,7.245830907783439e-05
cohort_M06-J15,cont,0,cont_51482,51482,cont,0.002750667750327681
cohort_M06-J15,cont,0,cont_51484,51484,cont,0.0004989124355625372
cohort_M06-J15,cont,0,cont_51492,51492,cont,0.0062737753619674435
cohort_M06-J15,cont,0,cont_51493,51493,cont,0.007812285634734246
cohort_M06-J15,cont,0,cont_51494,51494,cont,0.0
cohort_M06-J15,cont,0,cont_51498,51498,cont,0.011266182791794043
cohort_M06-J15,cont,0,cont_51507,51507,cont,0.0
cohort_M06-J15,cont,0,cont_51515,51515,cont,0.0
cohort_M06-J15,cont,0,cont_51516,51516,cont,0.00660918203206553
cohort_M06-J15,cont,0,cont_51517,51517,cont,0.0
cohort_M06-J15,cont,0,cont_51567,51567,cont,0.0
cohort_M06-J15,cont,0,cont_51621,51621,cont,0.0
cohort_M06-J15,cont,0,cont_51625,51625,cont,0.00028662818409889925
cohort_M06-J15,cont,0,cont_51626,51626,cont,0.0003106868717308724
cohort_M06-J15,cont,0,cont_51627,51627,cont,0.0003662531778125931
cohort_M06-J15,cont,0,cont_51802,51802,cont,9.287925696594425e-05
cohort_M06-J15,cont,0,cont_52024,52024,cont,0.0
cohort_M06-J15,cont,0,cont_52065,52065,cont,0.00010552621948031576
cohort_M06-J15,cont,0,cont_52069,52069,cont,0.012368780232058141
cohort_M06-J15,cont,0,cont_52073,52073,cont,0.009212730285107188
cohort_M06-J15,cont,0,cont_52074,52074,cont,0.013280439650851149
cohort_M06-J15,cont,0,cont_52075,52075,cont,0.009769481242248012
cohort_M06-J15,cont,0,cont_52107,52107,cont,0.0
cohort_M06-J15,cont,0,cont_52108,52108,cont,0.0
cohort_M06-J15,cont,0,cont_52109,52109,cont,0.0
cohort_M06-J15,cont,0,cont_52132,52132,cont,0.0
cohort_M06-J15,cont,0,cont_52135,52135,cont,0.002494094407767047
cohort_M06-J15,cont,0,cont_52172,52172,cont,0.023919256393835995
cohort_M06-J15,cont,0,cont_52177,52177,cont,0.0
cohort_M06-J15,cont,0,cont_52178,52178,cont,0.0
cohort_M06-J15,cont,0,cont_52179,52179,cont,0.0
cohort_M06-J15,cont,0,cont_52285,52285,cont,0.00026357193541669515
cohort_M06-J15,cont,0,cont_52286,52286,cont,0.0
cohort_M06-J15,cont,0,cont_52312,52312,cont,0.0
cohort_M06-J15,cont,0,cont_52369,52369,cont,4.889552609361204e-05
cohort_M06-J15,cont,0,cont_52391,52391,cont,0.0002659024529240537
cohort_M06-J15,disc,0,50803,50803,disc,0.0015506900162109898
cohort_M06-J15,disc,0,50804,50804,disc,0.01725942629309754
cohort_M06-J15,disc,0,50805,50805,disc,0.00039268550345878257
cohort_M06-J15,disc,0,50806,50806,disc,0.0028149891694585335
cohort_M06-J15,disc,0,50808,50808,disc,0.006158331237384712
cohort_M06-J15,disc,0,50809,50809,disc,0.0032611464718513223
cohort_M06-J15,disc,0,50811,50811,disc,0.003142558732729701
cohort_M06-J15,disc,0,50813,50813,disc,0.011801050769642406
cohort_M06-J15,disc,0,50814,50814,disc,0.0004090309695904087
cohort_M06-J15,disc,0,50818,50818,disc,0.025373560633332574
cohort_M06-J15,disc,0,50820,50820,disc,0.01827128269491651
cohort_M06-J15,disc,0,50821,50821,disc,0.010853602217798077
cohort_M06-J15,disc,0,50822,50822,disc,0.0036566977924599622
cohort_M06-J15,disc,0,50824,50824,disc,0.003632700719023926
cohort_M06-J15,disc,0,50853,50853,disc,0.0009749795271977288
cohort_M06-J15,disc,0,50856,50856,disc,6.198723792160438e-05
cohort_M06-J15,disc,0,50861,50861,disc,0.014376451716156112
cohort_M06-J15,disc,0,50862,50862,disc,0.01984393487852096
cohort_M06-J15,disc,0,50863,50863,disc,0.015787148977696435
cohort_M06-J15,disc,0,50866,50866,disc,1.6890887810523322e-05
cohort_M06-J15,disc,0,50867,50867,disc,0.0016233819154290701
cohort_M06-J15,disc,0,50868,50868,disc,0.027186452837438136
cohort_M06-J15,disc,0,50877,50877,disc,0.0
cohort_M06-J15,disc,0,50878,50878,disc,0.013481236765681491
cohort_M06-J15,disc,0,50881,50881,disc,6.787036759789602e-07
cohort_M06-J15,disc,0,50882,50882,disc,0.010777490467041961
cohort_M06-J15,disc,0,50883,50883,disc,0.001943651164181059
cohort_M06-J15,disc,0,50885,50885,disc,0.011970831938724018
cohort_M06-J15,disc,0,50889,50889,disc,0.005492083452659055
cohort_M06-J15,disc,0,50890,50890,disc,0.0009406213654608786
cohort_M06-J15,disc,0,50891,50891,disc,0.00033151676701080834
cohort_M06-J15,disc,0,50893,50893,disc,0.019019053846264004
cohort_M06-J15,disc,0,50894,50894,disc,0.0
cohort_M06-J15,disc,0,50895,50895,disc,0.0
cohort_M06-J15,disc,0,50896,50896,disc,8.347988615606822e-05
cohort_M06-J15,disc,0,50899,50899,disc,0.0
cohort_M06-J15,disc,0,50902,50902,disc,0.010981955685745557
cohort_M06-J15,disc,0,50904,50904,disc,0.0011035519121271498
cohort_M06-J15,disc,0,50905,50905,disc,0.003711901866273158
cohort_M06-J15,disc,0,50906,50906,disc,0.00021987052255546585
cohort_M06-J15,disc,0,50907,50907,disc,0.0064227164484247316
cohort_M06-J15,disc,0,50908,50908,disc,0.0013438217437475104
cohort_M06-J15,disc,0,50910,50910,disc,0.0
cohort_M06-J15,disc,0,50911,50911,disc,0.01697893675665103
cohort_M06-J15,disc,0,50912,50912,disc,0.01855729430936451
cohort_M06-J15,disc,0,50914,50914,disc,0.0
cohort_M06-J15,disc,0,50915,50915,disc,0.0
cohort_M06-J15,disc,0,50916,50916,disc,5.658617678651536e-05
cohort_M06-J15,disc,0,50917,50917,disc,0.0015936677852010695
cohort_M06-J15,disc,0,50924,50924,disc,0.00503421795699111
cohort_M06-J15,disc,0,50925,50925,disc,0.0013588954368704792
cohort_M06-J15,disc,0,50927,50927,disc,0.0005304326952497129
