cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_M06-M84,bin,balanced_rf,all,all,2468,69,0.027957860615883307,0.26661264181523503,0.4760830297648174,0.026358922985728728,0.030261348005502064,-0.0411117669308931,0.4448622916553395,0.15942028985507245,0.2696957065443935,0.016717325227963525
cohort_M06-M84,bin,balanced_rf,gender,F,1850,49,0.026486486486486487,0.27837837837837837,0.528017314643792,0.028780210729905775,0.03546099290780142,-0.027342514825299553,0.4618409273759476,0.20408163265306123,0.280399777901166,0.019417475728155338
cohort_M06-M84,bin,balanced_rf,gender,M,618,20,0.032362459546925564,0.2313915857605178,0.3387541806020067,0.023661528598977105,0.012269938650306749,-0.07866022691169401,0.4062709030100335,0.05,0.23745819397993312,0.006993006993006993
cohort_M06-M84,bin,balanced_rf,age_band,18-39,174,0,0.0,0.27586206896551724,,,,,,,0.27586206896551724,0.0
cohort_M06-M84,bin,balanced_rf,age_band,40-64,1076,41,0.03810408921933085,0.275092936802974,0.4622245787675268,0.04337060515186347,0.04747774480712166,-0.035642923323393146,0.4584305408271474,0.1951219512195122,0.2782608695652174,0.02702702702702703
cohort_M06-M84,bin,balanced_rf,age_band,65-79,934,25,0.02676659528907923,0.24518201284796573,0.4900990099009901,0.025064252647943725,0.015748031496062992,-0.06367741037479434,0.41513751375137514,0.08,0.24972497249724973,0.008733624454148471
cohort_M06-M84,bin,balanced_rf,age_band,80+,284,3,0.01056338028169014,0.2992957746478873,0.5960854092526691,0.019310589653757947,0.022727272727272728,0.007679769927547611,0.5172004744958482,0.3333333333333333,0.298932384341637,0.011764705882352941
cohort_M06-M84,cont,balanced_rf,all,all,2468,69,0.027957860615883307,0.1527552674230146,0.5571282720457196,0.030211295480309756,0.04035874439461883,-0.010522295856557184,0.48851876687750334,0.13043478260869565,0.15339724885368905,0.023872679045092837
cohort_M06-M84,cont,balanced_rf,gender,F,1850,49,0.026486486486486487,0.1643243243243243,0.6035422497705356,0.032432250562995917,0.05099150141643059,0.008612577759637073,0.509937789663339,0.1836734693877551,0.16379789006107717,0.029605263157894735
cohort_M06-M84,cont,balanced_rf,gender,M,618,20,0.032362459546925564,0.11812297734627832,0.4612040133779264,0.028737441296099113,0.0,-0.06693104176779076,0.4389632107023411,0.0,0.12207357859531773,0.0
cohort_M06-M84,cont,balanced_rf,age_band,18-39,174,0,0.0,0.1724137931034483,,,,,,,0.1724137931034483,0.0
cohort_M06-M84,cont,balanced_rf,age_band,40-64,1076,41,0.03810408921933085,0.15148698884758363,0.5053140096618358,0.03707435655062724,0.0392156862745098,-0.029936646410554664,0.47196889360197947,0.0975609756097561,0.1536231884057971,0.024539877300613498
cohort_M06-M84,cont,balanced_rf,age_band,65-79,934,25,0.02676659528907923,0.15631691648822268,0.6306930693069307,0.03554096738600894,0.04678362573099415,0.0016819263272868825,0.5018921892189219,0.16,0.1562156215621562,0.0273972602739726
cohort_M06-M84,cont,balanced_rf,age_band,80+,284,3,0.01056338028169014,0.13380281690140844,0.7906287069988137,0.035069930069930075,0.04878048780487805,0.06055859381754083,0.6008303677342823,0.3333333333333333,0.13167259786476868,0.02631578947368421
cohort_M06-M84,cont_bin,balanced_rf,all,all,2468,69,0.027957860615883307,0.14910858995137763,0.5477463435851895,0.029228102165820263,0.036613272311212815,-0.015791430089722575,0.48293975146649265,0.11594202898550725,0.15006252605252188,0.021739130434782608
cohort_M06-M84,cont_bin,balanced_rf,gender,F,1850,49,0.026486486486486487,0.1616216216216216,0.5897007331527837,0.03096074432973181,0.04597701149425287,0.0007365290467187959,0.5008442022005916,0.16326530612244897,0.16157690172126596,0.026755852842809364
cohort_M06-M84,cont_bin,balanced_rf,gender,M,618,20,0.032362459546925564,0.11165048543689321,0.4631688963210703,0.029077856383111483,0.0,-0.06483399437330424,0.4423076923076923,0.0,0.11538461538461539,0.0
cohort_M06-M84,cont_bin,balanced_rf,age_band,18-39,174,0,0.0,0.1724137931034483,,,,,,,0.1724137931034483,0.0
cohort_M06-M84,cont_bin,balanced_rf,age_band,40-64,1076,41,0.03810408921933085,0.15892193308550187,0.5120772946859904,0.036912062729726046,0.02830188679245283,-0.04668226216264626,0.45542594556380345,0.07317073170731707,0.16231884057971013,0.017543859649122806
cohort_M06-M84,cont_bin,balanced_rf,age_band,65-79,934,25,0.02676659528907923,0.14132762312633834,0.5981078107810781,0.03398131760370798,0.050955414012738856,0.008889153250546419,0.5095929592959296,0.16,0.1408140814081408,0.030303030303030304
cohort_M06-M84,cont_bin,balanced_rf,age_band,80+,284,3,0.01056338028169014,0.12323943661971831,0.7550415183867141,0.030256553668860202,0.05263157894736842,0.06603976937505085,0.6061684460260972,0.3333333333333333,0.12099644128113879,0.02857142857142857
cohort_M06-M84,cont_disc_bin,balanced_rf,all,all,2468,69,0.027957860615883307,0.15640194489465153,0.5405905842410182,0.029217469634764286,0.03076923076923077,-0.02565720573151511,0.4717333913285125,0.10144927536231885,0.15798249270529388,0.018134715025906734
