cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_M19-E53,bin,balanced_rf,all,all,8491,201,0.02367212342480273,0.2482628665645978,0.5500264059677487,0.028891104744296184,0.055435253356431353,0.02528303338422169,0.5359229185795991,0.31840796019900497,0.24656212303980699,0.030360531309297913
cohort_M19-E53,bin,balanced_rf,gender,F,5228,130,0.02486610558530987,0.2501912777352716,0.5753915562664091,0.03370603843473034,0.06397774687065369,0.038216434930874114,0.5531490478920844,0.35384615384615387,0.2475480580619851,0.035168195718654434
cohort_M19-E53,bin,balanced_rf,gender,M,3263,71,0.021759117376647256,0.2451731535396874,0.5037991104521868,0.023382546815401348,0.04133180252583238,0.0028941341286820273,0.5042668290444421,0.2535211267605634,0.2449874686716792,0.0225
cohort_M19-E53,bin,balanced_rf,age_band,18-39,274,4,0.014598540145985401,0.23357664233576642,0.2662037037037037,0.014857741765988837,0.029411764705882353,0.00472455591261534,0.5083333333333333,0.25,0.23333333333333334,0.015625
cohort_M19-E53,bin,balanced_rf,age_band,40-64,3406,87,0.02554315913094539,0.2384028185554903,0.517343542751071,0.02622751654308071,0.048943270300333706,0.00549830115725794,0.5074250310819282,0.25287356321839083,0.2380235010545345,0.027093596059113302
cohort_M19-E53,bin,balanced_rf,age_band,65-79,3222,89,0.027622594661700806,0.24860335195530725,0.6084468703938143,0.04765329121397974,0.07640449438202247,0.05202891399068216,0.5686045969509068,0.38202247191011235,0.24481327800829875,0.04244694132334582
cohort_M19-E53,bin,balanced_rf,age_band,80+,1589,21,0.013215859030837005,0.2712397734424166,0.5041302235179786,0.014290945365922786,0.030973451327433628,0.01616270922214161,0.5314625850340136,0.3333333333333333,0.27040816326530615,0.016241299303944315
cohort_M19-E53,cont,balanced_rf,all,all,8491,201,0.02367212342480273,0.09810387469084914,0.5796620036128165,0.04150689496128516,0.08123791102514506,0.058028374600040164,0.5567695299137605,0.208955223880597,0.095416164053076,0.05042016806722689
cohort_M19-E53,cont,balanced_rf,gender,F,5228,130,0.02486610558530987,0.10405508798775823,0.5833464103570027,0.04713236281177605,0.08011869436201781,0.05420198604008192,0.5531399945680056,0.2076923076923077,0.1014123185562966,0.04963235294117647
cohort_M19-E53,cont,balanced_rf,gender,M,3263,71,0.021759117376647256,0.08856880171621208,0.5691407215221153,0.03335860314022937,0.08333333333333333,0.06440739475517673,0.5627140033181546,0.2112676056338028,0.08583959899749373,0.05190311418685121
cohort_M19-E53,cont,balanced_rf,age_band,18-39,274,4,0.014598540145985401,0.08394160583941605,0.039351851851851874,0.009423911485677743,0.0,-0.036844712397254745,0.45740740740740743,0.0,0.08518518518518518,0.0
cohort_M19-E53,cont,balanced_rf,age_band,40-64,3406,87,0.02554315913094539,0.0904286553141515,0.6264229289392664,0.04374093580155707,0.09113924050632911,0.0657492510717057,0.5597604180735785,0.20689655172413793,0.08737571557698103,0.05844155844155844
cohort_M19-E53,cont,balanced_rf,age_band,65-79,3222,89,0.027622594661700806,0.10552451893234016,0.5920412283879113,0.04438840697087049,0.08857808857808858,0.05922584263821664,0.5555127189002894,0.21348314606741572,0.1024577082668369,0.05588235294117647
cohort_M19-E53,cont,balanced_rf,age_band,80+,1589,21,0.013215859030837005,0.10195091252359975,0.44776482021379976,0.06966532692841504,0.0546448087431694,0.05207035834151788,0.5689838435374149,0.23809523809523808,0.10012755102040816,0.030864197530864196
cohort_M19-E53,cont_bin,balanced_rf,all,all,8491,201,0.02367212342480273,0.09327523259922271,0.5649808856801637,0.03541049135959169,0.06646525679758308,0.037963811228702876,0.5363115064004464,0.16417910447761194,0.09155609167671894,0.041666666666666664
cohort_M19-E53,cont_bin,balanced_rf,gender,F,5228,130,0.02486610558530987,0.09984697781178271,0.5752572652925733,0.04056163686013247,0.07668711656441718,0.049249675318120724,0.5474092404261098,0.19230769230769232,0.09748921145547274,0.04789272030651341
cohort_M19-E53,cont_bin,balanced_rf,gender,M,3263,71,0.021759117376647256,0.0827459393196445,0.541390889194818,0.028597953484491286,0.0469208211143695,0.016202722019134322,0.5152979279183876,0.11267605633802817,0.08208020050125313,0.02962962962962963
cohort_M19-E53,cont_bin,balanced_rf,age_band,18-39,274,4,0.014598540145985401,0.10218978102189781,0.05324074074074073,0.010383543053812313,0.0,-0.041063841571546474,0.44814814814814813,0.0,0.1037037037037037,0.0
