cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_M19-E53,bin,balanced_rf,gender,statistical_parity,selection_rate,0.0050181241955842,0.9799428491632154,M,F,2,2
cohort_M19-E53,bin,balanced_rf,gender,predictive_parity,ppv,0.012668195718654435,0.6397826086956522,M,F,2,2
cohort_M19-E53,bin,balanced_rf,gender,equal_opportunity,tpr,0.10032502708559049,0.7164727495407226,M,F,2,2
cohort_M19-E53,bin,balanced_rf,gender,predictive_equality,fpr,0.0025605893903059007,0.9896561927798895,M,F,2,2
cohort_M19-E53,bin,balanced_rf,gender,equalised_odds,tpr,0.10032502708559049,0.7164727495407226,M,F,2,2
cohort_M19-E53,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.03283695488692631,0.878937537551448,40-64,80+,3,3
cohort_M19-E53,bin,balanced_rf,age_band,predictive_parity,ppv,0.026205642019401502,0.38262590418998227,80+,65-79,3,3
cohort_M19-E53,bin,balanced_rf,age_band,equal_opportunity,tpr,0.12914890869172152,0.6619337390128466,40-64,65-79,3,3
cohort_M19-E53,bin,balanced_rf,age_band,predictive_equality,fpr,0.03238466221077166,0.8802378529563916,40-64,80+,3,3
cohort_M19-E53,bin,balanced_rf,age_band,equalised_odds,tpr,0.12914890869172152,0.6619337390128466,40-64,65-79,3,3
cohort_M19-E53,cont,balanced_rf,gender,statistical_parity,selection_rate,0.015486286271546149,0.8511722341403617,M,F,2,2
cohort_M19-E53,cont,balanced_rf,gender,predictive_parity,ppv,0.0022707612456747406,0.95625,F,M,2,2
cohort_M19-E53,cont,balanced_rf,gender,equal_opportunity,tpr,0.003575297941495109,0.9830769230769232,F,M,2,2
cohort_M19-E53,cont,balanced_rf,gender,predictive_equality,fpr,0.015572719558802864,0.8464415390507215,M,F,2,2
cohort_M19-E53,cont,balanced_rf,gender,equalised_odds,fpr,0.015572719558802864,0.8464415390507215,M,F,2,2
cohort_M19-E53,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.015095863618188668,0.8569444924182239,40-64,65-79,3,3
cohort_M19-E53,cont,balanced_rf,age_band,predictive_parity,ppv,0.027577360910694244,0.5281207133058985,80+,40-64,3,3
cohort_M19-E53,cont,balanced_rf,age_band,equal_opportunity,tpr,0.031198686371100154,0.8689655172413794,40-64,80+,3,3
cohort_M19-E53,cont,balanced_rf,age_band,predictive_equality,fpr,0.01508199268985587,0.8527978719709706,40-64,65-79,3,3
cohort_M19-E53,cont,balanced_rf,age_band,equalised_odds,tpr,0.031198686371100154,0.8689655172413794,40-64,80+,3,3
cohort_M19-E53,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.017101038492138218,0.8287275301975122,M,F,2,2
cohort_M19-E53,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.01826309067688378,0.6186666666666667,M,F,2,2
cohort_M19-E53,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.07963163596966415,0.5859154929577465,M,F,2,2
cohort_M19-E53,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.015409010954219607,0.8419413725460532,M,F,2,2
cohort_M19-E53,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.07963163596966415,0.5859154929577465,M,F,2,2
cohort_M19-E53,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.02158889635770289,0.7908246566317689,40-64,80+,3,3
cohort_M19-E53,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.0284047871534616,0.4619799139167862,80+,65-79,3,3
cohort_M19-E53,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.053080201472297556,0.7221095334685599,40-64,65-79,3,3
cohort_M19-E53,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.021896194452472165,0.7854172943657728,40-64,80+,3,3
cohort_M19-E53,cont_bin,balanced_rf,age_band,equalised_odds,tpr,0.053080201472297556,0.7221095334685599,40-64,65-79,3,3
cohort_M19-E53,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.021537415753969585,0.7952770735240855,M,F,2,2
cohort_M19-E53,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.0014718614718614714,0.9700176366843034,M,F,2,2
cohort_M19-E53,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.024593716143011923,0.881585811163276,M,F,2,2
cohort_M19-E53,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.021135616601330717,0.7939782534730707,M,F,2,2
cohort_M19-E53,cont_disc_bin,balanced_rf,gender,equalised_odds,tpr,0.024593716143011923,0.881585811163276,M,F,2,2
cohort_M19-E53,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.017353413644229806,0.8358656292816597,40-64,80+,3,3
cohort_M19-E53,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.03599114064230344,0.3981481481481481,80+,40-64,3,3
cohort_M19-E53,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.016420361247947463,0.9206349206349206,80+,40-64,3,3
cohort_M19-E53,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.01932519015439861,0.8152323282798962,40-64,80+,3,3
cohort_M19-E53,cont_disc_bin,balanced_rf,age_band,equalised_odds,fpr,0.01932519015439861,0.8152323282798962,40-64,80+,3,3
cohort_M19-E53,disc,balanced_rf,gender,statistical_parity,selection_rate,0.0223189403530015,0.8516767772467538,F,M,2,2
cohort_M19-E53,disc,balanced_rf,gender,predictive_parity,ppv,0.020476031249050064,0.4723484255052483,M,F,2,2
cohort_M19-E53,disc,balanced_rf,gender,equal_opportunity,tpr,0.07323943661971832,0.6338028169014084,M,F,2,2
