cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_M25-D47,bin,balanced_rf,all,all,8892,228,0.02564102564102564,0.24134053081421503,0.5721418837375063,0.03391055631441372,0.06318449873631002,0.03321296379911625,0.5449561403508771,0.32894736842105265,0.23903508771929824,0.03494874184529357
cohort_M25-D47,bin,balanced_rf,gender,F,4407,137,0.031086907193101882,0.24574540503744044,0.5338296381134721,0.03471642687809882,0.06721311475409836,0.02226889371621022,0.5276209849741021,0.29927007299270075,0.24402810304449649,0.03785780240073869
cohort_M25-D47,bin,balanced_rf,gender,M,4485,91,0.020289855072463767,0.23701226309921963,0.6261285369159744,0.03710026927097236,0.058925476603119586,0.04623193184563709,0.5697216984199233,0.37362637362637363,0.23418297678652708,0.03198494825964252
cohort_M25-D47,bin,balanced_rf,age_band,18-39,1301,41,0.03151421983089931,0.24212144504227517,0.5845334881920249,0.041648513411162734,0.06741573033707865,0.021291683960341472,0.5261033681765389,0.2926829268292683,0.24047619047619048,0.0380952380952381
cohort_M25-D47,bin,balanced_rf,age_band,40-64,4426,150,0.03389064618165386,0.22751920469950293,0.6084900218272529,0.051028976721009166,0.09334485738980121,0.05918706871731604,0.5685640785781103,0.36,0.22287184284377923,0.05362462760675273
cohort_M25-D47,bin,balanced_rf,age_band,65-79,2321,27,0.011632916846186989,0.26928048255062476,0.40010171461784366,0.013354265121804175,0.015337423312883436,-0.02056738575948876,0.4574574574574575,0.18518518518518517,0.2702702702702703,0.008
cohort_M25-D47,bin,balanced_rf,age_band,80+,844,10,0.011848341232227487,0.235781990521327,0.583872901678657,0.019152254634552442,0.03827751196172249,0.04236174186046899,0.5830935251798561,0.4,0.23381294964028776,0.020100502512562814
cohort_M25-D47,cont,balanced_rf,all,all,8892,228,0.02564102564102564,0.10436347278452542,0.7054354274999596,0.07849755355711388,0.14186851211072665,0.13545481426003858,0.6310018467220684,0.35964912280701755,0.09764542936288088,0.08836206896551724
cohort_M25-D47,cont,balanced_rf,gender,F,4407,137,0.031086907193101882,0.1279782164737917,0.6728166293440914,0.07662989140441685,0.14550641940085593,0.1309817129473726,0.6260611292500726,0.3722627737226277,0.12014051522248244,0.09042553191489362
cohort_M25-D47,cont,balanced_rf,gender,M,4485,91,0.020289855072463767,0.08115942028985507,0.7402877050123295,0.09239495607158744,0.13626373626373625,0.13675346750892567,0.6324370895376812,0.34065934065934067,0.07578516158397815,0.08516483516483517
cohort_M25-D47,cont,balanced_rf,age_band,18-39,1301,41,0.03151421983089931,0.12836279784780938,0.8080139372822299,0.1475538790955785,0.19230769230769232,0.19384210106546096,0.6855691056910569,0.4878048780487805,0.11666666666666667,0.11976047904191617
cohort_M25-D47,cont,balanced_rf,age_band,40-64,4426,150,0.03389064618165386,0.10234975146859467,0.720579981290926,0.10317698251958038,0.175787728026534,0.15508690186957658,0.6298939819145619,0.35333333333333333,0.09354536950420954,0.11699779249448124
cohort_M25-D47,cont,balanced_rf,age_band,65-79,2321,27,0.011632916846186989,0.1025420077552779,0.5205608834641092,0.02344331650198965,0.052830188679245285,0.056045920790698076,0.5792808937970229,0.25925925925925924,0.1006974716652136,0.029411764705882353
cohort_M25-D47,cont,balanced_rf,age_band,80+,844,10,0.011848341232227487,0.08293838862559241,0.6397482014388489,0.025206683230868582,0.05,0.04647874778479848,0.5592326139088729,0.2,0.0815347721822542,0.02857142857142857
cohort_M25-D47,cont_bin,balanced_rf,all,all,8892,228,0.02564102564102564,0.10301394511920828,0.6979624803583289,0.07454786468094472,0.13636363636363635,0.12759426437521867,0.6226915974145891,0.34210526315789475,0.09672206832871653,0.0851528384279476
