cohort,feature_set,fold,feature,itemid,representation,importance
cohort_M25-D47,cont,0,cont_50803,50803,cont,0.000141918835277179
cohort_M25-D47,cont,0,cont_50804,50804,cont,0.003519843713301798
cohort_M25-D47,cont,0,cont_50805,50805,cont,5.294276538911689e-06
cohort_M25-D47,cont,0,cont_50806,50806,cont,0.00020343765856264284
cohort_M25-D47,cont,0,cont_50808,50808,cont,0.002305047824620595
cohort_M25-D47,cont,0,cont_50809,50809,cont,0.0011152656707678447
cohort_M25-D47,cont,0,cont_50811,50811,cont,0.001013698000683688
cohort_M25-D47,cont,0,cont_50813,50813,cont,0.007067856723827596
cohort_M25-D47,cont,0,cont_50814,50814,cont,0.0
cohort_M25-D47,cont,0,cont_50818,50818,cont,0.004082584549637803
cohort_M25-D47,cont,0,cont_50820,50820,cont,0.0055142176418789
cohort_M25-D47,cont,0,cont_50821,50821,cont,0.004123046713664221
cohort_M25-D47,cont,0,cont_50822,50822,cont,0.003145259629799026
cohort_M25-D47,cont,0,cont_50824,50824,cont,0.0010231775802337132
cohort_M25-D47,cont,0,cont_50853,50853,cont,0.001043578107037415
cohort_M25-D47,cont,0,cont_50856,50856,cont,0.0002688220771717954
cohort_M25-D47,cont,0,cont_50861,50861,cont,0.01405738225914392
cohort_M25-D47,cont,0,cont_50862,50862,cont,0.012055625899343315
cohort_M25-D47,cont,0,cont_50863,50863,cont,0.018543201351072073
cohort_M25-D47,cont,0,cont_50866,50866,cont,0.0001822476645956555
cohort_M25-D47,cont,0,cont_50867,50867,cont,0.00041094063727460455
cohort_M25-D47,cont,0,cont_50868,50868,cont,0.02291122908130438
cohort_M25-D47,cont,0,cont_50877,50877,cont,0.0
cohort_M25-D47,cont,0,cont_50878,50878,cont,0.01709216616600364
cohort_M25-D47,cont,0,cont_50881,50881,cont,0.0
cohort_M25-D47,cont,0,cont_50882,50882,cont,0.029134463082038837
cohort_M25-D47,cont,0,cont_50883,50883,cont,0.0010265015422902788
cohort_M25-D47,cont,0,cont_50885,50885,cont,0.01651481361849712
cohort_M25-D47,cont,0,cont_50889,50889,cont,0.004168798127568611
cohort_M25-D47,cont,0,cont_50890,50890,cont,0.0001323655889746421
cohort_M25-D47,cont,0,cont_50891,50891,cont,0.00024710926424849464
cohort_M25-D47,cont,0,cont_50893,50893,cont,0.02088420674701379
cohort_M25-D47,cont,0,cont_50894,50894,cont,0.0
cohort_M25-D47,cont,0,cont_50895,50895,cont,4.369369024915085e-05
cohort_M25-D47,cont,0,cont_50896,50896,cont,0.0
cohort_M25-D47,cont,0,cont_50899,50899,cont,1.9422928281881018e-05
cohort_M25-D47,cont,0,cont_50902,50902,cont,0.02138131236308952
cohort_M25-D47,cont,0,cont_50904,50904,cont,0.001860204019827115
cohort_M25-D47,cont,0,cont_50905,50905,cont,8.420160402611365e-05
cohort_M25-D47,cont,0,cont_50906,50906,cont,9.610340619823114e-05
cohort_M25-D47,cont,0,cont_50907,50907,cont,0.001885171883220834
cohort_M25-D47,cont,0,cont_50908,50908,cont,0.0001166503355979584
cohort_M25-D47,cont,0,cont_50910,50910,cont,0.0
cohort_M25-D47,cont,0,cont_50911,50911,cont,0.005252639541988161
cohort_M25-D47,cont,0,cont_50912,50912,cont,0.02199607578220848
cohort_M25-D47,cont,0,cont_50914,50914,cont,0.0
cohort_M25-D47,cont,0,cont_50915,50915,cont,0.0
cohort_M25-D47,cont,0,cont_50916,50916,cont,0.0
cohort_M25-D47,cont,0,cont_50917,50917,cont,4.4466114090687484e-05
cohort_M25-D47,cont,0,cont_50924,50924,cont,0.004766271342165345
cohort_M25-D47,cont,0,cont_50925,50925,cont,0.0012096208625445558
cohort_M25-D47,cont,0,cont_50927,50927,cont,0.00028087743815593375
cohort_M25-D47,cont,0,cont_50930,50930,cont,0.0005000712507034812
cohort_M25-D47,cont,0,cont_50931,50931,cont,0.0
cohort_M25-D47,cont,0,cont_50935,50935,cont,0.003113735923592823
cohort_M25-D47,cont,0,cont_50945,50945,cont,0.0
cohort_M25-D47,cont,0,cont_50949,50949,cont,0.002893504617651517
cohort_M25-D47,cont,0,cont_50950,50950,cont,0.002235171260764699
cohort_M25-D47,cont,0,cont_50951,50951,cont,0.0017968663389404584
cohort_M25-D47,cont,0,cont_50952,50952,cont,0.0038825826172461824
cohort_M25-D47,cont,0,cont_50953,50953,cont,0.0035310017543144397
cohort_M25-D47,cont,0,cont_50954,50954,cont,0.010244392775455304
cohort_M25-D47,cont,0,cont_50956,50956,cont,0.004813125180955818
cohort_M25-D47,cont,0,cont_50957,50957,cont,1.715567444012557e-05
cohort_M25-D47,cont,0,cont_50960,50960,cont,0.023055533383042073
cohort_M25-D47,cont,0,cont_50964,50964,cont,0.0014059795072460944
cohort_M25-D47,cont,0,cont_50965,50965,cont,0.000471749470656191
cohort_M25-D47,cont,0,cont_50966,50966,cont,0.0
cohort_M25-D47,cont,0,cont_50967,50967,cont,0.0
cohort_M25-D47,cont,0,cont_50968,50968,cont,0.0
cohort_M25-D47,cont,0,cont_50969,50969,cont,0.0
cohort_M25-D47,cont,0,cont_50970,50970,cont,0.020379293245679532
cohort_M25-D47,cont,0,cont_50971,50971,cont,0.024367376698999244
cohort_M25-D47,cont,0,cont_50976,50976,cont,0.0014439571432330106
cohort_M25-D47,cont,0,cont_50978,50978,cont,0.0
cohort_M25-D47,cont,0,cont_50981,50981,cont,2.719477957356401e-05
cohort_M25-D47,cont,0,cont_50982,50982,cont,2.2233057045343193e-06
cohort_M25-D47,cont,0,cont_50983,50983,cont,0.02173255328229269
cohort_M25-D47,cont,0,cont_50986,50986,cont,0.0
cohort_M25-D47,cont,0,cont_50988,50988,cont,0.0
cohort_M25-D47,cont,0,cont_50989,50989,cont,0.0
cohort_M25-D47,cont,0,cont_50990,50990,cont,0.0
cohort_M25-D47,cont,0,cont_50992,50992,cont,0.0
cohort_M25-D47,cont,0,cont_50993,50993,cont,0.007503741181808854
cohort_M25-D47,cont,0,cont_50994,50994,cont,0.00020667225139535023
cohort_M25-D47,cont,0,cont_50995,50995,cont,0.0010382352800419278
cohort_M25-D47,cont,0,cont_50997,50997,cont,0.0
cohort_M25-D47,cont,0,cont_50998,50998,cont,0.002674117347857026
cohort_M25-D47,cont,0,cont_51000,51000,cont,0.002320241057216185
cohort_M25-D47,cont,0,cont_51001,51001,cont,0.0003575186201898031
cohort_M25-D47,cont,0,cont_51005,51005,cont,0.0
cohort_M25-D47,cont,0,cont_51006,51006,cont,0.022201578688002856
cohort_M25-D47,cont,0,cont_51007,51007,cont,0.00242298984394211
cohort_M25-D47,cont,0,cont_51008,51008,cont,0.0003329141406419638
cohort_M25-D47,cont,0,cont_51009,51009,cont,0.002992083894201685
cohort_M25-D47,cont,0,cont_51010,51010,cont,0.002801446941614072
cohort_M25-D47,cont,0,cont_51070,51070,cont,0.00023026283551870081
cohort_M25-D47,cont,0,cont_51080,51080,cont,0.0
cohort_M25-D47,cont,0,cont_51099,51099,cont,0.0007595938277794904
cohort_M25-D47,cont,0,cont_51110,51110,cont,0.0
cohort_M25-D47,cont,0,cont_51111,51111,cont,0.0
cohort_M25-D47,cont,0,cont_51114,51114,cont,4.179321436921496e-05
cohort_M25-D47,cont,0,cont_51116,51116,cont,3.42042755344418e-05
cohort_M25-D47,cont,0,cont_51117,51117,cont,0.0001309982951731155
cohort_M25-D47,cont,0,cont_51118,51118,cont,7.302943306355348e-05
cohort_M25-D47,cont,0,cont_51120,51120,cont,0.00012504587420733384
cohort_M25-D47,cont,0,cont_51124,51124,cont,0.0
cohort_M25-D47,cont,0,cont_51125,51125,cont,0.00012797871173552645
cohort_M25-D47,cont,0,cont_51127,51127,cont,0.00018981340600100687
cohort_M25-D47,cont,0,cont_51130,51130,cont,0.00038215966451188597
cohort_M25-D47,cont,0,cont_51131,51131,cont,7.073892197968178e-05
cohort_M25-D47,cont,0,cont_51132,51132,cont,4.498188568408079e-05
cohort_M25-D47,cont,0,cont_51133,51133,cont,0.014754003596671308
cohort_M25-D47,cont,0,cont_51138,51138,cont,0.0
cohort_M25-D47,cont,0,cont_51139,51139,cont,0.0
cohort_M25-D47,cont,0,cont_51140,51140,cont,0.0
cohort_M25-D47,cont,0,cont_51143,51143,cont,0.0035484204628283143
cohort_M25-D47,cont,0,cont_51144,51144,cont,0.0029019203654950137
cohort_M25-D47,cont,0,cont_51146,51146,cont,0.012720779643262138
cohort_M25-D47,cont,0,cont_51148,51148,cont,0.000304231257641579
cohort_M25-D47,cont,0,cont_51149,51149,cont,0.0
cohort_M25-D47,cont,0,cont_51181,51181,cont,0.00012062926084384702
cohort_M25-D47,cont,0,cont_51196,51196,cont,0.0
cohort_M25-D47,cont,0,cont_51199,51199,cont,0.0
cohort_M25-D47,cont,0,cont_51200,51200,cont,0.011217911803104476
cohort_M25-D47,cont,0,cont_51202,51202,cont,0.0
cohort_M25-D47,cont,0,cont_51203,51203,cont,0.0
cohort_M25-D47,cont,0,cont_51204,51204,cont,0.0
cohort_M25-D47,cont,0,cont_51205,51205,cont,0.0
cohort_M25-D47,cont,0,cont_51206,51206,cont,8.189502823752084e-05
cohort_M25-D47,cont,0,cont_51207,51207,cont,0.0
cohort_M25-D47,cont,0,cont_51208,51208,cont,0.0
cohort_M25-D47,cont,0,cont_51209,51209,cont,0.0
cohort_M25-D47,cont,0,cont_51214,51214,cont,0.003063003209123796
cohort_M25-D47,cont,0,cont_51218,51218,cont,0.0
cohort_M25-D47,cont,0,cont_51221,51221,cont,0.024343006038005377
cohort_M25-D47,cont,0,cont_51222,51222,cont,0.025455908881102676
cohort_M25-D47,cont,0,cont_51223,51223,cont,3.8703153402749676e-05
cohort_M25-D47,cont,0,cont_51224,51224,cont,2.54804577844957e-06
cohort_M25-D47,cont,0,cont_51225,51225,cont,4.222782844944691e-05
cohort_M25-D47,cont,0,cont_51227,51227,cont,8.916894375622761e-05
cohort_M25-D47,cont,0,cont_51228,51228,cont,7.110384947013995e-05
cohort_M25-D47,cont,0,cont_51229,51229,cont,0.0
cohort_M25-D47,cont,0,cont_51232,51232,cont,0.0
cohort_M25-D47,cont,0,cont_51237,51237,cont,0.022301863041107352
cohort_M25-D47,cont,0,cont_51241,51241,cont,0.0
cohort_M25-D47,cont,0,cont_51244,51244,cont,0.0124181924287855
cohort_M25-D47,cont,0,cont_51245,51245,cont,3.3562890841447005e-05
