cohort,feature_set,fold,feature,itemid,representation,importance
cohort_M32-E86,cont,0,cont_50803,50803,cont,0.00018717698149924567
cohort_M32-E86,cont,0,cont_50804,50804,cont,0.0036351460103881614
cohort_M32-E86,cont,0,cont_50805,50805,cont,0.0
cohort_M32-E86,cont,0,cont_50806,50806,cont,0.0011833725426928143
cohort_M32-E86,cont,0,cont_50808,50808,cont,0.003377081357579938
cohort_M32-E86,cont,0,cont_50809,50809,cont,0.0005494801940834041
cohort_M32-E86,cont,0,cont_50811,50811,cont,0.0008690192396435632
cohort_M32-E86,cont,0,cont_50813,50813,cont,0.0029894205560313794
cohort_M32-E86,cont,0,cont_50814,50814,cont,0.0
cohort_M32-E86,cont,0,cont_50818,50818,cont,0.003139537160819372
cohort_M32-E86,cont,0,cont_50820,50820,cont,0.0052371740114832595
cohort_M32-E86,cont,0,cont_50821,50821,cont,0.0030381216610438334
cohort_M32-E86,cont,0,cont_50822,50822,cont,0.003011419360954788
cohort_M32-E86,cont,0,cont_50824,50824,cont,0.002178030744788083
cohort_M32-E86,cont,0,cont_50853,50853,cont,0.00037333332324860063
cohort_M32-E86,cont,0,cont_50856,50856,cont,0.0
cohort_M32-E86,cont,0,cont_50861,50861,cont,0.011982664103779099
cohort_M32-E86,cont,0,cont_50862,50862,cont,0.009956841561080348
cohort_M32-E86,cont,0,cont_50863,50863,cont,0.015222833814246719
cohort_M32-E86,cont,0,cont_50866,50866,cont,5.1741293532338306e-05
cohort_M32-E86,cont,0,cont_50867,50867,cont,0.0011108351969240085
cohort_M32-E86,cont,0,cont_50868,50868,cont,0.03104637341309735
cohort_M32-E86,cont,0,cont_50877,50877,cont,0.0002564158916102003
cohort_M32-E86,cont,0,cont_50878,50878,cont,0.011997449769751773
cohort_M32-E86,cont,0,cont_50881,50881,cont,9.619331914943078e-05
cohort_M32-E86,cont,0,cont_50882,50882,cont,0.02636812762971498
cohort_M32-E86,cont,0,cont_50883,50883,cont,0.0005232563927578158
cohort_M32-E86,cont,0,cont_50885,50885,cont,0.011910053399808248
cohort_M32-E86,cont,0,cont_50889,50889,cont,0.004206508512777225
cohort_M32-E86,cont,0,cont_50890,50890,cont,0.006371467894129189
cohort_M32-E86,cont,0,cont_50891,50891,cont,0.004118325747422773
cohort_M32-E86,cont,0,cont_50893,50893,cont,0.033930337882445365
cohort_M32-E86,cont,0,cont_50894,50894,cont,0.0
cohort_M32-E86,cont,0,cont_50895,50895,cont,0.00010044427274483285
cohort_M32-E86,cont,0,cont_50896,50896,cont,0.0
cohort_M32-E86,cont,0,cont_50899,50899,cont,0.0
cohort_M32-E86,cont,0,cont_50902,50902,cont,0.042997832588118894
cohort_M32-E86,cont,0,cont_50904,50904,cont,0.0022611949327610253
cohort_M32-E86,cont,0,cont_50905,50905,cont,6.879944960440316e-05
cohort_M32-E86,cont,0,cont_50906,50906,cont,0.00014886904391369122
cohort_M32-E86,cont,0,cont_50907,50907,cont,0.001831227255763944
cohort_M32-E86,cont,0,cont_50908,50908,cont,0.0018031261518237707
cohort_M32-E86,cont,0,cont_50910,50910,cont,0.0
cohort_M32-E86,cont,0,cont_50911,50911,cont,0.005711730151000299
cohort_M32-E86,cont,0,cont_50912,50912,cont,0.027150913085511746
cohort_M32-E86,cont,0,cont_50914,50914,cont,0.0
cohort_M32-E86,cont,0,cont_50915,50915,cont,0.0
cohort_M32-E86,cont,0,cont_50916,50916,cont,0.0
cohort_M32-E86,cont,0,cont_50917,50917,cont,0.00016426229593996083
cohort_M32-E86,cont,0,cont_50924,50924,cont,0.00406160932738062
cohort_M32-E86,cont,0,cont_50925,50925,cont,0.0009836842622700504
cohort_M32-E86,cont,0,cont_50927,50927,cont,0.00014517849918229436
cohort_M32-E86,cont,0,cont_50930,50930,cont,0.0012431486836695237
cohort_M32-E86,cont,0,cont_50931,50931,cont,0.0
cohort_M32-E86,cont,0,cont_50935,50935,cont,0.004009409667942595
cohort_M32-E86,cont,0,cont_50945,50945,cont,0.0
cohort_M32-E86,cont,0,cont_50949,50949,cont,0.002035687973884863
cohort_M32-E86,cont,0,cont_50950,50950,cont,0.0017047009450167074
cohort_M32-E86,cont,0,cont_50951,50951,cont,0.0025921715186057173
cohort_M32-E86,cont,0,cont_50952,50952,cont,0.0025659414821380846
cohort_M32-E86,cont,0,cont_50953,50953,cont,0.005355289324949263
cohort_M32-E86,cont,0,cont_50954,50954,cont,0.007404947809909765
cohort_M32-E86,cont,0,cont_50956,50956,cont,0.005380575057318014
cohort_M32-E86,cont,0,cont_50957,50957,cont,0.0
cohort_M32-E86,cont,0,cont_50960,50960,cont,0.020535321598776544
cohort_M32-E86,cont,0,cont_50964,50964,cont,0.0014190136015132246
cohort_M32-E86,cont,0,cont_50965,50965,cont,0.0005928272526248932
cohort_M32-E86,cont,0,cont_50966,50966,cont,0.0
cohort_M32-E86,cont,0,cont_50967,50967,cont,0.0
cohort_M32-E86,cont,0,cont_50968,50968,cont,0.0
cohort_M32-E86,cont,0,cont_50969,50969,cont,0.0
