cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_M35-N30,bin,balanced_rf,all,all,1486,66,0.04441453566621804,0.26379542395693134,0.4673708920187793,0.041330090966908976,0.06550218340611354,-0.0178672513539147,0.4808898847631242,0.22727272727272727,0.26549295774647885,0.03826530612244898
cohort_M35-N30,bin,balanced_rf,gender,F,1016,54,0.0531496062992126,0.26279527559055116,0.4943789943789944,0.05400616349594402,0.08722741433021806,-0.0019033592825517974,0.4981327481327481,0.25925925925925924,0.262993762993763,0.052434456928838954
cohort_M35-N30,bin,balanced_rf,gender,M,470,12,0.02553191489361702,0.26595744680851063,0.33533478893740903,0.019243098417277133,0.014598540145985401,-0.06690357248538602,0.4062954876273654,0.08333333333333333,0.27074235807860264,0.008
cohort_M35-N30,bin,balanced_rf,age_band,18-39,131,16,0.12213740458015267,0.2748091603053435,0.5804347826086956,0.18066096905779233,0.19230769230769232,0.03149235415463354,0.5214673913043478,0.3125,0.26956521739130435,0.1388888888888889
cohort_M35-N30,bin,balanced_rf,age_band,40-64,510,8,0.01568627450980392,0.23921568627450981,0.45281374501992033,0.019355903090894126,0.03076923076923077,0.0031912442572320588,0.5054780876494024,0.25,0.23904382470119523,0.01639344262295082
cohort_M35-N30,bin,balanced_rf,age_band,65-79,523,28,0.05353728489483748,0.2982791586998088,0.481926406926407,0.05253129808330041,0.08695652173913043,-0.006531920293487868,0.49336219336219334,0.2857142857142857,0.298989898989899,0.05128205128205128
cohort_M35-N30,bin,balanced_rf,age_band,80+,322,14,0.043478260869565216,0.2422360248447205,0.3325602968460111,0.03223800200045235,0.0,-0.1205427368852944,0.37337662337662336,0.0,0.2532467532467532,0.0
cohort_M35-N30,cont,balanced_rf,all,all,1486,66,0.04441453566621804,0.10901749663526245,0.6135456679470764,0.059611263690821,0.07017543859649122,0.008435552639820845,0.5063807084933846,0.12121212121212122,0.10845070422535211,0.04938271604938271
cohort_M35-N30,cont,balanced_rf,gender,F,1016,54,0.0531496062992126,0.125,0.5890120890120891,0.0690138999641491,0.07734806629834254,0.003316626448669039,0.5024447524447524,0.12962962962962962,0.12474012474012475,0.05511811023622047
cohort_M35-N30,cont,balanced_rf,gender,M,470,12,0.02553191489361702,0.07446808510638298,0.6710334788937409,0.03991912900576641,0.0425531914893617,0.005465979413247642,0.5045487627365357,0.08333333333333333,0.07423580786026202,0.02857142857142857
