cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_M35-N30,bin,balanced_rf,gender,statistical_parity,selection_rate,0.003162171217959475,0.9881102362204723,F,M,2,2
cohort_M35-N30,bin,balanced_rf,gender,predictive_parity,ppv,0.044434456928838954,0.15257142857142855,M,F,2,2
cohort_M35-N30,bin,balanced_rf,gender,equal_opportunity,tpr,0.17592592592592593,0.32142857142857145,M,F,2,2
cohort_M35-N30,bin,balanced_rf,gender,predictive_equality,fpr,0.00774859508483966,0.9713801891221245,F,M,2,2
cohort_M35-N30,bin,balanced_rf,gender,equalised_odds,tpr,0.17592592592592593,0.32142857142857145,M,F,2,2
cohort_M35-N30,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.059063472425298996,0.8019859225741579,40-64,65-79,4,4
cohort_M35-N30,bin,balanced_rf,age_band,predictive_parity,ppv,0.1388888888888889,0.0,80+,18-39,4,4
cohort_M35-N30,bin,balanced_rf,age_band,equal_opportunity,tpr,0.3125,0.0,80+,18-39,4,4
cohort_M35-N30,bin,balanced_rf,age_band,predictive_equality,fpr,0.05994607428870374,0.7995046839668355,40-64,65-79,4,4
cohort_M35-N30,bin,balanced_rf,age_band,equalised_odds,tpr,0.3125,0.0,80+,18-39,4,4
cohort_M35-N30,cont,balanced_rf,gender,statistical_parity,selection_rate,0.050531914893617025,0.5957446808510638,M,F,2,2
cohort_M35-N30,cont,balanced_rf,gender,predictive_parity,ppv,0.0265466816647919,0.5183673469387755,M,F,2,2
cohort_M35-N30,cont,balanced_rf,gender,equal_opportunity,tpr,0.046296296296296294,0.6428571428571429,M,F,2,2
cohort_M35-N30,cont,balanced_rf,gender,predictive_equality,fpr,0.05050431687986273,0.5951237263464337,M,F,2,2
cohort_M35-N30,cont,balanced_rf,gender,equalised_odds,fpr,0.05050431687986273,0.5951237263464337,M,F,2,2
cohort_M35-N30,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.006928354515802496,0.9385842472582253,40-64,65-79,4,4
cohort_M35-N30,cont,balanced_rf,age_band,predictive_parity,ppv,0.21428571428571427,0.0,40-64,18-39,4,4
cohort_M35-N30,cont,balanced_rf,age_band,equal_opportunity,tpr,0.1875,0.0,40-64,18-39,4,4
cohort_M35-N30,cont,balanced_rf,age_band,predictive_equality,fpr,0.015458937198067624,0.8608695652173913,18-39,65-79,4,4
cohort_M35-N30,cont,balanced_rf,age_band,equalised_odds,tpr,0.1875,0.0,40-64,18-39,4,4
cohort_M35-N30,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.04367146925783212,0.6663893776995681,M,F,2,2
cohort_M35-N30,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.06015037593984962,0.0,M,F,2,2
cohort_M35-N30,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.14814814814814814,0.0,M,F,2,2
cohort_M35-N30,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.04041797928260811,0.688943231441048,M,F,2,2
cohort_M35-N30,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.14814814814814814,0.0,M,F,2,2
cohort_M35-N30,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.029561442897769796,0.7848583877995643,40-64,18-39,4,4
cohort_M35-N30,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.2777777777777778,0.0,40-64,18-39,4,4
cohort_M35-N30,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.3125,0.0,40-64,18-39,4,4
cohort_M35-N30,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.019731176304881484,0.8473916832669323,40-64,65-79,4,4
cohort_M35-N30,cont_bin,balanced_rf,age_band,equalised_odds,tpr,0.3125,0.0,40-64,18-39,4,4
cohort_M35-N30,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.048592729100351825,0.6422448350292939,M,F,2,2
cohort_M35-N30,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.0408271474019088,0.3739837398373984,M,F,2,2
cohort_M35-N30,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.08333333333333333,0.5,M,F,2,2
cohort_M35-N30,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.04675938955414939,0.6512981957279712,M,F,2,2
cohort_M35-N30,cont_disc_bin,balanced_rf,gender,equalised_odds,tpr,0.08333333333333333,0.5,M,F,2,2
cohort_M35-N30,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.043976103551277804,0.7119565217391304,80+,18-39,4,4
cohort_M35-N30,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.3,0.0,40-64,18-39,4,4
cohort_M35-N30,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.375,0.0,40-64,18-39,4,4
cohort_M35-N30,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.016089466089466098,0.8694379391100702,80+,65-79,4,4
cohort_M35-N30,cont_disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.375,0.0,40-64,18-39,4,4
cohort_M35-N30,disc,balanced_rf,gender,statistical_parity,selection_rate,0.05328363209917911,0.708945321436742,M,F,2,2
cohort_M35-N30,disc,balanced_rf,gender,predictive_parity,ppv,0.04812268640930724,0.2540983606557377,M,F,2,2
cohort_M35-N30,disc,balanced_rf,gender,equal_opportunity,tpr,0.1388888888888889,0.375,M,F,2,2
cohort_M35-N30,disc,balanced_rf,gender,predictive_equality,fpr,0.04986881406095381,0.7242885107664508,M,F,2,2
cohort_M35-N30,disc,balanced_rf,gender,equalised_odds,tpr,0.1388888888888889,0.375,M,F,2,2
cohort_M35-N30,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.0632497273718648,0.693121693121693,80+,18-39,4,4
cohort_M35-N30,disc,balanced_rf,age_band,predictive_parity,ppv,0.25925925925925924,0.0,40-64,18-39,4,4
cohort_M35-N30,disc,balanced_rf,age_band,equal_opportunity,tpr,0.4375,0.0,40-64,18-39,4,4
cohort_M35-N30,disc,balanced_rf,age_band,predictive_equality,fpr,0.031055900621118016,0.8214285714285714,80+,18-39,4,4
cohort_M35-N30,disc,balanced_rf,age_band,equalised_odds,tpr,0.4375,0.0,40-64,18-39,4,4
cohort_M35-N30,disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.055411291673647195,0.6973232669869595,M,F,2,2
cohort_M35-N30,disc_bin,balanced_rf,gender,predictive_parity,ppv,0.0532258064516129,0.23846153846153847,M,F,2,2
cohort_M35-N30,disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.15740740740740738,0.34615384615384615,M,F,2,2
cohort_M35-N30,disc_bin,balanced_rf,gender,predictive_equality,fpr,0.05101271913498989,0.7163338970643914,M,F,2,2
cohort_M35-N30,disc_bin,balanced_rf,gender,equalised_odds,tpr,0.15740740740740738,0.34615384615384615,M,F,2,2
cohort_M35-N30,disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.0632497273718648,0.693121693121693,80+,18-39,4,4
cohort_M35-N30,disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.25925925925925924,0.0,40-64,18-39,4,4
cohort_M35-N30,disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.4375,0.0,40-64,18-39,4,4
cohort_M35-N30,disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.031055900621118016,0.8214285714285714,80+,18-39,4,4
cohort_M35-N30,disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.4375,0.0,40-64,18-39,4,4
cohort_M35-N30,disc_imp,balanced_rf,gender,statistical_parity,selection_rate,0.04328195677667951,0.7529524264881664,M,F,2,2
cohort_M35-N30,disc_imp,balanced_rf,gender,predictive_parity,ppv,0.051286698079014134,0.239247311827957,M,F,2,2
cohort_M35-N30,disc_imp,balanced_rf,gender,equal_opportunity,tpr,0.1388888888888889,0.375,M,F,2,2
cohort_M35-N30,disc_imp,balanced_rf,gender,predictive_equality,fpr,0.03936939963140837,0.7718472141842478,M,F,2,2
cohort_M35-N30,disc_imp,balanced_rf,gender,equalised_odds,tpr,0.1388888888888889,0.375,M,F,2,2
cohort_M35-N30,disc_imp,balanced_rf,age_band,statistical_parity,selection_rate,0.061827319709828826,0.6884854276158624,80+,18-39,4,4
cohort_M35-N30,disc_imp,balanced_rf,age_band,predictive_parity,ppv,0.2692307692307692,0.0,40-64,18-39,4,4
cohort_M35-N30,disc_imp,balanced_rf,age_band,equal_opportunity,tpr,0.4375,0.0,40-64,18-39,4,4
cohort_M35-N30,disc_imp,balanced_rf,age_band,predictive_equality,fpr,0.03131313131313132,0.8132530120481927,80+,65-79,4,4
cohort_M35-N30,disc_imp,balanced_rf,age_band,equalised_odds,tpr,0.4375,0.0,40-64,18-39,4,4
