cohort,feature_set,fold,feature,itemid,representation,importance
cohort_M35-N30,cont,0,cont_50803,50803,cont,2.7681660899653883e-05
cohort_M35-N30,cont,0,cont_50804,50804,cont,0.005123959921536249
cohort_M35-N30,cont,0,cont_50805,50805,cont,0.0
cohort_M35-N30,cont,0,cont_50806,50806,cont,0.0006436103801868154
cohort_M35-N30,cont,0,cont_50808,50808,cont,0.0022552796112384524
cohort_M35-N30,cont,0,cont_50809,50809,cont,0.0011510511118924141
cohort_M35-N30,cont,0,cont_50811,50811,cont,0.0009091336432076331
cohort_M35-N30,cont,0,cont_50813,50813,cont,0.0041620595795986365
cohort_M35-N30,cont,0,cont_50814,50814,cont,0.0
cohort_M35-N30,cont,0,cont_50818,50818,cont,0.004273105739670598
cohort_M35-N30,cont,0,cont_50820,50820,cont,0.0030360959358490484
cohort_M35-N30,cont,0,cont_50821,50821,cont,0.0039918564701041355
cohort_M35-N30,cont,0,cont_50822,50822,cont,0.0008978221713779535
cohort_M35-N30,cont,0,cont_50824,50824,cont,0.00046220016481469196
cohort_M35-N30,cont,0,cont_50853,50853,cont,0.00044135429871344236
cohort_M35-N30,cont,0,cont_50856,50856,cont,9.958321756043325e-05
cohort_M35-N30,cont,0,cont_50861,50861,cont,0.017181177887004982
cohort_M35-N30,cont,0,cont_50862,50862,cont,0.011346683200270269
cohort_M35-N30,cont,0,cont_50863,50863,cont,0.014729933215684592
cohort_M35-N30,cont,0,cont_50866,50866,cont,0.00025122805106859915
cohort_M35-N30,cont,0,cont_50867,50867,cont,7.26457399103139e-05
cohort_M35-N30,cont,0,cont_50868,50868,cont,0.04399657896821692
cohort_M35-N30,cont,0,cont_50877,50877,cont,0.0
cohort_M35-N30,cont,0,cont_50878,50878,cont,0.015641546156480626
cohort_M35-N30,cont,0,cont_50881,50881,cont,0.0
cohort_M35-N30,cont,0,cont_50882,50882,cont,0.033666049393171305
cohort_M35-N30,cont,0,cont_50883,50883,cont,0.0005520582409770624
cohort_M35-N30,cont,0,cont_50885,50885,cont,0.009356770554722234
cohort_M35-N30,cont,0,cont_50889,50889,cont,0.00597204884715474
