cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_M48-M96,bin,balanced_rf,gender,statistical_parity,selection_rate,0.02522706674657854,0.9224889835068858,M,F,2,2
cohort_M48-M96,bin,balanced_rf,gender,predictive_parity,ppv,0.018390523553580087,0.612047526941144,F,M,2,2
cohort_M48-M96,bin,balanced_rf,gender,equal_opportunity,tpr,0.1827586206896551,0.7389162561576356,F,M,2,2
cohort_M48-M96,bin,balanced_rf,gender,predictive_equality,fpr,0.029957539229384766,0.9069346963581164,M,F,2,2
cohort_M48-M96,bin,balanced_rf,gender,equalised_odds,tpr,0.1827586206896551,0.7389162561576356,F,M,2,2
cohort_M48-M96,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.03753045933820681,0.8797255875054737,18-39,40-64,3,3
cohort_M48-M96,bin,balanced_rf,age_band,predictive_parity,ppv,0.037815126050420166,0.47058823529411764,65-79,18-39,3,3
cohort_M48-M96,bin,balanced_rf,age_band,equal_opportunity,tpr,0.2761904761904762,0.6685714285714286,40-64,18-39,3,3
cohort_M48-M96,bin,balanced_rf,age_band,predictive_equality,fpr,0.044168716249798234,0.8552855489755633,18-39,40-64,3,3
cohort_M48-M96,bin,balanced_rf,age_band,equalised_odds,tpr,0.2761904761904762,0.6685714285714286,40-64,18-39,3,3
cohort_M48-M96,cont,balanced_rf,gender,statistical_parity,selection_rate,0.04185624672078106,0.832522297440905,M,F,2,2
cohort_M48-M96,cont,balanced_rf,gender,predictive_parity,ppv,0.01995831931669935,0.6687997821499081,F,M,2,2
cohort_M48-M96,cont,balanced_rf,gender,equal_opportunity,tpr,0.06494252873563222,0.8946877912395154,F,M,2,2
cohort_M48-M96,cont,balanced_rf,gender,predictive_equality,fpr,0.04472415470772023,0.8169361699037015,M,F,2,2
cohort_M48-M96,cont,balanced_rf,gender,equalised_odds,tpr,0.06494252873563222,0.8946877912395154,F,M,2,2
cohort_M48-M96,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.05022880077715572,0.8088306836093327,65-79,18-39,3,3
cohort_M48-M96,cont,balanced_rf,age_band,predictive_parity,ppv,0.02963709062051704,0.6028629856850717,65-79,18-39,3,3
cohort_M48-M96,cont,balanced_rf,age_band,equal_opportunity,tpr,0.2761904761904762,0.6685714285714286,40-64,18-39,3,3
cohort_M48-M96,cont,balanced_rf,age_band,predictive_equality,fpr,0.04263274929146546,0.8287813778455662,65-79,18-39,3,3
cohort_M48-M96,cont,balanced_rf,age_band,equalised_odds,tpr,0.2761904761904762,0.6685714285714286,40-64,18-39,3,3
cohort_M48-M96,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.03946145025128192,0.8450321045138163,M,F,2,2
cohort_M48-M96,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.024673213746921933,0.6083127317676144,F,M,2,2
cohort_M48-M96,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.13218390804597702,0.8017241379310345,F,M,2,2
cohort_M48-M96,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.043627784717116896,0.8250963232227666,M,F,2,2
cohort_M48-M96,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.13218390804597702,0.8017241379310345,F,M,2,2
cohort_M48-M96,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.05373622721578855,0.8042466008567702,65-79,18-39,3,3
cohort_M48-M96,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.02418447694038245,0.6614173228346457,65-79,18-39,3,3
cohort_M48-M96,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.2761904761904762,0.6685714285714286,40-64,18-39,3,3
cohort_M48-M96,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.04716879005194444,0.8193072504163975,65-79,18-39,3,3
cohort_M48-M96,cont_bin,balanced_rf,age_band,equalised_odds,tpr,0.2761904761904762,0.6685714285714286,40-64,18-39,3,3
cohort_M48-M96,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.04205186656422755,0.8358737345521488,M,F,2,2
cohort_M48-M96,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.025561378409479675,0.6059807035416791,F,M,2,2
cohort_M48-M96,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.13160919540229887,0.8074011774600505,F,M,2,2
cohort_M48-M96,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.04629385133395936,0.8153573883495918,M,F,2,2
cohort_M48-M96,cont_disc_bin,balanced_rf,gender,equalised_odds,tpr,0.13160919540229887,0.8074011774600505,F,M,2,2
cohort_M48-M96,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.06419715213334354,0.7757496740547588,65-79,18-39,3,3
cohort_M48-M96,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.019569471624266144,0.7142857142857143,65-79,18-39,3,3
cohort_M48-M96,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.261904761904762,0.6857142857142856,40-64,18-39,3,3
cohort_M48-M96,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.05833320023354577,0.7863975462036339,65-79,18-39,3,3
cohort_M48-M96,cont_disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.261904761904762,0.6857142857142856,40-64,18-39,3,3
cohort_M48-M96,disc,balanced_rf,gender,statistical_parity,selection_rate,0.03334049041702758,0.8736005512471401,M,F,2,2
cohort_M48-M96,disc,balanced_rf,gender,predictive_parity,ppv,0.025965183209321917,0.5796113194681214,F,M,2,2
cohort_M48-M96,disc,balanced_rf,gender,equal_opportunity,tpr,0.1827586206896551,0.7389162561576356,F,M,2,2
cohort_M48-M96,disc,balanced_rf,gender,predictive_equality,fpr,0.03837250606602241,0.851876427698114,M,F,2,2
cohort_M48-M96,disc,balanced_rf,gender,equalised_odds,tpr,0.1827586206896551,0.7389162561576356,F,M,2,2
cohort_M48-M96,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.06117544801492958,0.7920034767492394,65-79,18-39,3,3
cohort_M48-M96,disc,balanced_rf,age_band,predictive_parity,ppv,0.03335820895522388,0.5830223880597015,65-79,18-39,3,3
cohort_M48-M96,disc,balanced_rf,age_band,equal_opportunity,tpr,0.4571428571428572,0.5428571428571428,40-64,18-39,3,3
cohort_M48-M96,disc,balanced_rf,age_band,predictive_equality,fpr,0.051301982122036544,0.814866760168303,65-79,18-39,3,3
cohort_M48-M96,disc,balanced_rf,age_band,equalised_odds,tpr,0.4571428571428572,0.5428571428571428,40-64,18-39,3,3
cohort_M48-M96,disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.03021974593526175,0.8877097861563432,M,F,2,2
cohort_M48-M96,disc_bin,balanced_rf,gender,predictive_parity,ppv,0.024486748786860774,0.5889724310776941,F,M,2,2
cohort_M48-M96,disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.1827586206896551,0.7389162561576356,F,M,2,2
cohort_M48-M96,disc_bin,balanced_rf,gender,predictive_equality,fpr,0.03517544415128307,0.8670155026571492,M,F,2,2
cohort_M48-M96,disc_bin,balanced_rf,gender,equalised_odds,tpr,0.1827586206896551,0.7389162561576356,F,M,2,2
cohort_M48-M96,disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.048127412633893224,0.834155537545368,65-79,18-39,3,3
