cohort,feature_set,fold,feature,itemid,representation,importance
cohort_M48-M96,cont,0,cont_50803,50803,cont,0.000640185119368994
cohort_M48-M96,cont,0,cont_50804,50804,cont,0.004697184263581392
cohort_M48-M96,cont,0,cont_50805,50805,cont,5.749744922519975e-05
cohort_M48-M96,cont,0,cont_50806,50806,cont,0.007237739688673307
cohort_M48-M96,cont,0,cont_50808,50808,cont,0.008157571432123178
cohort_M48-M96,cont,0,cont_50809,50809,cont,0.007615521125723174
cohort_M48-M96,cont,0,cont_50811,50811,cont,0.007099537974507829
cohort_M48-M96,cont,0,cont_50813,50813,cont,0.006761839045116389
cohort_M48-M96,cont,0,cont_50814,50814,cont,2.5404679071308096e-05
cohort_M48-M96,cont,0,cont_50818,50818,cont,0.004516363883601577
cohort_M48-M96,cont,0,cont_50820,50820,cont,0.0064986931203997785
cohort_M48-M96,cont,0,cont_50821,50821,cont,0.003730324200122101
cohort_M48-M96,cont,0,cont_50822,50822,cont,0.005658169132410109
cohort_M48-M96,cont,0,cont_50824,50824,cont,0.00780977871605891
cohort_M48-M96,cont,0,cont_50853,50853,cont,0.0006684147335553085
cohort_M48-M96,cont,0,cont_50856,50856,cont,7.391967371394032e-05
cohort_M48-M96,cont,0,cont_50861,50861,cont,0.030080920435117273
cohort_M48-M96,cont,0,cont_50862,50862,cont,0.00826997667938766
cohort_M48-M96,cont,0,cont_50863,50863,cont,0.02180179899024166
cohort_M48-M96,cont,0,cont_50866,50866,cont,2.2394106813996256e-05
cohort_M48-M96,cont,0,cont_50867,50867,cont,3.190043705697449e-06
cohort_M48-M96,cont,0,cont_50868,50868,cont,0.02032094280675347
cohort_M48-M96,cont,0,cont_50877,50877,cont,0.0
cohort_M48-M96,cont,0,cont_50878,50878,cont,0.02753612300105444
cohort_M48-M96,cont,0,cont_50881,50881,cont,0.0
cohort_M48-M96,cont,0,cont_50882,50882,cont,0.01969896345922763
cohort_M48-M96,cont,0,cont_50883,50883,cont,0.00010876239577042748
cohort_M48-M96,cont,0,cont_50885,50885,cont,0.01646485755601
cohort_M48-M96,cont,0,cont_50889,50889,cont,0.003956806922253374
cohort_M48-M96,cont,0,cont_50890,50890,cont,0.0
cohort_M48-M96,cont,0,cont_50891,50891,cont,0.00022674299043638172
cohort_M48-M96,cont,0,cont_50893,50893,cont,0.025526880782011204
cohort_M48-M96,cont,0,cont_50894,50894,cont,0.0
cohort_M48-M96,cont,0,cont_50895,50895,cont,0.0
cohort_M48-M96,cont,0,cont_50896,50896,cont,0.0
cohort_M48-M96,cont,0,cont_50899,50899,cont,0.0
cohort_M48-M96,cont,0,cont_50902,50902,cont,0.01981972457895925
cohort_M48-M96,cont,0,cont_50904,50904,cont,0.0008415456118108867
cohort_M48-M96,cont,0,cont_50905,50905,cont,0.0
cohort_M48-M96,cont,0,cont_50906,50906,cont,0.00014379450011822134
cohort_M48-M96,cont,0,cont_50907,50907,cont,0.0004032113161171993
cohort_M48-M96,cont,0,cont_50908,50908,cont,0.0006355453706929577
cohort_M48-M96,cont,0,cont_50910,50910,cont,0.0
cohort_M48-M96,cont,0,cont_50911,50911,cont,0.004121044510714297
cohort_M48-M96,cont,0,cont_50912,50912,cont,0.046196761886825755
cohort_M48-M96,cont,0,cont_50914,50914,cont,0.0
cohort_M48-M96,cont,0,cont_50915,50915,cont,0.0
cohort_M48-M96,cont,0,cont_50916,50916,cont,0.0
cohort_M48-M96,cont,0,cont_50917,50917,cont,0.00012341712728337906
cohort_M48-M96,cont,0,cont_50924,50924,cont,0.004771745989247012
cohort_M48-M96,cont,0,cont_50925,50925,cont,0.0003159206199526855
cohort_M48-M96,cont,0,cont_50927,50927,cont,0.0001592760180995475
cohort_M48-M96,cont,0,cont_50930,50930,cont,0.0002318762264691463
cohort_M48-M96,cont,0,cont_50931,50931,cont,0.0
cohort_M48-M96,cont,0,cont_50935,50935,cont,0.0009886373607362084
cohort_M48-M96,cont,0,cont_50945,50945,cont,0.0
cohort_M48-M96,cont,0,cont_50949,50949,cont,0.00023733281247093402
cohort_M48-M96,cont,0,cont_50950,50950,cont,0.000259996889057624
cohort_M48-M96,cont,0,cont_50951,50951,cont,9.395924759615563e-05
cohort_M48-M96,cont,0,cont_50952,50952,cont,0.002323349219772047
cohort_M48-M96,cont,0,cont_50953,50953,cont,0.002045557423479619
cohort_M48-M96,cont,0,cont_50954,50954,cont,0.010902772944552986
cohort_M48-M96,cont,0,cont_50956,50956,cont,0.002539801502717056
cohort_M48-M96,cont,0,cont_50957,50957,cont,0.0
cohort_M48-M96,cont,0,cont_50960,50960,cont,0.03345259507917385
cohort_M48-M96,cont,0,cont_50964,50964,cont,0.0005884984340522998
cohort_M48-M96,cont,0,cont_50965,50965,cont,0.0007384395781651888
cohort_M48-M96,cont,0,cont_50966,50966,cont,0.0
cohort_M48-M96,cont,0,cont_50967,50967,cont,7.221664994984956e-05
cohort_M48-M96,cont,0,cont_50968,50968,cont,0.0
cohort_M48-M96,cont,0,cont_50969,50969,cont,0.0
cohort_M48-M96,cont,0,cont_50970,50970,cont,0.02379339103459059
cohort_M48-M96,cont,0,cont_50971,50971,cont,0.01975060559170788
cohort_M48-M96,cont,0,cont_50976,50976,cont,0.0008758172815759791
cohort_M48-M96,cont,0,cont_50978,50978,cont,0.0
cohort_M48-M96,cont,0,cont_50981,50981,cont,0.0
cohort_M48-M96,cont,0,cont_50982,50982,cont,0.0
cohort_M48-M96,cont,0,cont_50983,50983,cont,0.023418715810432218
cohort_M48-M96,cont,0,cont_50986,50986,cont,0.0
cohort_M48-M96,cont,0,cont_50988,50988,cont,0.0
cohort_M48-M96,cont,0,cont_50989,50989,cont,0.0
cohort_M48-M96,cont,0,cont_50990,50990,cont,0.0
cohort_M48-M96,cont,0,cont_50992,50992,cont,0.0
cohort_M48-M96,cont,0,cont_50993,50993,cont,0.003516855508881492
cohort_M48-M96,cont,0,cont_50994,50994,cont,0.0011518895293830458
cohort_M48-M96,cont,0,cont_50995,50995,cont,0.000565061576810121
cohort_M48-M96,cont,0,cont_50997,50997,cont,0.0
cohort_M48-M96,cont,0,cont_50998,50998,cont,0.0013472713910682378
cohort_M48-M96,cont,0,cont_51000,51000,cont,0.0008861383599499386
cohort_M48-M96,cont,0,cont_51001,51001,cont,0.0
cohort_M48-M96,cont,0,cont_51005,51005,cont,0.0
cohort_M48-M96,cont,0,cont_51006,51006,cont,0.04756575957595563
cohort_M48-M96,cont,0,cont_51007,51007,cont,0.001017025009032036
cohort_M48-M96,cont,0,cont_51008,51008,cont,1.3781223083548674e-05
cohort_M48-M96,cont,0,cont_51009,51009,cont,0.0017408965671350625
cohort_M48-M96,cont,0,cont_51010,51010,cont,0.0009552506690487971
cohort_M48-M96,cont,0,cont_51070,51070,cont,4.932536376847746e-05
cohort_M48-M96,cont,0,cont_51080,51080,cont,0.0
cohort_M48-M96,cont,0,cont_51099,51099,cont,0.00015348381218626965
cohort_M48-M96,cont,0,cont_51110,51110,cont,0.0
cohort_M48-M96,cont,0,cont_51111,51111,cont,0.0
cohort_M48-M96,cont,0,cont_51114,51114,cont,0.0
cohort_M48-M96,cont,0,cont_51116,51116,cont,1.3054656382794464e-05
cohort_M48-M96,cont,0,cont_51117,51117,cont,0.0
cohort_M48-M96,cont,0,cont_51118,51118,cont,0.0
cohort_M48-M96,cont,0,cont_51120,51120,cont,7.440643863179089e-05
cohort_M48-M96,cont,0,cont_51124,51124,cont,0.0
cohort_M48-M96,cont,0,cont_51125,51125,cont,8.500354766872503e-05
cohort_M48-M96,cont,0,cont_51127,51127,cont,0.0
cohort_M48-M96,cont,0,cont_51130,51130,cont,0.0
cohort_M48-M96,cont,0,cont_51131,51131,cont,0.0
cohort_M48-M96,cont,0,cont_51132,51132,cont,0.0
cohort_M48-M96,cont,0,cont_51133,51133,cont,0.011195418834963548
cohort_M48-M96,cont,0,cont_51138,51138,cont,0.0
cohort_M48-M96,cont,0,cont_51139,51139,cont,0.0
cohort_M48-M96,cont,0,cont_51140,51140,cont,0.0
cohort_M48-M96,cont,0,cont_51143,51143,cont,0.0005421491730026535
cohort_M48-M96,cont,0,cont_51144,51144,cont,0.0010396839510802222
cohort_M48-M96,cont,0,cont_51146,51146,cont,0.008359435068902852
cohort_M48-M96,cont,0,cont_51148,51148,cont,0.0
cohort_M48-M96,cont,0,cont_51149,51149,cont,0.0
cohort_M48-M96,cont,0,cont_51181,51181,cont,0.0
cohort_M48-M96,cont,0,cont_51196,51196,cont,0.0
cohort_M48-M96,cont,0,cont_51199,51199,cont,0.0
cohort_M48-M96,cont,0,cont_51200,51200,cont,0.010128317792153521
cohort_M48-M96,cont,0,cont_51202,51202,cont,0.0
cohort_M48-M96,cont,0,cont_51203,51203,cont,0.0
cohort_M48-M96,cont,0,cont_51204,51204,cont,0.0
cohort_M48-M96,cont,0,cont_51205,51205,cont,0.0
cohort_M48-M96,cont,0,cont_51206,51206,cont,0.0
cohort_M48-M96,cont,0,cont_51207,51207,cont,0.0
cohort_M48-M96,cont,0,cont_51208,51208,cont,0.0
cohort_M48-M96,cont,0,cont_51209,51209,cont,0.0
cohort_M48-M96,cont,0,cont_51214,51214,cont,0.0022616864040257557
cohort_M48-M96,cont,0,cont_51218,51218,cont,0.0
cohort_M48-M96,cont,0,cont_51221,51221,cont,0.022362379423736225
cohort_M48-M96,cont,0,cont_51222,51222,cont,0.024608814127238483
cohort_M48-M96,cont,0,cont_51223,51223,cont,0.0
cohort_M48-M96,cont,0,cont_51224,51224,cont,0.0
