cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_M62-H91,bin,balanced_rf,all,all,3168,53,0.01672979797979798,0.2032828282828283,0.3693812653320816,0.013192756842051154,0.020086083213773313,-0.0230797625882587,0.4637905448378206,0.1320754716981132,0.20449438202247192,0.010869565217391304
cohort_M62-H91,bin,balanced_rf,gender,F,1467,26,0.01772324471710975,0.21336059986366734,0.3864570543959857,0.015448191809742764,0.02359882005899705,-0.019513362818926315,0.4697058666524315,0.15384615384615385,0.21443442054129078,0.012779552715654952
cohort_M62-H91,bin,balanced_rf,gender,M,1701,27,0.015873015873015872,0.19459141681363903,0.3519846010885437,0.012373154042000772,0.01675977653631285,-0.0267804715115289,0.4575866188769414,0.1111111111111111,0.1959378733572282,0.00906344410876133
cohort_M62-H91,bin,balanced_rf,age_band,18-39,643,3,0.004665629860031105,0.2208398133748056,0.33333333333333337,0.00445215301022182,0.0,-0.036449867137909535,0.3890625,0.0,0.221875,0.0
cohort_M62-H91,bin,balanced_rf,age_band,40-64,1608,21,0.013059701492537313,0.1884328358208955,0.3925795901221232,0.010744897617139239,0.006172839506172839,-0.04142150176052701,0.42866144567467823,0.047619047619047616,0.19029615626969124,0.0033003300330033004
cohort_M62-H91,bin,balanced_rf,age_band,65-79,666,18,0.02702702702702703,0.21621621621621623,0.3285322359396433,0.02504424479543153,0.04938271604938271,0.0024316006085133807,0.5030864197530864,0.2222222222222222,0.21604938271604937,0.027777777777777776
cohort_M62-H91,bin,balanced_rf,age_band,80+,251,11,0.043824701195219126,0.21912350597609562,0.3928030303030303,0.04099638667005276,0.06060606060606061,-0.01930749276835437,0.4804924242424242,0.18181818181818182,0.22083333333333333,0.03636363636363636
cohort_M62-H91,cont,balanced_rf,all,all,3168,53,0.01672979797979798,0.09722222222222222,0.23754807837911507,0.010154816206111687,0.0,-0.04280566526048151,0.45056179775280897,0.0,0.09887640449438202,0.0
cohort_M62-H91,cont,balanced_rf,gender,F,1467,26,0.01772324471710975,0.1029311520109066,0.23447926119681844,0.011004754187464879,0.0,-0.04550039978755383,0.4476058292852186,0.0,0.10478834142956281,0.0
cohort_M62-H91,cont,balanced_rf,gender,M,1701,27,0.015873015873015872,0.09229864785420341,0.23856144077171554,0.010075698886706726,0.0,-0.04049769762946591,0.4531063321385902,0.0,0.0937873357228196,0.0
cohort_M62-H91,cont,balanced_rf,age_band,18-39,643,3,0.004665629860031105,0.104199066874028,0.28671875,0.004461157445136083,0.0,-0.02335053309527072,0.44765625,0.0,0.1046875,0.0
cohort_M62-H91,cont,balanced_rf,age_band,40-64,1608,21,0.013059701492537313,0.1013681592039801,0.21205028955501543,0.008076370430768448,0.0,-0.038635012993926736,0.44864524259609323,0.0,0.10270951480781348,0.0
cohort_M62-H91,cont,balanced_rf,age_band,65-79,666,18,0.02702702702702703,0.0915915915915916,0.19500171467764058,0.0163140822178246,0.0,-0.05292196726234237,0.4529320987654321,0.0,0.0941358024691358,0.0
cohort_M62-H91,cont,balanced_rf,age_band,80+,251,11,0.043824701195219126,0.06772908366533864,0.3365530303030303,0.03692434947344127,0.0,-0.057704177316482724,0.46458333333333335,0.0,0.07083333333333333,0.0
cohort_M62-H91,cont_bin,balanced_rf,all,all,3168,53,0.01672979797979798,0.09690656565656566,0.22863199975771525,0.010083404828038517,0.0,-0.04272864965762316,0.4507223113964687,0.0,0.0985553772070626,0.0
cohort_M62-H91,cont_bin,balanced_rf,gender,F,1467,26,0.01772324471710975,0.1029311520109066,0.23808252815886402,0.0110883013274647,0.0,-0.04550039978755383,0.4476058292852186,0.0,0.10478834142956281,0.0
cohort_M62-H91,cont_bin,balanced_rf,gender,M,1701,27,0.015873015873015872,0.09171075837742504,0.2167795035178548,0.009898001873678331,0.0,-0.04035545168159974,0.45340501792114696,0.0,0.0931899641577061,0.0
cohort_M62-H91,cont_bin,balanced_rf,age_band,18-39,643,3,0.004665629860031105,0.104199066874028,0.2432291666666667,0.004270154665388187,0.0,-0.02335053309527072,0.44765625,0.0,0.1046875,0.0
