cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_M62-H91,bin,balanced_rf,gender,statistical_parity,selection_rate,0.01876918305002831,0.91203069797319,M,F,2,2
cohort_M62-H91,bin,balanced_rf,gender,predictive_parity,ppv,0.0037161086068936214,0.7092145015105741,M,F,2,2
cohort_M62-H91,bin,balanced_rf,gender,equal_opportunity,tpr,0.04273504273504275,0.7222222222222221,M,F,2,2
cohort_M62-H91,bin,balanced_rf,gender,predictive_equality,fpr,0.018496547184062573,0.9137426391837082,M,F,2,2
cohort_M62-H91,bin,balanced_rf,gender,equalised_odds,tpr,0.04273504273504275,0.7222222222222221,M,F,2,2
cohort_M62-H91,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.030690670155200106,0.8599389416553596,40-64,80+,3,3
cohort_M62-H91,bin,balanced_rf,age_band,predictive_parity,ppv,0.03306330633063306,0.09075907590759076,40-64,80+,3,3
cohort_M62-H91,bin,balanced_rf,age_band,equal_opportunity,tpr,0.1746031746031746,0.21428571428571427,40-64,65-79,3,3
cohort_M62-H91,bin,balanced_rf,age_band,predictive_equality,fpr,0.03053717706364209,0.8617184434853943,40-64,80+,3,3
cohort_M62-H91,bin,balanced_rf,age_band,equalised_odds,tpr,0.1746031746031746,0.21428571428571427,40-64,65-79,3,3
cohort_M62-H91,cont,balanced_rf,gender,statistical_parity,selection_rate,0.010632504156703193,0.89670275762991,M,F,2,2
cohort_M62-H91,cont,balanced_rf,gender,predictive_parity,ppv,0.0,,F,F,2,2
cohort_M62-H91,cont,balanced_rf,gender,equal_opportunity,tpr,0.0,,F,F,2,2
cohort_M62-H91,cont,balanced_rf,gender,predictive_equality,fpr,0.011001005706743214,0.8950168925601525,M,F,2,2
cohort_M62-H91,cont,balanced_rf,gender,equalised_odds,fpr,0.011001005706743214,0.8950168925601525,M,F,2,2
cohort_M62-H91,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.033639075538641455,0.6681494879378193,80+,40-64,3,3
cohort_M62-H91,cont,balanced_rf,age_band,predictive_parity,ppv,0.0,,40-64,40-64,3,3
cohort_M62-H91,cont,balanced_rf,age_band,equal_opportunity,tpr,0.0,,40-64,40-64,3,3
cohort_M62-H91,cont,balanced_rf,age_band,predictive_equality,fpr,0.03187618147448015,0.6896472392638037,80+,40-64,3,3
cohort_M62-H91,cont,balanced_rf,age_band,equalised_odds,fpr,0.03187618147448015,0.6896472392638037,80+,40-64,3,3
cohort_M62-H91,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.011220393633481568,0.8909912750972353,M,F,2,2
cohort_M62-H91,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.0,,F,F,2,2
cohort_M62-H91,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.0,,F,F,2,2
cohort_M62-H91,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.01159837727185671,0.8893161480215529,M,F,2,2
