cohort,feature_set,fold,feature,itemid,representation,importance
cohort_M62-H91,cont,0,cont_50803,50803,cont,0.0
cohort_M62-H91,cont,0,cont_50804,50804,cont,0.005899369679418684
cohort_M62-H91,cont,0,cont_50805,50805,cont,0.0
cohort_M62-H91,cont,0,cont_50806,50806,cont,0.001165854077575738
cohort_M62-H91,cont,0,cont_50808,50808,cont,0.0019891832140201664
cohort_M62-H91,cont,0,cont_50809,50809,cont,0.0014687748251840105
cohort_M62-H91,cont,0,cont_50811,50811,cont,0.000278225806451613
cohort_M62-H91,cont,0,cont_50813,50813,cont,0.008120588317781069
cohort_M62-H91,cont,0,cont_50814,50814,cont,0.00024811289793239254
cohort_M62-H91,cont,0,cont_50818,50818,cont,0.0042070683939767935
cohort_M62-H91,cont,0,cont_50820,50820,cont,0.009163407986399917
cohort_M62-H91,cont,0,cont_50821,50821,cont,0.0047720959865188975
cohort_M62-H91,cont,0,cont_50822,50822,cont,0.0032232751870212117
cohort_M62-H91,cont,0,cont_50824,50824,cont,0.002193705373210338
cohort_M62-H91,cont,0,cont_50853,50853,cont,0.0013460966541386018
cohort_M62-H91,cont,0,cont_50856,50856,cont,0.0
cohort_M62-H91,cont,0,cont_50861,50861,cont,0.014899852952018747
cohort_M62-H91,cont,0,cont_50862,50862,cont,0.013138263450547586
cohort_M62-H91,cont,0,cont_50863,50863,cont,0.029405946199213304
cohort_M62-H91,cont,0,cont_50866,50866,cont,0.0009808341946220321
cohort_M62-H91,cont,0,cont_50867,50867,cont,0.0005940212806945554
cohort_M62-H91,cont,0,cont_50868,50868,cont,0.025311320178422105
cohort_M62-H91,cont,0,cont_50877,50877,cont,0.0
cohort_M62-H91,cont,0,cont_50878,50878,cont,0.021918738911191935
cohort_M62-H91,cont,0,cont_50881,50881,cont,0.0
cohort_M62-H91,cont,0,cont_50882,50882,cont,0.021264676910379508
cohort_M62-H91,cont,0,cont_50883,50883,cont,0.0013871507875850473
cohort_M62-H91,cont,0,cont_50885,50885,cont,0.014942465314924037
cohort_M62-H91,cont,0,cont_50889,50889,cont,0.00881976293962999
cohort_M62-H91,cont,0,cont_50890,50890,cont,4.3724584977518726e-05
cohort_M62-H91,cont,0,cont_50891,50891,cont,0.00024085154162044862
cohort_M62-H91,cont,0,cont_50893,50893,cont,0.02080540079334584
cohort_M62-H91,cont,0,cont_50894,50894,cont,0.0
cohort_M62-H91,cont,0,cont_50895,50895,cont,0.0
cohort_M62-H91,cont,0,cont_50896,50896,cont,0.0
cohort_M62-H91,cont,0,cont_50899,50899,cont,0.0
cohort_M62-H91,cont,0,cont_50902,50902,cont,0.027147119667645735
cohort_M62-H91,cont,0,cont_50904,50904,cont,0.0006686179671556464
cohort_M62-H91,cont,0,cont_50905,50905,cont,0.0
cohort_M62-H91,cont,0,cont_50906,50906,cont,0.0
cohort_M62-H91,cont,0,cont_50907,50907,cont,0.0007535149246176119
cohort_M62-H91,cont,0,cont_50908,50908,cont,0.0005031155237905609
cohort_M62-H91,cont,0,cont_50910,50910,cont,0.0
cohort_M62-H91,cont,0,cont_50911,50911,cont,0.0033355393704375207
cohort_M62-H91,cont,0,cont_50912,50912,cont,0.031409879298048976
cohort_M62-H91,cont,0,cont_50914,50914,cont,0.0
cohort_M62-H91,cont,0,cont_50915,50915,cont,0.0
cohort_M62-H91,cont,0,cont_50916,50916,cont,0.0
cohort_M62-H91,cont,0,cont_50917,50917,cont,0.0
cohort_M62-H91,cont,0,cont_50924,50924,cont,0.006512208582073068
cohort_M62-H91,cont,0,cont_50925,50925,cont,0.0006364311242599507
cohort_M62-H91,cont,0,cont_50927,50927,cont,0.00029212470797116037
cohort_M62-H91,cont,0,cont_50930,50930,cont,0.00041311064057232734
cohort_M62-H91,cont,0,cont_50931,50931,cont,0.0
cohort_M62-H91,cont,0,cont_50935,50935,cont,0.002897288603995992
cohort_M62-H91,cont,0,cont_50945,50945,cont,0.0
cohort_M62-H91,cont,0,cont_50949,50949,cont,0.0
cohort_M62-H91,cont,0,cont_50950,50950,cont,0.0003488677636669179
cohort_M62-H91,cont,0,cont_50951,50951,cont,0.00041085938743236653
cohort_M62-H91,cont,0,cont_50952,50952,cont,0.0024160413715810444
cohort_M62-H91,cont,0,cont_50953,50953,cont,0.0035310836029396045
cohort_M62-H91,cont,0,cont_50954,50954,cont,0.011778622105249674
cohort_M62-H91,cont,0,cont_50956,50956,cont,0.004466628935483494
cohort_M62-H91,cont,0,cont_50957,50957,cont,0.0
cohort_M62-H91,cont,0,cont_50960,50960,cont,0.02139288406968812
cohort_M62-H91,cont,0,cont_50964,50964,cont,0.0008755275097243605
cohort_M62-H91,cont,0,cont_50965,50965,cont,0.0
cohort_M62-H91,cont,0,cont_50966,50966,cont,0.000192976698391861
cohort_M62-H91,cont,0,cont_50967,50967,cont,0.0013169085073777389
cohort_M62-H91,cont,0,cont_50968,50968,cont,0.0
cohort_M62-H91,cont,0,cont_50969,50969,cont,0.0
cohort_M62-H91,cont,0,cont_50970,50970,cont,0.02303282303848118
cohort_M62-H91,cont,0,cont_50971,50971,cont,0.022291824417603624
cohort_M62-H91,cont,0,cont_50976,50976,cont,0.0009913359754234704
cohort_M62-H91,cont,0,cont_50978,50978,cont,0.0
cohort_M62-H91,cont,0,cont_50981,50981,cont,0.0
cohort_M62-H91,cont,0,cont_50982,50982,cont,0.0
cohort_M62-H91,cont,0,cont_50983,50983,cont,0.02155128759873241
cohort_M62-H91,cont,0,cont_50986,50986,cont,0.0
cohort_M62-H91,cont,0,cont_50988,50988,cont,0.0
cohort_M62-H91,cont,0,cont_50989,50989,cont,0.0
cohort_M62-H91,cont,0,cont_50990,50990,cont,0.0
cohort_M62-H91,cont,0,cont_50992,50992,cont,0.0
cohort_M62-H91,cont,0,cont_50993,50993,cont,0.00407058673301691
cohort_M62-H91,cont,0,cont_50994,50994,cont,0.0004716262873282447
cohort_M62-H91,cont,0,cont_50995,50995,cont,0.00028128246821519616
cohort_M62-H91,cont,0,cont_50997,50997,cont,0.0
cohort_M62-H91,cont,0,cont_50998,50998,cont,0.0053719243831493475
cohort_M62-H91,cont,0,cont_51000,51000,cont,0.003217608814209164
cohort_M62-H91,cont,0,cont_51001,51001,cont,0.00014740089622003707
cohort_M62-H91,cont,0,cont_51005,51005,cont,0.0
cohort_M62-H91,cont,0,cont_51006,51006,cont,0.025044123350851745
cohort_M62-H91,cont,0,cont_51007,51007,cont,0.0026949144518986163
cohort_M62-H91,cont,0,cont_51008,51008,cont,0.0002710060700475551
cohort_M62-H91,cont,0,cont_51009,51009,cont,0.004043268075119382
cohort_M62-H91,cont,0,cont_51010,51010,cont,0.0033699236865954068
cohort_M62-H91,cont,0,cont_51070,51070,cont,6.887052341597801e-05
cohort_M62-H91,cont,0,cont_51080,51080,cont,0.0
cohort_M62-H91,cont,0,cont_51099,51099,cont,0.0005031239115042704
cohort_M62-H91,cont,0,cont_51110,51110,cont,0.0
cohort_M62-H91,cont,0,cont_51111,51111,cont,0.0
cohort_M62-H91,cont,0,cont_51114,51114,cont,0.0
cohort_M62-H91,cont,0,cont_51116,51116,cont,0.00039077470798369547
cohort_M62-H91,cont,0,cont_51117,51117,cont,0.00012750885478158205
cohort_M62-H91,cont,0,cont_51118,51118,cont,0.0
cohort_M62-H91,cont,0,cont_51120,51120,cont,0.00017806267806267796
cohort_M62-H91,cont,0,cont_51124,51124,cont,0.00016747404844290673
cohort_M62-H91,cont,0,cont_51125,51125,cont,0.00041186222464266735
cohort_M62-H91,cont,0,cont_51127,51127,cont,0.0003522978475858057
cohort_M62-H91,cont,0,cont_51130,51130,cont,0.00019100091827364553
cohort_M62-H91,cont,0,cont_51131,51131,cont,1.5909090909090822e-05
cohort_M62-H91,cont,0,cont_51132,51132,cont,0.0
cohort_M62-H91,cont,0,cont_51133,51133,cont,0.014569264610578732
cohort_M62-H91,cont,0,cont_51138,51138,cont,0.0
cohort_M62-H91,cont,0,cont_51139,51139,cont,0.0
cohort_M62-H91,cont,0,cont_51140,51140,cont,0.0
cohort_M62-H91,cont,0,cont_51143,51143,cont,0.0012628836259163513
cohort_M62-H91,cont,0,cont_51144,51144,cont,0.0038514779462705396
cohort_M62-H91,cont,0,cont_51146,51146,cont,0.010062863901278585
cohort_M62-H91,cont,0,cont_51148,51148,cont,0.00018181818181818192
cohort_M62-H91,cont,0,cont_51149,51149,cont,0.0
cohort_M62-H91,cont,0,cont_51181,51181,cont,0.000393271613565925
cohort_M62-H91,cont,0,cont_51196,51196,cont,0.0
cohort_M62-H91,cont,0,cont_51199,51199,cont,0.0
cohort_M62-H91,cont,0,cont_51200,51200,cont,0.013585276518894055
cohort_M62-H91,cont,0,cont_51202,51202,cont,0.0
cohort_M62-H91,cont,0,cont_51203,51203,cont,0.0
cohort_M62-H91,cont,0,cont_51204,51204,cont,0.0
cohort_M62-H91,cont,0,cont_51205,51205,cont,0.0
cohort_M62-H91,cont,0,cont_51206,51206,cont,0.0
cohort_M62-H91,cont,0,cont_51207,51207,cont,0.0
cohort_M62-H91,cont,0,cont_51208,51208,cont,0.0
cohort_M62-H91,cont,0,cont_51209,51209,cont,0.0
cohort_M62-H91,cont,0,cont_51214,51214,cont,0.002203984454788133
cohort_M62-H91,cont,0,cont_51218,51218,cont,0.0
cohort_M62-H91,cont,0,cont_51221,51221,cont,0.022932277302812644
cohort_M62-H91,cont,0,cont_51222,51222,cont,0.018785879271353705
cohort_M62-H91,cont,0,cont_51223,51223,cont,0.0
cohort_M62-H91,cont,0,cont_51224,51224,cont,0.0
cohort_M62-H91,cont,0,cont_51225,51225,cont,0.0
cohort_M62-H91,cont,0,cont_51227,51227,cont,0.0
cohort_M62-H91,cont,0,cont_51228,51228,cont,0.0
cohort_M62-H91,cont,0,cont_51229,51229,cont,0.002325859841670897
cohort_M62-H91,cont,0,cont_51232,51232,cont,0.0
cohort_M62-H91,cont,0,cont_51237,51237,cont,0.012713918172709487
cohort_M62-H91,cont,0,cont_51241,51241,cont,0.0
cohort_M62-H91,cont,0,cont_51244,51244,cont,0.013700382991012346
cohort_M62-H91,cont,0,cont_51245,51245,cont,3.3694344163658245e-05
cohort_M62-H91,cont,0,cont_51248,51248,cont,0.025871922545028642
cohort_M62-H91,cont,0,cont_51249,51249,cont,0.025508365798751435
cohort_M62-H91,cont,0,cont_51250,51250,cont,0.026981354067887812
cohort_M62-H91,cont,0,cont_51251,51251,cont,0.0018849655447396594
cohort_M62-H91,cont,0,cont_51254,51254,cont,0.017659532315716316
cohort_M62-H91,cont,0,cont_51255,51255,cont,0.0032572731573603845
cohort_M62-H91,cont,0,cont_51256,51256,cont,0.01535322207523827
cohort_M62-H91,cont,0,cont_51257,51257,cont,0.009651063554374196
cohort_M62-H91,cont,0,cont_51259,51259,cont,0.0
cohort_M62-H91,cont,0,cont_51263,51263,cont,0.0
cohort_M62-H91,cont,0,cont_51265,51265,cont,0.026951433335235433
cohort_M62-H91,cont,0,cont_51269,51269,cont,0.0001964912280701755
cohort_M62-H91,cont,0,cont_51270,51270,cont,0.0
