model,measure,mean_cont,std_cont,mean_disc,std_disc,mean_disc_imp,std_disc_imp,mean_bin,std_bin,mean_cont_bin,std_cont_bin,mean_disc_bin,std_disc_bin,mean_cont_disc_bin,std_cont_disc_bin
rf,auc_roc,0.54979751908295,0.1349521667599647,0.5437846871678177,0.17210084831828865,0.5580134034688503,0.14564053260889803,0.514109030548745,0.13351679357358134,0.5707358820890021,0.1300704752591067,0.5424255110598315,0.15590952513687423,0.5601265163533804,0.10532259331032569
rf,avg_prec,0.18946591210358843,0.08692947171384506,0.19066579020530391,0.10167215677873544,0.19720349071438842,0.10033025416882489,0.17000497504013748,0.07595964056036811,0.1983074353806344,0.08015977079121031,0.19426241452428208,0.10266574660701296,0.1649649400183006,0.04346477785670846
rf,f1,0.21827419226800027,0.17494578291599464,0.21432817337461296,0.17246288135890572,0.21432817337461296,0.17246288135890572,0.19884326200115673,0.14941768803235458,0.2188895768833849,0.1743285897288158,0.21117027863777088,0.17027124442153696,0.0,0.0
rf,mcc,0.08961660805620089,0.2189911970874593,0.08430333226366893,0.21398195787283408,0.08430333226366893,0.21398195787283408,0.06220538479479942,0.1839125497872147,0.09195525005110002,0.21620053973153355,0.0797086332017865,0.2108091711173389,0.0,0.0
rf,balanced_acc,0.5406490206133252,0.1084384822750782,0.5390625584240074,0.10620033487901251,0.5390625584240074,0.10620033487901251,0.5325316224113157,0.09864795100238112,0.5422883648756203,0.10640363141503915,0.5374496551982009,0.10490287502900293,0.5,0.0
balanced_rf,auc_roc,0.5526917108686014,0.10545148990883732,0.5558656368016495,0.11423827543054466,0.550718782216667,0.11429676951511032,0.5239775798706259,0.10801352520617637,0.5419283060643453,0.11983432577267344,0.5156855773493796,0.11616623167629528,0.5787434431571132,0.13113763746798165
balanced_rf,avg_prec,0.17315871024728086,0.05802572283747447,0.17459820205286564,0.06166798506331973,0.1679837291412924,0.057723980432358823,0.15185282007043208,0.03772864597808738,0.17475072482457296,0.06035658575887505,0.1522403082483089,0.04234331814132144,0.20400752583794385,0.08408854228092383
balanced_rf,f1,0.21679130009775172,0.1292601523535275,0.21287114845938376,0.12954714958646737,0.22781785484381864,0.13202821193884126,0.1886803326965599,0.14082292115005843,0.21218671679197992,0.14439758667514685,0.1825519308277929,0.13037761529511036,0.26384057971014496,0.11580518544716463
balanced_rf,mcc,0.05104393111437329,0.18576612247759874,0.04393021228287989,0.17834889642510982,0.06600731436354967,0.17330088382997322,0.009416382938820689,0.21692417735325087,0.05895160640835029,0.1909685436367452,0.005111145402834566,0.18513651372403914,0.11703926260776791,0.1662854547119135
balanced_rf,balanced_acc,0.5265669652634222,0.10982645505137208,0.5283553408222896,0.11671104628686398,0.5423114006271066,0.11062291877110957,0.511190033598812,0.15194116742778183,0.5330530984087304,0.10737062733377858,0.5050457643596195,0.12670995818938843,0.5684432906537612,0.08838185402428482
catboost,auc_roc,0.5254613827326677,0.06923963437149108,0.578943854195044,0.06638577845501958,0.5440719329733079,0.07329229077634164,0.5804950950541907,0.09683719531638789,0.5073476034806019,0.10498101841232106,0.5644422810869136,0.060350708312797874,0.5303013610456763,0.08055604627915161
catboost,avg_prec,0.1848049272279601,0.05850593448388329,0.18855159707139904,0.05059363640296164,0.190616229775778,0.04948339830746963,0.21609863970385904,0.09471284765675915,0.17437192436250976,0.06335732282640143,0.16799002738489863,0.03204398404021765,0.17752040881437853,0.056355438620386784
catboost,f1,0.0,0.0,0.0,0.0,0.04,0.08944271909999159,0.04,0.08944271909999159,0.0,0.0,0.0,0.0,0.0,0.0
catboost,mcc,-0.009107651110783745,0.02036532699906392,0.0,0.0,0.06274159654095468,0.14029447488244032,0.05409282153966647,0.14633229686885604,-0.009107651110783745,0.02036532699906392,-0.009107651110783745,0.02036532699906392,-0.009107651110783745,0.02036532699906392
catboost,balanced_acc,0.49838709677419357,0.0036065612540319156,0.5,0.0,0.5111111111111111,0.024845199749997673,0.5094982078853046,0.02598257304579131,0.49838709677419357,0.0036065612540319156,0.49838709677419357,0.0036065612540319156,0.49838709677419357,0.0036065612540319156
