cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_N36-A41,bin,balanced_rf,all,all,214,58,0.27102803738317754,0.2850467289719626,0.5473585322723253,0.2929749778249415,0.33613445378151263,0.08074524867783558,0.5410035366931919,0.3448275862068966,0.26282051282051283,0.32786885245901637
cohort_N36-A41,bin,balanced_rf,gender,F,116,39,0.33620689655172414,0.1810344827586207,0.527972027972028,0.3751551411372903,0.3,0.09192494993265557,0.5374625374625375,0.23076923076923078,0.15584415584415584,0.42857142857142855
cohort_N36-A41,bin,balanced_rf,gender,M,98,19,0.19387755102040816,0.40816326530612246,0.6125916055962691,0.24704620038652272,0.3728813559322034,0.17040909947007046,0.605929380413058,0.5789473684210527,0.3670886075949367,0.275
cohort_N36-A41,bin,balanced_rf,age_band,18-39,30,1,0.03333333333333333,0.2,0.31034482758620685,0.047619047619047616,0.0,-0.09284766908852594,0.39655172413793105,0.0,0.20689655172413793,0.0
cohort_N36-A41,bin,balanced_rf,age_band,40-64,96,34,0.3541666666666667,0.34375,0.5965370018975332,0.40465657068898436,0.44776119402985076,0.15190237777021492,0.575426944971537,0.4411764705882353,0.2903225806451613,0.45454545454545453
cohort_N36-A41,bin,balanced_rf,age_band,65-79,67,14,0.208955223880597,0.2835820895522388,0.49865229110512127,0.2834143552922494,0.24242424242424243,0.002431255627223638,0.5013477088948787,0.2857142857142857,0.2830188679245283,0.21052631578947367
cohort_N36-A41,bin,balanced_rf,age_band,80+,21,9,0.42857142857142855,0.14285714285714285,0.412037037037037,0.40530561152336175,0.16666666666666666,-0.07856742013183861,0.4722222222222222,0.1111111111111111,0.16666666666666666,0.3333333333333333
cohort_N36-A41,cont,balanced_rf,all,all,214,58,0.27102803738317754,0.4485981308411215,0.6586538461538463,0.47071144486376615,0.44155844155844154,0.16870771768092063,0.5943854995579133,0.5862068965517241,0.3974358974358974,0.3541666666666667
cohort_N36-A41,cont,balanced_rf,gender,F,116,39,0.33620689655172414,0.5431034482758621,0.6456876456876456,0.55304775539079,0.5098039215686274,0.17653301243469552,0.5930735930735931,0.6666666666666666,0.4805194805194805,0.4126984126984127
cohort_N36-A41,cont,balanced_rf,gender,M,98,19,0.19387755102040816,0.336734693877551,0.6635576282478347,0.3715917047201409,0.3076923076923077,0.08749750273918183,0.5522984676882079,0.42105263157894735,0.31645569620253167,0.24242424242424243
cohort_N36-A41,cont,balanced_rf,age_band,18-39,30,1,0.03333333333333333,0.4666666666666667,0.3103448275862069,0.045454545454545456,0.0,-0.17370208344491278,0.25862068965517243,0.0,0.4827586206896552,0.0
cohort_N36-A41,cont,balanced_rf,age_band,40-64,96,34,0.3541666666666667,0.4375,0.76707779886148,0.7162595717032975,0.5789473684210527,0.3128234298098608,0.6622390891840607,0.6470588235294118,0.3225806451612903,0.5238095238095238
cohort_N36-A41,cont,balanced_rf,age_band,65-79,67,14,0.208955223880597,0.44776119402985076,0.6273584905660378,0.31360291796391665,0.36363636363636365,0.12781874444685745,0.5781671159029649,0.5714285714285714,0.41509433962264153,0.26666666666666666
cohort_N36-A41,cont,balanced_rf,age_band,80+,21,9,0.42857142857142855,0.47619047619047616,0.4629629629629629,0.41342624237361086,0.42105263157894735,-0.05504818825631803,0.4722222222222222,0.4444444444444444,0.5,0.4
cohort_N36-A41,cont_bin,balanced_rf,all,all,214,58,0.27102803738317754,0.22897196261682243,0.6367152961980548,0.4505962997477564,0.411214953271028,0.2181701505552226,0.6031167108753315,0.3793103448275862,0.17307692307692307,0.4489795918367347
cohort_N36-A41,cont_bin,balanced_rf,gender,F,116,39,0.33620689655172414,0.23275862068965517,0.6202131202131203,0.5506293254853393,0.45454545454545453,0.2557420755844332,0.6143856143856143,0.38461538461538464,0.15584415584415584,0.5555555555555556
cohort_N36-A41,cont_bin,balanced_rf,gender,M,98,19,0.19387755102040816,0.22448979591836735,0.6642238507661559,0.3751791269339864,0.34146341463414637,0.1691711538053759,0.5892738174550299,0.3684210526315789,0.189873417721519,0.3181818181818182
cohort_N36-A41,cont_bin,balanced_rf,age_band,18-39,30,1,0.03333333333333333,0.23333333333333334,0.24137931034482762,0.043478260869565216,0.0,-0.10244389988519648,0.3793103448275862,0.0,0.2413793103448276,0.0
cohort_N36-A41,cont_bin,balanced_rf,age_band,40-64,96,34,0.3541666666666667,0.23958333333333334,0.6999525616698292,0.6359978321892437,0.49122807017543857,0.2987278163240524,0.6333017077798861,0.4117647058823529,0.14516129032258066,0.6086956521739131
cohort_N36-A41,cont_bin,balanced_rf,age_band,65-79,67,14,0.208955223880597,0.2537313432835821,0.7297843665768193,0.44290662807926023,0.45161290322580644,0.29087109402746175,0.6556603773584906,0.5,0.18867924528301888,0.4117647058823529
cohort_N36-A41,cont_bin,balanced_rf,age_band,80+,21,9,0.42857142857142855,0.09523809523809523,0.462962962962963,0.4610670194003528,0.18181818181818182,0.046829290579084706,0.5138888888888888,0.1111111111111111,0.08333333333333333,0.5
cohort_N36-A41,cont_disc_bin,balanced_rf,all,all,214,58,0.27102803738317754,0.37383177570093457,0.6250552608311228,0.44124503568049667,0.4057971014492754,0.13727865104324316,0.5747126436781609,0.4827586206896552,0.3333333333333333,0.35
cohort_N36-A41,cont_disc_bin,balanced_rf,gender,F,116,39,0.33620689655172414,0.4051724137931034,0.6351981351981352,0.5643884121605351,0.46511627906976744,0.1560550477065546,0.5810855810855811,0.5128205128205128,0.35064935064935066,0.425531914893617
cohort_N36-A41,cont_disc_bin,balanced_rf,gender,M,98,19,0.19387755102040816,0.336734693877551,0.6039307128580945,0.34238115128384233,0.3076923076923077,0.08749750273918183,0.5522984676882079,0.42105263157894735,0.31645569620253167,0.24242424242424243
cohort_N36-A41,cont_disc_bin,balanced_rf,age_band,18-39,30,1,0.03333333333333333,0.4,0.3793103448275862,0.05263157894736842,0.0,-0.15161960871578067,0.29310344827586204,0.0,0.41379310344827586,0.0
cohort_N36-A41,cont_disc_bin,balanced_rf,age_band,40-64,96,34,0.3541666666666667,0.34375,0.7194022770398482,0.6653525435959615,0.5671641791044776,0.33533166413424803,0.6665085388994307,0.5588235294117647,0.22580645161290322,0.5757575757575758
cohort_N36-A41,cont_disc_bin,balanced_rf,age_band,65-79,67,14,0.208955223880597,0.4626865671641791,0.6226415094339622,0.33301268798707523,0.35555555555555557,0.11208980711334969,0.568733153638814,0.5714285714285714,0.4339622641509434,0.25806451612903225
cohort_N36-A41,cont_disc_bin,balanced_rf,age_band,80+,21,9,0.42857142857142855,0.19047619047619047,0.4722222222222222,0.41580719475456324,0.15384615384615385,-0.17503501050350123,0.4305555555555556,0.1111111111111111,0.25,0.25
