cohort,feature_set,fold,feature,itemid,representation,importance
cohort_N36-A41,cont,0,cont_50803,50803,cont,0.0006526400428839454
cohort_N36-A41,cont,0,cont_50804,50804,cont,0.0031531776508107157
cohort_N36-A41,cont,0,cont_50805,50805,cont,0.0
cohort_N36-A41,cont,0,cont_50806,50806,cont,0.0015777562309893137
cohort_N36-A41,cont,0,cont_50808,50808,cont,0.004871644707261178
cohort_N36-A41,cont,0,cont_50809,50809,cont,0.001657547831139305
cohort_N36-A41,cont,0,cont_50811,50811,cont,0.0029547563212092187
cohort_N36-A41,cont,0,cont_50813,50813,cont,0.008579929848666554
cohort_N36-A41,cont,0,cont_50814,50814,cont,0.0
cohort_N36-A41,cont,0,cont_50818,50818,cont,0.005568994342740473
cohort_N36-A41,cont,0,cont_50820,50820,cont,0.0042164346784191705
cohort_N36-A41,cont,0,cont_50821,50821,cont,0.001147636115378051
cohort_N36-A41,cont,0,cont_50822,50822,cont,0.003848880941627758
cohort_N36-A41,cont,0,cont_50824,50824,cont,0.0015797501758042498
cohort_N36-A41,cont,0,cont_50853,50853,cont,0.00025253610216016236
cohort_N36-A41,cont,0,cont_50856,50856,cont,0.0
cohort_N36-A41,cont,0,cont_50861,50861,cont,0.013044341877862886
cohort_N36-A41,cont,0,cont_50862,50862,cont,0.012989439154879564
cohort_N36-A41,cont,0,cont_50863,50863,cont,0.011998400892853027
cohort_N36-A41,cont,0,cont_50866,50866,cont,0.0
cohort_N36-A41,cont,0,cont_50867,50867,cont,0.000157563025210084
cohort_N36-A41,cont,0,cont_50868,50868,cont,0.03403695814713595
cohort_N36-A41,cont,0,cont_50877,50877,cont,0.0
cohort_N36-A41,cont,0,cont_50878,50878,cont,0.011528261301169414
cohort_N36-A41,cont,0,cont_50881,50881,cont,0.0
cohort_N36-A41,cont,0,cont_50882,50882,cont,0.01649359042797411
cohort_N36-A41,cont,0,cont_50883,50883,cont,0.0009623582766439911
cohort_N36-A41,cont,0,cont_50885,50885,cont,0.006694033839927187
cohort_N36-A41,cont,0,cont_50889,50889,cont,0.0018476327729159301
cohort_N36-A41,cont,0,cont_50890,50890,cont,0.0
cohort_N36-A41,cont,0,cont_50891,50891,cont,0.0
cohort_N36-A41,cont,0,cont_50893,50893,cont,0.018547166873841003
cohort_N36-A41,cont,0,cont_50894,50894,cont,0.0
cohort_N36-A41,cont,0,cont_50895,50895,cont,0.0
cohort_N36-A41,cont,0,cont_50896,50896,cont,0.0
cohort_N36-A41,cont,0,cont_50899,50899,cont,0.0
cohort_N36-A41,cont,0,cont_50902,50902,cont,0.04655311702546609
cohort_N36-A41,cont,0,cont_50904,50904,cont,0.0009542845208258741
cohort_N36-A41,cont,0,cont_50905,50905,cont,0.0
cohort_N36-A41,cont,0,cont_50906,50906,cont,0.0
cohort_N36-A41,cont,0,cont_50907,50907,cont,0.0007984680315507386
cohort_N36-A41,cont,0,cont_50908,50908,cont,0.0004886415172129459
cohort_N36-A41,cont,0,cont_50910,50910,cont,0.0
cohort_N36-A41,cont,0,cont_50911,50911,cont,0.004396689830774567
cohort_N36-A41,cont,0,cont_50912,50912,cont,0.014367436276403921
cohort_N36-A41,cont,0,cont_50914,50914,cont,0.0
cohort_N36-A41,cont,0,cont_50915,50915,cont,0.0
cohort_N36-A41,cont,0,cont_50916,50916,cont,0.0
