model,measure,mean_cont,std_cont,mean_disc,std_disc,mean_disc_imp,std_disc_imp,mean_bin,std_bin,mean_cont_bin,std_cont_bin,mean_disc_bin,std_disc_bin,mean_cont_disc_bin,std_cont_disc_bin
rf,auc_roc,0.6719171554252199,0.14842746683832028,0.4994263196480939,0.13226345861046107,0.4774349340175953,0.17241347308019622,0.5144987170087976,0.11342009134192799,0.6545115469208211,0.16604653603148375,0.5082368035190616,0.11887512819466141,0.6113828812316716,0.19653474607741808
rf,avg_prec,0.5037805474650823,0.23001239547750812,0.3655847265150477,0.11002403384380205,0.36468275285935436,0.15581582792792983,0.295821536093385,0.05485165757166265,0.48836204630065155,0.1787465732917752,0.3861816494349684,0.12375101184307614,0.5048533038404194,0.24409276364874938
rf,f1,0.05,0.11180339887498951,0.0,0.0,0.0,0.0,0.16997420020639833,0.07510734333471397,0.03636363636363636,0.08131156281817417,0.03636363636363636,0.08131156281817417,0.03636363636363636,0.08131156281817417
rf,mcc,0.023092180306616944,0.051635684914277426,0.0,0.0,0.0,0.0,0.008726271111041642,0.09700266360125034,0.05587442366156625,0.12493900951088487,0.05587442366156625,0.12493900951088487,0.05587442366156625,0.12493900951088487
rf,balanced_acc,0.5085043988269795,0.019016413884895556,0.5,0.0,0.5,0.0,0.5025348240469208,0.03885522082535528,0.51,0.022360679774997918,0.51,0.022360679774997918,0.51,0.022360679774997918
balanced_rf,auc_roc,0.6566578079178885,0.18567948979489196,0.4560117302052785,0.18759337657340433,0.4585199780058651,0.17624142511476495,0.5505241935483871,0.13406412624205968,0.6361546920821114,0.17855000443141897,0.4822754765395896,0.18792989342730843,0.6108889296187685,0.20100618231949766
balanced_rf,avg_prec,0.47397937101024984,0.253075769355976,0.3415494040119299,0.13528755063960915,0.33575378634365166,0.1146376220998246,0.3502091188306905,0.10262178975085294,0.4952012052361436,0.21555809854478125,0.3499927074538757,0.12696582025045008,0.4546687137126667,0.218258102721268
balanced_rf,f1,0.40335395699279547,0.18742817727752437,0.3389268387488996,0.12244874879171434,0.3566235888294712,0.1180309077178429,0.327030910609858,0.12737126211535377,0.3854912280701754,0.20565444411617698,0.21388505747126438,0.21085119629365348,0.3562152133580705,0.22541341012166166
balanced_rf,mcc,0.13991729133611291,0.24733492072621016,-0.11585874962845528,0.3054688371544956,-0.07902273780655322,0.2769375824519761,0.07981454474037412,0.16672721568722737,0.19961025964253368,0.24793987029759249,0.010847371868037253,0.20161192323466362,0.10372742920455176,0.279512647788185
balanced_rf,balanced_acc,0.5758687683284458,0.13178886476771867,0.44082844574780056,0.12278063806984221,0.4616348973607039,0.12131841043563774,0.5405058651026392,0.08966468889465039,0.5951118035190616,0.11171889630178068,0.5137298387096775,0.08079705956783013,0.5530773460410557,0.1395823363907875
catboost,auc_roc,0.673682184750733,0.1676697021600768,0.5321810850439883,0.16358574338869872,0.5703995601173021,0.17966705448733422,0.5118823313782992,0.11586421056800146,0.6613508064516129,0.1468559989759556,0.575108137829912,0.14848996879548942,0.6510117302052787,0.13718079674398762
catboost,avg_prec,0.5193936971251782,0.17872280815625963,0.4223241575707301,0.1337656700998257,0.42983457058718966,0.1655469697588188,0.3122390512626334,0.07736834534668383,0.5079658184161112,0.1723677736238108,0.43259127665571295,0.1461395436803051,0.4963238772407391,0.14053663471192754
catboost,f1,0.2363636363636364,0.16714043468180245,0.15555555555555553,0.16850834320114558,0.19019607843137254,0.1440209092427753,0.06,0.08299933065325822,0.243030303030303,0.15720235478180342,0.15555555555555553,0.16850834320114558,0.21840120663650073,0.15185698336236422
catboost,mcc,0.23872774212122963,0.19133169764755018,0.15533619995708517,0.23022956431816344,0.226584666450136,0.21844275350243253,0.004557957851527755,0.08674638876878868,0.19872339558748747,0.2143874268161341,0.1739422233635619,0.20780711983213415,0.21027354656148728,0.14688227559907055
catboost,balanced_acc,0.5659604105571847,0.05638344467402613,0.5397983870967742,0.05605629150575098,0.5488892961876833,0.05507368818267704,0.5030626832844576,0.018731564398893525,0.5560813782991203,0.06200141306961322,0.5430241935483872,0.05237661098478804,0.5573936950146627,0.04093526872551533
