cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_N80-K59,bin,balanced_rf,all,all,373,75,0.20107238605898123,0.2761394101876676,0.6104921700223713,0.32776613923285386,0.34831460674157305,0.15394504405123446,0.58586129753915,0.41333333333333333,0.24161073825503357,0.30097087378640774
cohort_N80-K59,bin,balanced_rf,gender,F,371,75,0.20215633423180593,0.2749326145552561,0.6111261261261263,0.3288917523074733,0.3502824858757062,0.15603456175519395,0.5867342342342342,0.41333333333333333,0.23986486486486486,0.30392156862745096
cohort_N80-K59,bin,balanced_rf,gender,M,2,0,0.0,0.5,,,,,,,0.5,0.0
cohort_N80-K59,bin,balanced_rf,age_band,18-39,196,55,0.28061224489795916,0.2755102040816326,0.6609929078014184,0.4642384702209651,0.44036697247706424,0.22486255444950137,0.611798839458414,0.43636363636363634,0.2127659574468085,0.4444444444444444
cohort_N80-K59,bin,balanced_rf,age_band,40-64,135,17,0.1259259259259259,0.3111111111111111,0.5338983050847458,0.16060830522257907,0.2033898305084746,0.03429569823682692,0.5239282153539382,0.35294117647058826,0.3050847457627119,0.14285714285714285
cohort_N80-K59,bin,balanced_rf,age_band,65-79,41,3,0.07317073170731707,0.17073170731707318,0.42543859649122806,0.37994579945799456,0.2,0.12141968209867599,0.587719298245614,0.3333333333333333,0.15789473684210525,0.14285714285714285
cohort_N80-K59,bin,balanced_rf,age_band,80+,1,0,0.0,0.0,,,,,,,0.0,
cohort_N80-K59,cont,balanced_rf,all,all,373,75,0.20107238605898123,0.18230563002680966,0.5944295302013423,0.2636965648048647,0.3076923076923077,0.1442641135896495,0.5694854586129754,0.29333333333333333,0.15436241610738255,0.3235294117647059
cohort_N80-K59,cont,balanced_rf,gender,F,371,75,0.20215633423180593,0.18328840970350405,0.5947297297297298,0.26466772085414364,0.3076923076923077,0.1431702978733129,0.568963963963964,0.29333333333333333,0.1554054054054054,0.3235294117647059
cohort_N80-K59,cont,balanced_rf,gender,M,2,0,0.0,0.0,,,,,,,0.0,
