cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_N80-K59,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.03560090702947849,0.8855685131195334,18-39,40-64,2,2
cohort_N80-K59,bin,balanced_rf,age_band,predictive_parity,ppv,0.30158730158730157,0.32142857142857145,40-64,18-39,2,2
cohort_N80-K59,bin,balanced_rf,age_band,equal_opportunity,tpr,0.08342245989304808,0.8088235294117648,40-64,18-39,2,2
cohort_N80-K59,bin,balanced_rf,age_band,predictive_equality,fpr,0.09231878831590337,0.6973995271867612,18-39,40-64,2,2
cohort_N80-K59,bin,balanced_rf,age_band,equalised_odds,fpr,0.09231878831590337,0.6973995271867612,18-39,40-64,2,2
cohort_N80-K59,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.05385487528344671,0.7576530612244898,18-39,40-64,2,2
cohort_N80-K59,cont,balanced_rf,age_band,predictive_parity,ppv,0.2212121212121212,0.5133333333333333,40-64,18-39,2,2
cohort_N80-K59,cont,balanced_rf,age_band,equal_opportunity,tpr,0.13903743315508021,0.6623376623376623,18-39,40-64,2,2
cohort_N80-K59,cont,balanced_rf,age_band,predictive_equality,fpr,0.06725567976920305,0.6549491211840888,18-39,40-64,2,2
cohort_N80-K59,cont,balanced_rf,age_band,equalised_odds,tpr,0.13903743315508021,0.6623376623376623,18-39,40-64,2,2
cohort_N80-K59,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.06405895691609975,0.7117346938775511,18-39,40-64,2,2
cohort_N80-K59,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.3795698924731183,0.38070175438596493,40-64,18-39,2,2
cohort_N80-K59,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.06631016042780746,0.838961038961039,18-39,40-64,2,2
cohort_N80-K59,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.10980887125856474,0.4366327474560592,18-39,40-64,2,2
cohort_N80-K59,cont_bin,balanced_rf,age_band,equalised_odds,fpr,0.10980887125856474,0.4366327474560592,18-39,40-64,2,2
cohort_N80-K59,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.06738473167044595,0.8431562280084448,18-39,40-64,2,2
cohort_N80-K59,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.31277319086935407,0.30603448275862066,40-64,18-39,2,2
cohort_N80-K59,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.11122994652406415,0.8088235294117647,40-64,18-39,2,2
cohort_N80-K59,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.14713306887847094,0.6527659574468085,18-39,40-64,2,2
cohort_N80-K59,cont_disc_bin,balanced_rf,age_band,equalised_odds,fpr,0.14713306887847094,0.6527659574468085,18-39,40-64,2,2
cohort_N80-K59,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.020445956160241863,0.9109611586570112,18-39,40-64,2,2
cohort_N80-K59,disc,balanced_rf,age_band,predictive_parity,ppv,0.1809598741148702,0.5878136200716846,40-64,18-39,2,2
cohort_N80-K59,disc,balanced_rf,age_band,equal_opportunity,tpr,0.14331550802139037,0.6954545454545454,18-39,40-64,2,2
cohort_N80-K59,disc,balanced_rf,age_band,predictive_equality,fpr,0.031794686861401605,0.8368794326241135,18-39,40-64,2,2
cohort_N80-K59,disc,balanced_rf,age_band,equalised_odds,tpr,0.14331550802139037,0.6954545454545454,18-39,40-64,2,2
cohort_N80-K59,disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.0009448223733938277,0.9963689179375453,40-64,18-39,2,2
cohort_N80-K59,disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.16358543417366947,0.5828571428571429,40-64,18-39,2,2
cohort_N80-K59,disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.106951871657754,0.7727272727272727,18-39,40-64,2,2
cohort_N80-K59,disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.008955403293665093,0.9608615707906488,18-39,40-64,2,2
cohort_N80-K59,disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.106951871657754,0.7727272727272727,18-39,40-64,2,2
cohort_N80-K59,disc_imp,balanced_rf,age_band,statistical_parity,selection_rate,0.0005291005291005457,0.9975369458128078,18-39,40-64,2,2
cohort_N80-K59,disc_imp,balanced_rf,age_band,predictive_parity,ppv,0.2110016420361248,0.5335753176043557,40-64,18-39,2,2
cohort_N80-K59,disc_imp,balanced_rf,age_band,equal_opportunity,tpr,0.06631016042780746,0.838961038961039,18-39,40-64,2,2
cohort_N80-K59,disc_imp,balanced_rf,age_band,predictive_equality,fpr,0.02332011059021516,0.8749194068343005,18-39,40-64,2,2
cohort_N80-K59,disc_imp,balanced_rf,age_band,equalised_odds,tpr,0.06631016042780746,0.838961038961039,18-39,40-64,2,2
