cohort,feature_set,fold,feature,itemid,representation,importance
cohort_N80-K59,cont,0,cont_50803,50803,cont,0.000271759519871553
cohort_N80-K59,cont,0,cont_50804,50804,cont,0.005627183329954694
cohort_N80-K59,cont,0,cont_50805,50805,cont,0.00012767610976444673
cohort_N80-K59,cont,0,cont_50806,50806,cont,0.0012142234851783627
cohort_N80-K59,cont,0,cont_50808,50808,cont,0.0015815030285070608
cohort_N80-K59,cont,0,cont_50809,50809,cont,0.0006858177922702042
cohort_N80-K59,cont,0,cont_50811,50811,cont,0.0008688366071544649
cohort_N80-K59,cont,0,cont_50813,50813,cont,0.006443557115896456
cohort_N80-K59,cont,0,cont_50814,50814,cont,0.0
cohort_N80-K59,cont,0,cont_50818,50818,cont,0.003925707343758221
cohort_N80-K59,cont,0,cont_50820,50820,cont,0.006496905097847788
cohort_N80-K59,cont,0,cont_50821,50821,cont,0.0067672310674449804
cohort_N80-K59,cont,0,cont_50822,50822,cont,0.0025756670361985817
cohort_N80-K59,cont,0,cont_50824,50824,cont,0.000998288234961568
cohort_N80-K59,cont,0,cont_50853,50853,cont,0.00016536151151080405
cohort_N80-K59,cont,0,cont_50856,50856,cont,0.0
cohort_N80-K59,cont,0,cont_50861,50861,cont,0.016524725951889665
cohort_N80-K59,cont,0,cont_50862,50862,cont,0.01939411040987013
cohort_N80-K59,cont,0,cont_50863,50863,cont,0.02629661361125976
cohort_N80-K59,cont,0,cont_50866,50866,cont,0.00018374011819173233
cohort_N80-K59,cont,0,cont_50867,50867,cont,0.0009685740798981584
cohort_N80-K59,cont,0,cont_50868,50868,cont,0.021000234992761786
cohort_N80-K59,cont,0,cont_50877,50877,cont,0.0
cohort_N80-K59,cont,0,cont_50878,50878,cont,0.021982506821554962
cohort_N80-K59,cont,0,cont_50881,50881,cont,0.0
cohort_N80-K59,cont,0,cont_50882,50882,cont,0.028401961346376712
cohort_N80-K59,cont,0,cont_50883,50883,cont,0.0005036985948740449
cohort_N80-K59,cont,0,cont_50885,50885,cont,0.019750914029617407
cohort_N80-K59,cont,0,cont_50889,50889,cont,0.005417234520650339
cohort_N80-K59,cont,0,cont_50890,50890,cont,0.00024797720797720797
cohort_N80-K59,cont,0,cont_50891,50891,cont,0.00023507430649306806
cohort_N80-K59,cont,0,cont_50893,50893,cont,0.05834201970498275
cohort_N80-K59,cont,0,cont_50894,50894,cont,0.0
cohort_N80-K59,cont,0,cont_50895,50895,cont,0.0
cohort_N80-K59,cont,0,cont_50896,50896,cont,0.0
cohort_N80-K59,cont,0,cont_50899,50899,cont,0.0
cohort_N80-K59,cont,0,cont_50902,50902,cont,0.02612074749928379
cohort_N80-K59,cont,0,cont_50904,50904,cont,0.0003259681482202489
cohort_N80-K59,cont,0,cont_50905,50905,cont,0.0
cohort_N80-K59,cont,0,cont_50906,50906,cont,9.986261395135884e-05
cohort_N80-K59,cont,0,cont_50907,50907,cont,0.0012843550598306622
