cohort,feature_set,fold,feature,itemid,representation,importance
cohort_N92-N89,cont,0,cont_50803,50803,cont,0.0
cohort_N92-N89,cont,0,cont_50804,50804,cont,0.0023706493422956934
cohort_N92-N89,cont,0,cont_50805,50805,cont,0.0
cohort_N92-N89,cont,0,cont_50806,50806,cont,1.975417032484642e-05
cohort_N92-N89,cont,0,cont_50808,50808,cont,0.0017373737373737373
cohort_N92-N89,cont,0,cont_50809,50809,cont,0.0
cohort_N92-N89,cont,0,cont_50811,50811,cont,0.0
cohort_N92-N89,cont,0,cont_50813,50813,cont,0.0010505197151538612
cohort_N92-N89,cont,0,cont_50814,50814,cont,0.0
cohort_N92-N89,cont,0,cont_50818,50818,cont,0.0006820276497695854
cohort_N92-N89,cont,0,cont_50820,50820,cont,0.0026626547083773155
cohort_N92-N89,cont,0,cont_50821,50821,cont,0.0010115523154530022
cohort_N92-N89,cont,0,cont_50822,50822,cont,0.0
cohort_N92-N89,cont,0,cont_50824,50824,cont,0.0004981024667931688
cohort_N92-N89,cont,0,cont_50853,50853,cont,0.0
cohort_N92-N89,cont,0,cont_50856,50856,cont,0.0
cohort_N92-N89,cont,0,cont_50861,50861,cont,0.010793709544291534
cohort_N92-N89,cont,0,cont_50862,50862,cont,0.007113929632983686
cohort_N92-N89,cont,0,cont_50863,50863,cont,0.017895461191321942
cohort_N92-N89,cont,0,cont_50866,50866,cont,0.0
cohort_N92-N89,cont,0,cont_50867,50867,cont,0.0
cohort_N92-N89,cont,0,cont_50868,50868,cont,0.01316076933225352
cohort_N92-N89,cont,0,cont_50877,50877,cont,0.0
cohort_N92-N89,cont,0,cont_50878,50878,cont,0.0059484207014397356
cohort_N92-N89,cont,0,cont_50881,50881,cont,0.0
cohort_N92-N89,cont,0,cont_50882,50882,cont,0.01997366936994695
cohort_N92-N89,cont,0,cont_50883,50883,cont,0.0004898656898656899
cohort_N92-N89,cont,0,cont_50885,50885,cont,0.03813095641351799
cohort_N92-N89,cont,0,cont_50889,50889,cont,0.00028784648187633297
cohort_N92-N89,cont,0,cont_50890,50890,cont,0.0
cohort_N92-N89,cont,0,cont_50891,50891,cont,0.0
cohort_N92-N89,cont,0,cont_50893,50893,cont,0.015340091105722084
cohort_N92-N89,cont,0,cont_50894,50894,cont,0.0
cohort_N92-N89,cont,0,cont_50895,50895,cont,0.0
cohort_N92-N89,cont,0,cont_50896,50896,cont,0.0
cohort_N92-N89,cont,0,cont_50899,50899,cont,0.0
cohort_N92-N89,cont,0,cont_50902,50902,cont,0.02838093655000973
cohort_N92-N89,cont,0,cont_50904,50904,cont,0.0009697051050730525
cohort_N92-N89,cont,0,cont_50905,50905,cont,0.0
cohort_N92-N89,cont,0,cont_50906,50906,cont,0.002405885253428989
cohort_N92-N89,cont,0,cont_50907,50907,cont,0.000574774774774775
cohort_N92-N89,cont,0,cont_50908,50908,cont,0.0
cohort_N92-N89,cont,0,cont_50910,50910,cont,0.0
cohort_N92-N89,cont,0,cont_50911,50911,cont,0.0005490196078431378
cohort_N92-N89,cont,0,cont_50912,50912,cont,0.022311214848703773
cohort_N92-N89,cont,0,cont_50914,50914,cont,0.0
