cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_O30-O72,bin,balanced_rf,all,all,149,35,0.2348993288590604,0.4161073825503356,0.42606516290726815,0.2106808947273226,0.26804123711340205,-0.050224312678342736,0.47080200501253133,0.37142857142857144,0.4298245614035088,0.20967741935483872
cohort_O30-O72,bin,balanced_rf,gender,F,149,35,0.2348993288590604,0.4161073825503356,0.42606516290726815,0.2106808947273226,0.26804123711340205,-0.050224312678342736,0.47080200501253133,0.37142857142857144,0.4298245614035088,0.20967741935483872
cohort_O30-O72,bin,balanced_rf,age_band,18-39,139,33,0.23741007194244604,0.4172661870503597,0.4352487135506003,0.21581610227669695,0.2857142857142857,-0.026394738816690074,0.4847055460263007,0.3939393939393939,0.42452830188679247,0.22413793103448276
cohort_O30-O72,bin,balanced_rf,age_band,40-64,10,2,0.2,0.4,0.25,0.2,0.0,-0.4082482904638631,0.25,0.0,0.5,0.0
cohort_O30-O72,cont,balanced_rf,all,all,149,35,0.2348993288590604,1.0,0.4968671679197995,0.2516647448818607,0.3804347826086957,0.0,0.5,1.0,1.0,0.2348993288590604
cohort_O30-O72,cont,balanced_rf,gender,F,149,35,0.2348993288590604,1.0,0.4968671679197995,0.2516647448818607,0.3804347826086957,0.0,0.5,1.0,1.0,0.2348993288590604
cohort_O30-O72,cont,balanced_rf,age_band,18-39,139,33,0.23741007194244604,1.0,0.5035734705546027,0.25819393710921884,0.38372093023255816,0.0,0.5,1.0,1.0,0.23741007194244604
cohort_O30-O72,cont,balanced_rf,age_band,40-64,10,2,0.2,1.0,0.4375,0.24285714285714285,0.3333333333333333,0.0,0.5,1.0,1.0,0.2
cohort_O30-O72,cont_bin,balanced_rf,all,all,149,35,0.2348993288590604,1.0,0.5012531328320803,0.2410288389452467,0.3804347826086957,0.0,0.5,1.0,1.0,0.2348993288590604
cohort_O30-O72,cont_bin,balanced_rf,gender,F,149,35,0.2348993288590604,1.0,0.5012531328320803,0.2410288389452467,0.3804347826086957,0.0,0.5,1.0,1.0,0.2348993288590604
cohort_O30-O72,cont_bin,balanced_rf,age_band,18-39,139,33,0.23741007194244604,1.0,0.5001429388221842,0.24327253998622733,0.38372093023255816,0.0,0.5,1.0,1.0,0.23741007194244604
cohort_O30-O72,cont_bin,balanced_rf,age_band,40-64,10,2,0.2,1.0,0.5625,0.26785714285714285,0.3333333333333333,0.0,0.5,1.0,1.0,0.2
cohort_O30-O72,cont_disc_bin,balanced_rf,all,all,149,35,0.2348993288590604,1.0,0.5177944862155388,0.27327495275723623,0.3804347826086957,0.0,0.5,1.0,1.0,0.2348993288590604
cohort_O30-O72,cont_disc_bin,balanced_rf,gender,F,149,35,0.2348993288590604,1.0,0.5177944862155388,0.27327495275723623,0.3804347826086957,0.0,0.5,1.0,1.0,0.2348993288590604
cohort_O30-O72,cont_disc_bin,balanced_rf,age_band,18-39,139,33,0.23741007194244604,1.0,0.5145797598627787,0.2734540691912367,0.38372093023255816,0.0,0.5,1.0,1.0,0.23741007194244604
cohort_O30-O72,cont_disc_bin,balanced_rf,age_band,40-64,10,2,0.2,1.0,0.5,0.3611111111111111,0.3333333333333333,0.0,0.5,1.0,1.0,0.2
cohort_O30-O72,disc,balanced_rf,all,all,149,35,0.2348993288590604,1.0,0.48521303258145365,0.2219474211088412,0.3804347826086957,0.0,0.5,1.0,1.0,0.2348993288590604
cohort_O30-O72,disc,balanced_rf,gender,F,149,35,0.2348993288590604,1.0,0.48521303258145365,0.2219474211088412,0.3804347826086957,0.0,0.5,1.0,1.0,0.2348993288590604
cohort_O30-O72,disc,balanced_rf,age_band,18-39,139,33,0.23741007194244604,1.0,0.49385363064608345,0.229121072020391,0.38372093023255816,0.0,0.5,1.0,1.0,0.23741007194244604
cohort_O30-O72,disc,balanced_rf,age_band,40-64,10,2,0.2,1.0,0.5,0.26666666666666666,0.3333333333333333,0.0,0.5,1.0,1.0,0.2
cohort_O30-O72,disc_bin,balanced_rf,all,all,149,35,0.2348993288590604,1.0,0.4870927318295739,0.23349343297299846,0.3804347826086957,0.0,0.5,1.0,1.0,0.2348993288590604
cohort_O30-O72,disc_bin,balanced_rf,gender,F,149,35,0.2348993288590604,1.0,0.4870927318295739,0.23349343297299846,0.3804347826086957,0.0,0.5,1.0,1.0,0.2348993288590604
cohort_O30-O72,disc_bin,balanced_rf,age_band,18-39,139,33,0.23741007194244604,1.0,0.48198970840480276,0.23356165664064654,0.38372093023255816,0.0,0.5,1.0,1.0,0.23741007194244604
cohort_O30-O72,disc_bin,balanced_rf,age_band,40-64,10,2,0.2,1.0,0.5625,0.375,0.3333333333333333,0.0,0.5,1.0,1.0,0.2
cohort_O30-O72,disc_imp,balanced_rf,all,all,149,35,0.2348993288590604,1.0,0.48771929824561405,0.22303529365051283,0.3804347826086957,0.0,0.5,1.0,1.0,0.2348993288590604
cohort_O30-O72,disc_imp,balanced_rf,gender,F,149,35,0.2348993288590604,1.0,0.48771929824561405,0.22303529365051283,0.3804347826086957,0.0,0.5,1.0,1.0,0.2348993288590604
cohort_O30-O72,disc_imp,balanced_rf,age_band,18-39,139,33,0.23741007194244604,1.0,0.4952830188679246,0.23023148919310366,0.38372093023255816,0.0,0.5,1.0,1.0,0.23741007194244604
cohort_O30-O72,disc_imp,balanced_rf,age_band,40-64,10,2,0.2,1.0,0.5,0.26666666666666666,0.3333333333333333,0.0,0.5,1.0,1.0,0.2
