cohort,feature_set,fold,feature,itemid,representation,importance
cohort_O32-O72,cont,0,cont_50803,50803,cont,0.0
cohort_O32-O72,cont,0,cont_50804,50804,cont,0.005634127066363646
cohort_O32-O72,cont,0,cont_50805,50805,cont,0.0
cohort_O32-O72,cont,0,cont_50806,50806,cont,0.0
cohort_O32-O72,cont,0,cont_50808,50808,cont,0.002026998264997193
cohort_O32-O72,cont,0,cont_50809,50809,cont,0.0
cohort_O32-O72,cont,0,cont_50811,50811,cont,0.0
cohort_O32-O72,cont,0,cont_50813,50813,cont,0.0015984561017689585
cohort_O32-O72,cont,0,cont_50814,50814,cont,0.0
cohort_O32-O72,cont,0,cont_50818,50818,cont,0.002194019115947352
cohort_O32-O72,cont,0,cont_50820,50820,cont,0.004149575693643785
cohort_O32-O72,cont,0,cont_50821,50821,cont,0.0007224533907948253
cohort_O32-O72,cont,0,cont_50822,50822,cont,0.00011313697989714865
cohort_O32-O72,cont,0,cont_50824,50824,cont,0.0
cohort_O32-O72,cont,0,cont_50853,50853,cont,0.0
cohort_O32-O72,cont,0,cont_50856,50856,cont,0.0
cohort_O32-O72,cont,0,cont_50861,50861,cont,0.025017667031413105
cohort_O32-O72,cont,0,cont_50862,50862,cont,0.0029866310186977816
cohort_O32-O72,cont,0,cont_50863,50863,cont,0.0001014072333414365
cohort_O32-O72,cont,0,cont_50866,50866,cont,0.0
cohort_O32-O72,cont,0,cont_50867,50867,cont,0.002335374834837884
cohort_O32-O72,cont,0,cont_50868,50868,cont,0.009079254630710418
cohort_O32-O72,cont,0,cont_50877,50877,cont,0.0
cohort_O32-O72,cont,0,cont_50878,50878,cont,0.02040530651708036
cohort_O32-O72,cont,0,cont_50881,50881,cont,0.0
cohort_O32-O72,cont,0,cont_50882,50882,cont,0.00952442557690135
cohort_O32-O72,cont,0,cont_50883,50883,cont,0.0
cohort_O32-O72,cont,0,cont_50885,50885,cont,0.0046009551237209305
cohort_O32-O72,cont,0,cont_50889,50889,cont,0.0007936175130908979
cohort_O32-O72,cont,0,cont_50890,50890,cont,0.0
cohort_O32-O72,cont,0,cont_50891,50891,cont,0.0
cohort_O32-O72,cont,0,cont_50893,50893,cont,0.00835330880597798
cohort_O32-O72,cont,0,cont_50894,50894,cont,0.0
cohort_O32-O72,cont,0,cont_50895,50895,cont,0.0009727434748592329
cohort_O32-O72,cont,0,cont_50896,50896,cont,0.0006236569335720495
cohort_O32-O72,cont,0,cont_50899,50899,cont,0.0
cohort_O32-O72,cont,0,cont_50902,50902,cont,0.01038739834057925
cohort_O32-O72,cont,0,cont_50904,50904,cont,0.0003345807489546145
cohort_O32-O72,cont,0,cont_50905,50905,cont,0.0
cohort_O32-O72,cont,0,cont_50906,50906,cont,0.0
cohort_O32-O72,cont,0,cont_50907,50907,cont,0.0002026702151923774
cohort_O32-O72,cont,0,cont_50908,50908,cont,0.0
cohort_O32-O72,cont,0,cont_50910,50910,cont,0.0
cohort_O32-O72,cont,0,cont_50911,50911,cont,8.714776380426753e-05
cohort_O32-O72,cont,0,cont_50912,50912,cont,0.02203307852019216
cohort_O32-O72,cont,0,cont_50914,50914,cont,0.0
cohort_O32-O72,cont,0,cont_50915,50915,cont,0.0
cohort_O32-O72,cont,0,cont_50916,50916,cont,0.0
cohort_O32-O72,cont,0,cont_50917,50917,cont,0.0
cohort_O32-O72,cont,0,cont_50924,50924,cont,0.0007571293869324113
cohort_O32-O72,cont,0,cont_50925,50925,cont,0.000551594731335271
cohort_O32-O72,cont,0,cont_50927,50927,cont,0.0
cohort_O32-O72,cont,0,cont_50930,50930,cont,0.0
cohort_O32-O72,cont,0,cont_50931,50931,cont,0.0
cohort_O32-O72,cont,0,cont_50935,50935,cont,9.46833102172913e-05
cohort_O32-O72,cont,0,cont_50945,50945,cont,0.0
cohort_O32-O72,cont,0,cont_50949,50949,cont,0.0
cohort_O32-O72,cont,0,cont_50950,50950,cont,0.0
cohort_O32-O72,cont,0,cont_50951,50951,cont,0.0
cohort_O32-O72,cont,0,cont_50952,50952,cont,0.0006907016777368697
cohort_O32-O72,cont,0,cont_50953,50953,cont,0.0005434366736908056
cohort_O32-O72,cont,0,cont_50954,50954,cont,0.004104626013422065
cohort_O32-O72,cont,0,cont_50956,50956,cont,0.0017518457730428343
cohort_O32-O72,cont,0,cont_50957,50957,cont,0.00020576914816471218
cohort_O32-O72,cont,0,cont_50960,50960,cont,0.007020869102462982
cohort_O32-O72,cont,0,cont_50964,50964,cont,0.0
cohort_O32-O72,cont,0,cont_50965,50965,cont,0.0002507405364548224
cohort_O32-O72,cont,0,cont_50966,50966,cont,0.0
cohort_O32-O72,cont,0,cont_50967,50967,cont,0.0030051085727460605
cohort_O32-O72,cont,0,cont_50968,50968,cont,0.0
cohort_O32-O72,cont,0,cont_50969,50969,cont,0.0
