itemid,label,range_lower,range_upper,n_hadm,genders,n_F,n_M,age_mean,age_std,age_min,age_max
50822,"Potassium, Whole Blood",3.3,5.1,75,F|M,32,43,59.19,12.18,26,85
50822,"Potassium, Whole Blood",3.5,5.4,141,F|M,81,60,63.62,12.37,32,91
50863,Alkaline Phosphatase,35.0,105.0,1849,F,1849,0,58.82,14.55,18,91
50863,Alkaline Phosphatase,40.0,130.0,2138,M,0,2138,59.2,13.55,20,91
50868,Anion Gap,8.0,16.0,112,F|M,51,61,60.13,14.86,23,87
50868,Anion Gap,8.0,20.0,1012,F|M,434,578,59.09,13.29,21,91
50868,Anion Gap,10.0,18.0,2996,F|M,1425,1571,59.05,14.19,18,91
50910,Creatine Kinase (CK),29.0,201.0,131,F,131,0,58.23,12.85,23,85
50910,Creatine Kinase (CK),47.0,322.0,141,M,0,141,61.18,12.1,25,91
50912,Creatinine,0.4,1.1,1904,F,1904,0,58.84,14.51,18,91
50912,Creatinine,0.5,1.2,2199,M,0,2199,59.3,13.51,20,91
50924,Ferritin,13.0,150.0,232,F,232,0,59.87,15.09,18,91
50924,Ferritin,30.0,400.0,240,M,0,240,61.05,13.6,20,88
50952,Iron,30.0,160.0,185,F,185,0,59.15,15.4,21,91
50952,Iron,45.0,160.0,199,M,0,199,60.67,14.64,20,88
50960,Magnesium,1.5,2.2,4,F,4,0,19.0,0.0,19,19
50960,Magnesium,1.6,2.6,4083,F|M,1905,2178,59.07,13.97,18,91
50963,NTproBNP,0.0,93.0,12,M,0,12,37.17,5.91,23,45
50963,NTproBNP,0.0,138.0,6,M,0,6,49.83,1.33,48,52
50963,NTproBNP,0.0,177.0,17,M,0,17,57.59,4.51,48,64
50963,NTproBNP,0.0,178.0,12,F,12,0,35.0,9.28,21,46
50963,NTproBNP,0.0,192.0,8,F,8,0,47.0,1.31,46,49
50963,NTproBNP,0.0,226.0,19,F,19,0,54.63,3.85,47,61
50963,NTproBNP,0.0,229.0,31,M,0,31,67.16,3.87,56,73
50963,NTproBNP,0.0,353.0,29,F,29,0,67.1,4.06,60,74
50963,NTproBNP,0.0,624.0,19,F,19,0,75.74,4.46,68,87
50963,NTproBNP,0.0,852.0,23,M,0,23,78.7,5.19,72,91
50971,Potassium,3.3,5.1,1408,F|M,601,807,58.96,13.67,20,91
50971,Potassium,3.5,5.4,2719,F|M,1320,1399,59.13,14.15,18,91
50983,Sodium,133.0,145.0,1115,F|M,482,633,59.2,13.43,21,91
50983,Sodium,135.0,147.0,2997,F|M,1425,1572,59.05,14.19,18,91
51007,Uric Acid,2.4,5.7,794,F,794,0,59.31,15.54,18,91
51007,Uric Acid,3.4,7.0,1052,M,0,1052,59.62,14.32,20,91
51221,Hematocrit,34.0,45.0,1904,F,1904,0,58.84,14.5,18,91
51221,Hematocrit,40.0,51.0,2197,M,0,2197,59.28,13.51,20,91
51222,Hemoglobin,11.2,15.7,1904,F,1904,0,58.84,14.5,18,91
51222,Hemoglobin,13.7,17.5,2197,M,0,2197,59.28,13.51,20,91
51279,Red Blood Cells,3.9,5.2,1904,F,1904,0,58.84,14.5,18,91
51279,Red Blood Cells,4.6,6.1,2197,M,0,2197,59.28,13.51,20,91
