itemid,label,n_hadm_ids,n_hadm_unique_range,n_hadm_no_range,n_hadm_multi_range,n_ranges
50802,Base Excess,316,0,316,0,0
50804,Calculated Total CO2,316,279,37,0,1
50808,Free Calcium,232,220,12,0,1
50813,Lactate,618,383,235,0,1
50818,pCO2,315,278,37,0,1
50820,pH,404,364,40,0,1
50821,pO2,315,278,37,0,1
50822,"Potassium, Whole Blood",254,186,68,0,2
50861,Alanine Aminotransferase (ALT),5228,4752,476,0,1
50862,Albumin,4310,3680,630,0,1
50863,Alkaline Phosphatase,5232,4731,501,0,2
50868,Anion Gap,5258,4845,393,20,3
50878,Asparate Aminotransferase (AST),5243,4759,484,0,1
50882,Bicarbonate,5258,4865,393,0,1
50883,"Bilirubin, Direct",293,223,70,0,1
50884,"Bilirubin, Indirect",585,0,585,0,0
50885,"Bilirubin, Total",5169,4702,467,0,1
50889,C-Reactive Protein,347,230,117,0,1
50893,"Calcium, Total",5208,4837,371,0,1
50902,Chloride,5263,4865,398,0,1
50910,Creatine Kinase (CK),348,266,82,0,2
50911,"Creatine Kinase, MB Isoenzyme",179,161,18,0,1
50912,Creatinine,5280,4866,414,0,2
50924,Ferritin,573,431,142,0,2
50930,Globulin,1213,359,854,0,1
50931,Glucose,4942,4852,90,0,1
50935,Haptoglobin,409,343,66,0,1
50950,Immunoglobulin G,389,178,211,0,1
50952,Iron,398,313,85,0,2
50953,"Iron Binding Capacity, Total",362,282,80,0,1
50954,Lactate Dehydrogenase (LD),4163,3978,185,0,1
50956,Lipase,501,219,282,0,1
50960,Magnesium,5224,4850,374,0,2
50961,Methotrexate,893,669,224,0,1
50963,NTproBNP,242,144,98,0,10
50970,Phosphate,5203,4843,360,0,1
50971,Potassium,5275,4875,392,8,2
50976,"Protein, Total",1419,460,959,0,1
50983,Sodium,5272,4856,406,10,2
50993,Thyroid Stimulating Hormone,542,329,213,0,1
50998,Transferrin,366,286,80,0,1
51000,Triglycerides,307,240,67,0,1
51006,Urea Nitrogen,5277,4866,411,0,1
51007,Uric Acid,2673,2362,311,0,2
51009,Vancomycin,314,278,36,0,1
51010,Vitamin B12,233,166,67,0,1
51082,"Creatinine, Urine",537,0,537,0,0
51093,"Osmolality, Urine",406,0,406,0,0
51097,"Potassium, Urine",199,0,199,0,0
51100,"Sodium, Urine",416,0,416,0,0
51104,"Urea Nitrogen, Urine",227,0,227,0,0
51133,Absolute Lymphocyte Count,4907,4485,422,0,1
51143,Atypical Lymphocytes,1805,1450,355,0,1
51144,Bands,2206,1772,434,0,1
51146,Basophils,4907,4485,422,0,1
51148,Blasts,422,243,179,0,1
51200,Eosinophils,4907,4485,422,0,1
51214,"Fibrinogen, Functional",1043,938,105,0,1
51221,Hematocrit,5282,4864,418,0,2
51222,Hemoglobin,5282,4864,418,0,2
51237,INR(PT),3737,3368,369,0,1
51244,Lymphocytes,4907,4485,422,0,1
51248,MCH,5282,4864,418,0,1
51249,MCHC,5282,4864,418,0,1
51250,MCV,5282,4864,418,0,1
51251,Metamyelocytes,2125,1651,474,0,1
51254,Monocytes,4907,4485,422,0,1
51255,Myelocytes,2035,1575,460,0,1
51256,Neutrophils,4907,4485,422,0,1
51257,Nucleated Red Cells,1719,1332,387,0,1
51259,Other Cells,351,200,151,0,1
51265,Platelet Count,5282,4864,418,0,1
51269,Promyelocytes,534,278,256,0,1
51274,PT,3737,3368,369,0,1
51275,PTT,3569,3270,299,0,1
51277,RDW,5278,4860,418,0,1
51279,Red Blood Cells,5282,4864,418,0,2
51282,"Reticulocyte Count, Absolute",585,481,104,0,1
51283,"Reticulocyte Count, Automated",591,484,107,0,1
51301,White Blood Cells,5282,4865,417,0,1
51476,Epithelial Cells,1227,97,1130,0,1
51478,Glucose,277,192,85,0,1
51482,Hyaline Casts,417,292,125,0,1
51484,Ketone,503,369,134,0,1
51491,pH,2125,1624,501,0,1
51492,Protein,979,623,356,0,1
51493,RBC,1336,999,337,0,1
51498,Specific Gravity,2097,1611,486,0,1
51514,Urobilinogen,339,260,79,0,1
51516,WBC,1292,975,317,0,1
51564,ARCH-1,316,0,316,0,0
51657,HPE1,455,0,455,0,0
51659,HPE3,441,0,441,0,0
51663,HPE7,398,0,398,0,0
52069,Absolute Basophil Count,4907,4485,422,0,1
52073,Absolute Eosinophil Count,4907,4485,422,0,1
52074,Absolute Monocyte Count,4907,4485,422,0,1
52075,Absolute Neutrophil Count,5081,4486,595,0,1
52135,Immature Granulocytes,4288,3167,1121,0,1
52172,RDW-SD,5277,4859,418,0,1
