itemid,label,units,ref_range_lower,ref_range_upper,n_hadm_with_range,mean_age,std_age,pct_female
50806,"Chloride, Whole Blood",mEq/L,96.0,108.0,26426,63.0,15.2,39.4
50806,"Chloride, Whole Blood",mEq/L,100.0,112.0,9535,63.6,15.8,42.3
50811,Hemoglobin,g/dL,12.0,16.0,14994,63.8,16.0,100.0
50811,Hemoglobin,g/dL,14.0,18.0,22438,63.2,14.4,0.0
50822,"Potassium, Whole Blood",mEq/L,3.3,5.1,26484,63.0,15.8,42.8
50822,"Potassium, Whole Blood",mEq/L,3.5,5.3,12737,63.6,16.3,44.0
50822,"Potassium, Whole Blood",mEq/L,3.5,5.4,16127,61.7,15.7,41.6
50824,"Sodium, Whole Blood",mEq/L,133.0,145.0,19788,63.5,15.4,41.2
50824,"Sodium, Whole Blood",mEq/L,135.0,147.0,11506,62.4,15.2,40.2
50824,"Sodium, Whole Blood",mEq/L,135.0,148.0,9982,63.7,15.9,42.3
50852,% Hemoglobin A1c,%,4.0,6.0,24624,60.8,16.7,43.8
50852,% Hemoglobin A1c,%,4.8,5.9,19254,64.1,15.7,43.8
50856,Acetaminophen,ug/mL,5.0,25.0,2921,49.0,17.6,45.1
50856,Acetaminophen,ug/mL,10.0,30.0,18639,50.4,18.8,46.2
50862,Albumin,g/dL,3.4,4.8,17673,61.3,17.5,47.2
50862,Albumin,g/dL,3.5,5.2,134226,60.2,16.9,47.2
50863,Alkaline Phosphatase,IU/L,35.0,105.0,85646,59.5,18.1,100.0
50863,Alkaline Phosphatase,IU/L,39.0,117.0,21789,59.7,17.8,48.0
50863,Alkaline Phosphatase,IU/L,40.0,130.0,94971,59.6,16.2,0.0
50866,Ammonia,umol/L,10.0,60.0,3481,60.0,14.3,43.1
50866,Ammonia,umol/L,12.0,47.0,667,60.4,15.3,38.2
50868,Anion Gap,mEq/L,8.0,16.0,6018,59.9,17.4,46.7
50868,Anion Gap,mEq/L,8.0,20.0,262149,60.8,17.8,50.3
50868,Anion Gap,mEq/L,10.0,18.0,139512,59.9,17.3,48.9
50885,"Bilirubin, Total",mg/dL,0.0,1.5,203853,59.6,17.3,47.6
50885,"Bilirubin, Total",mg/dL,0.0,7.0,1,46.0,,0.0
50885,"Bilirubin, Total",mg/dL,0.0,12.0,1,46.0,,0.0
50893,"Calcium, Total",mg/dL,8.4,10.2,46571,62.2,18.0,50.8
50893,"Calcium, Total",mg/dL,8.4,10.3,325676,60.7,17.3,49.6
50893,"Calcium, Total",mg/dL,8.8,10.8,80,19.0,0.8,38.8
50894,Calculated Free Testosterone,pg/mL,0.57,11.0,16,42.4,20.7,100.0
50894,Calculated Free Testosterone,pg/mL,60.0,185.0,178,51.5,17.5,1.1
50910,Creatine Kinase (CK),IU/L,26.0,140.0,10251,69.2,16.3,100.0
50910,Creatine Kinase (CK),IU/L,29.0,201.0,31571,65.4,17.3,100.0
50910,Creatine Kinase (CK),IU/L,38.0,174.0,10472,65.1,15.9,0.0
50910,Creatine Kinase (CK),IU/L,47.0,322.0,37220,63.1,16.1,0.0
50912,Creatinine,mg/dL,0.4,1.1,208055,60.2,18.8,100.0
50912,Creatinine,mg/dL,0.5,1.2,207792,60.3,16.6,0.0
50916,DHEA-Sulfate,ug/dL,9.4,246.0,9,66.4,3.7,100.0
50916,DHEA-Sulfate,ug/dL,12.0,154.0,15,79.7,5.7,100.0
50916,DHEA-Sulfate,ug/dL,16.2,123.0,5,74.8,6.7,0.0
50916,DHEA-Sulfate,ug/dL,18.9,205.0,14,57.4,4.5,100.0
50916,DHEA-Sulfate,ug/dL,33.6,249.0,9,69.9,2.5,0.0
50916,DHEA-Sulfate,ug/dL,35.4,256.0,10,45.2,3.0,100.0
50916,DHEA-Sulfate,ug/dL,44.3,331.0,2,43.5,1.5,0.0
50916,DHEA-Sulfate,ug/dL,51.7,295.0,11,57.3,3.6,0.0
50916,DHEA-Sulfate,ug/dL,60.9,337.0,8,36.9,4.3,100.0
50916,DHEA-Sulfate,ug/dL,88.9,427.0,5,34.0,4.0,0.0
50916,DHEA-Sulfate,ug/dL,98.8,340.0,11,26.4,4.6,100.0
50916,DHEA-Sulfate,ug/dL,148.0,407.0,2,20.0,0.0,100.0
50916,DHEA-Sulfate,ug/dL,160.0,449.0,3,27.3,3.1,0.0
50916,DHEA-Sulfate,ug/dL,211.0,492.0,1,23.0,,0.0
50917,Digoxin,ng/mL,0.6,1.2,1299,69.9,13.7,45.5
50917,Digoxin,ng/mL,0.9,2.0,3762,73.0,13.1,44.8
50921,Estradiol,pg/mL,0.0,500.0,76,41.8,17.3,100.0
50921,Estradiol,pg/mL,8.0,45.0,10,36.6,12.2,0.0
50922,Ethanol,mg/dL,0.0,10.0,595,52.0,19.4,43.9
50922,Ethanol,mg/dL,10.0,10.0,19610,50.0,18.4,44.2
50924,Ferritin,ng/mL,13.0,150.0,23586,60.8,18.5,100.0
50924,Ferritin,ng/mL,30.0,400.0,23510,61.3,16.4,0.0
50927,Gamma Glutamyltransferase,IU/L,5.0,36.0,2605,59.6,17.3,100.0
50927,Gamma Glutamyltransferase,IU/L,8.0,61.0,2489,59.4,15.5,0.0
50931,Glucose,mg/dL,60.0,110.0,97,19.0,0.8,41.2
50931,Glucose,mg/dL,70.0,100.0,353248,60.3,17.5,49.6
50931,Glucose,mg/dL,70.0,105.0,53164,61.6,18.3,50.9
50945,Homocysteine,umol/L,0.0,15.0,253,54.8,16.4,53.4
50945,Homocysteine,umol/L,4.5,12.4,232,55.9,18.0,48.3
50952,Iron,ug/dL,30.0,160.0,22517,60.9,18.5,100.0
50952,Iron,ug/dL,45.0,160.0,22510,61.3,16.4,0.0
50958,Luteinizing Hormone,mIU/mL,2.0,10.0,181,53.6,17.4,0.0
50958,Luteinizing Hormone,mIU/mL,2.0,100.0,218,50.6,18.7,100.0
50960,Magnesium,mg/dL,1.5,2.2,1695,19.2,0.9,54.7
50960,Magnesium,mg/dL,1.6,2.6,377434,61.1,17.2,49.6
50963,NTproBNP,pg/mL,0.0,93.0,812,33.6,6.7,0.2
50963,NTproBNP,pg/mL,0.0,138.0,1002,47.6,4.0,0.0
50963,NTproBNP,pg/mL,0.0,177.0,2384,56.1,4.7,0.0
50963,NTproBNP,pg/mL,0.0,178.0,938,32.4,6.8,99.9
50963,NTproBNP,pg/mL,0.0,192.0,809,46.8,4.7,100.0
50963,NTproBNP,pg/mL,0.0,226.0,1970,56.1,4.9,99.9
50963,NTproBNP,pg/mL,0.0,229.0,3372,65.9,4.8,0.0
50963,NTproBNP,pg/mL,0.0,353.0,2994,65.7,5.0,100.0
50963,NTproBNP,pg/mL,0.0,624.0,6113,80.5,7.0,100.0
50963,NTproBNP,pg/mL,0.0,852.0,5199,79.6,6.8,0.0
50971,Potassium,mEq/L,3.3,5.1,285192,60.8,17.7,50.0
50971,Potassium,mEq/L,3.5,5.4,126770,59.9,17.3,48.8
50973,Prolactin,ng/mL,4.0,15.0,483,53.8,18.2,0.0
50973,Prolactin,ng/mL,5.0,23.0,594,50.9,19.4,100.0
50976,"Protein, Total",g/dL,4.6,7.5,1,20.0,,0.0
50976,"Protein, Total",g/dL,6.4,8.3,17440,63.3,15.7,45.8
50978,Rapamycin,ng/mL,5.0,12.0,278,55.2,11.3,37.8
50978,Rapamycin,ng/mL,5.0,15.0,953,54.8,12.4,42.9
50982,Sex Hormone Binding Globulin,nmol/L,14.0,48.0,213,52.5,17.6,0.9
50982,Sex Hormone Binding Globulin,nmol/L,14.0,69.0,10,64.6,10.0,100.0
50982,Sex Hormone Binding Globulin,nmol/L,26.0,110.0,13,28.6,8.2,100.0
50983,Sodium,mEq/L,133.0,145.0,270390,60.8,17.7,50.1
50983,Sodium,mEq/L,135.0,147.0,139838,59.9,17.3,48.9
50988,Testosterone,ng/dL,6.0,82.0,35,47.7,21.0,100.0
50988,Testosterone,ng/dL,280.0,800.0,400,55.9,17.8,0.5
50989,"Testosterone, Free",pg/mL,0.0,1.6,3,68.0,6.5,100.0
50989,"Testosterone, Free",pg/mL,0.0,2.1,1,51.0,,100.0
50989,"Testosterone, Free",pg/mL,0.0,2.6,2,30.0,1.0,100.0
50989,"Testosterone, Free",pg/mL,5.6,19.0,20,74.2,9.9,0.0
50989,"Testosterone, Free",pg/mL,7.2,23.0,17,52.9,5.3,0.0
50989,"Testosterone, Free",pg/mL,8.8,27.0,8,28.9,4.5,0.0
51007,Uric Acid,mg/dL,2.4,5.7,10628,50.5,20.3,100.0
51007,Uric Acid,mg/dL,3.4,7.0,9467,60.9,15.3,0.0
51080,Creatinine Clearance,mL/min,75.0,115.0,159,66.1,13.5,100.0
51080,Creatinine Clearance,mL/min,85.0,125.0,158,63.1,14.7,0.0
51133,Absolute Lymphocyte Count,K/uL,1.0,3.8,17,19.2,0.8,52.9
51133,Absolute Lymphocyte Count,K/uL,1.2,3.7,100206,59.1,17.5,48.5
51140,Antithrombin,%,69.0,121.0,148,48.6,14.9,46.6
51140,Antithrombin,%,80.0,130.0,528,47.4,15.4,46.2
51146,Basophils,%,0.0,1.0,100223,59.1,17.5,48.5
51146,Basophils,%,0.0,2.0,83731,59.2,18.3,51.0
51200,Eosinophils,%,0.0,4.0,83731,59.2,18.3,51.0
51200,Eosinophils,%,1.0,4.0,17,19.2,0.8,52.9
51200,Eosinophils,%,1.0,7.0,100207,59.1,17.5,48.5
51202,Factor II,%,50.0,150.0,9,68.2,10.9,33.3
51202,Factor II,%,85.0,145.0,154,57.7,17.5,34.4
51203,Factor IX,%,50.0,150.0,21,58.5,15.3,19.0
51203,Factor IX,%,50.0,200.0,5,49.4,18.0,40.0
51203,Factor IX,%,70.0,165.0,127,56.0,20.4,34.6
51204,Factor V,%,50.0,140.0,222,57.6,16.9,36.9
51204,Factor V,%,50.0,150.0,26,59.3,15.6,34.6
51205,Factor VII,%,50.0,150.0,30,56.9,18.7,30.0
