itemid,label,classification,stratified_by_sex,stratified_by_age,n_groups,n_hadm,smallest_group_n_hadm,min_pct_female,max_pct_female,min_mean_age,max_mean_age,age_spread_years
51221,Hematocrit,sex only,True,False,4,430965,102643,0.0,100.0,57.6,60.4,2.8
51222,Hemoglobin,sex only,True,False,4,422676,100218,0.0,100.0,57.9,60.3,2.4
51279,Red Blood Cells,sex only,True,False,4,421716,100152,0.0,100.0,57.9,60.3,2.4
50912,Creatinine,sex only,True,False,2,415847,207792,0.0,100.0,60.2,60.3,0.1
50863,Alkaline Phosphatase,sex only,True,False,3,202406,21789,0.0,100.0,59.5,59.7,0.2
50910,Creatine Kinase (CK),sex only,True,False,4,89514,10251,0.0,100.0,63.1,69.2,6.1
50924,Ferritin,sex only,True,False,2,47096,23510,0.0,100.0,60.8,61.3,0.5
50952,Iron,sex only,True,False,2,45027,22510,0.0,100.0,60.9,61.3,0.4
50811,Hemoglobin,sex only,True,False,2,37432,14994,0.0,100.0,63.2,63.8,0.6
51288,Sedimentation Rate,sex only,True,False,2,10125,4987,0.0,100.0,56.4,56.6,0.2
50927,Gamma Glutamyltransferase,sex only,True,False,2,5094,2489,0.0,100.0,59.4,59.6,0.2
52024,"Creatinine, Whole Blood",sex only,True,False,2,4007,1715,0.0,99.8,61.1,62.4,1.3
50988,Testosterone,sex only,True,False,2,435,35,0.5,100.0,47.7,55.9,8.2
51080,Creatinine Clearance,sex only,True,False,2,317,158,0.0,100.0,63.1,66.1,3.0
50894,Calculated Free Testosterone,sex only,True,False,2,194,16,1.1,100.0,42.4,51.5,9.1
51007,Uric Acid,both,True,True,2,20095,9467,0.0,100.0,50.5,60.9,10.4
50982,Sex Hormone Binding Globulin,both,True,True,3,236,10,0.9,100.0,28.6,64.6,36.0
50916,DHEA-Sulfate,both,True,True,14,105,1,0.0,100.0,20.0,79.7,59.7
50989,"Testosterone, Free",both,True,True,6,51,1,0.0,100.0,28.9,74.2,45.3
50931,Glucose,age only,False,True,3,406509,97,41.2,50.9,19.0,61.6,42.6
50960,Magnesium,age only,False,True,2,379129,1695,49.6,54.7,19.2,61.1,41.9
50893,"Calcium, Total",age only,False,True,3,372327,80,38.8,50.8,19.0,62.2,43.2
51274,PT,age only,False,True,3,273306,2,47.3,100.0,61.5,80.5,19.0
50885,"Bilirubin, Total",age only,False,True,3,203855,1,0.0,47.6,46.0,59.6,13.6
51200,Eosinophils,age only,False,True,3,183955,17,48.5,52.9,19.2,59.2,40.0
51244,Lymphocytes,age only,False,True,3,183955,17,48.5,52.9,19.2,59.2,40.0
51254,Monocytes,age only,False,True,3,183955,17,48.5,52.9,19.2,59.2,40.0
51256,Neutrophils,age only,False,True,3,183955,17,48.5,52.9,19.2,59.2,40.0
52075,Absolute Neutrophil Count,age only,False,True,2,100230,17,48.5,52.9,19.2,59.1,39.9
52073,Absolute Eosinophil Count,age only,False,True,2,100229,17,48.5,52.9,19.2,59.1,39.9
51133,Absolute Lymphocyte Count,age only,False,True,2,100223,17,48.5,52.9,19.2,59.1,39.9
52069,Absolute Basophil Count,age only,False,True,2,100223,17,48.5,52.9,19.2,59.1,39.9
52074,Absolute Monocyte Count,age only,False,True,2,100223,17,48.5,52.9,19.2,59.1,39.9
52135,Immature Granulocytes,age only,False,True,2,69899,13,46.2,48.6,19.1,59.0,39.9
50976,"Protein, Total",age only,False,True,2,17441,1,0.0,45.8,20.0,63.3,43.3
51282,"Reticulocyte Count, Absolute",age only,False,True,2,16986,3,47.5,66.7,18.0,61.4,43.4
51297,Thrombin,age only,False,True,5,1315,7,42.9,54.1,46.9,60.1,13.2
51202,Factor II,age only,False,True,2,163,9,33.3,34.4,57.7,68.2,10.5
51209,Factor XI,age only,False,True,3,109,4,25.0,50.0,57.9,73.5,15.6
51265,Platelet Count,neither,False,False,2,424506,211703,50.6,52.0,58.9,59.9,1.0
51301,White Blood Cells,neither,False,False,2,421952,209787,50.7,52.2,58.9,59.9,1.0
51249,MCHC,neither,False,False,2,421719,209648,50.7,52.2,58.9,59.9,1.0
51248,MCH,neither,False,False,2,421715,209644,50.7,52.2,58.9,59.9,1.0
50971,Potassium,neither,False,False,2,411962,126770,48.8,50.0,59.9,60.8,0.9
50983,Sodium,neither,False,False,2,410228,139838,48.9,50.1,59.9,60.8,0.9
50868,Anion Gap,neither,False,False,3,407679,6018,46.7,50.3,59.9,60.8,0.9
51275,PTT,neither,False,False,2,262953,65639,47.2,48.5,61.5,62.8,1.3
51146,Basophils,neither,False,False,2,183954,83731,48.5,51.0,59.1,59.2,0.1
50862,Albumin,neither,False,False,2,151899,17673,47.2,47.2,60.2,61.3,1.1
50822,"Potassium, Whole Blood",neither,False,False,3,55348,12737,41.6,44.0,61.7,63.6,1.9
51214,"Fibrinogen, Functional",neither,False,False,2,42259,8597,43.2,47.5,59.2,60.2,1.0
50824,"Sodium, Whole Blood",neither,False,False,3,41276,9982,40.2,42.3,62.4,63.7,1.3
50806,"Chloride, Whole Blood",neither,False,False,2,35961,9535,39.4,42.3,63.0,63.6,0.6
51283,"Reticulocyte Count, Automated",neither,False,False,2,26489,9637,47.5,51.7,61.4,62.2,0.8
50856,Acetaminophen,neither,False,False,2,21560,2921,45.1,46.2,49.0,50.4,1.4
52285,"RBC, CSF",neither,False,False,2,6847,2601,50.0,51.9,54.9,56.3,1.4
50917,Digoxin,neither,False,False,2,5061,1299,44.8,45.5,69.9,73.0,3.1
50866,Ammonia,neither,False,False,2,4148,667,38.2,43.1,60.0,60.4,0.4
51245,"Lymphocytes, Percent",neither,False,False,2,2289,993,28.5,28.9,49.6,50.6,1.0
51300,WBC Count,neither,False,False,2,2289,993,28.5,28.9,49.6,50.6,1.0
52312,"Total Nucleated Cells, Joint",neither,False,False,2,2244,918,39.7,40.0,62.5,62.8,0.3
51383,"RBC, Joint Fluid",neither,False,False,2,1975,873,38.6,39.7,62.5,62.9,0.4
51284,"Reticulocyte Count, Manual",neither,False,False,2,1264,315,50.8,52.6,52.9,58.2,5.3
50978,Rapamycin,neither,False,False,2,1231,278,37.8,42.9,54.8,55.2,0.4
51206,Factor VIII,neither,False,False,2,958,142,41.4,49.3,52.6,55.9,3.3
51271,"Protein C, Functional",neither,False,False,2,735,225,50.2,52.0,47.2,50.3,3.1
51273,"Protein S, Functional",neither,False,False,2,712,216,50.2,51.9,47.3,50.0,2.7
51140,Antithrombin,neither,False,False,2,676,148,46.2,46.6,47.4,48.6,1.2
50945,Homocysteine,neither,False,False,2,485,232,48.3,53.4,54.8,55.9,1.1
51299,Von Willebrand Factor Antigen,neither,False,False,2,370,83,51.9,59.0,51.0,56.6,5.6
51205,Factor VII,neither,False,False,2,363,30,30.0,36.9,56.9,57.2,0.3
51223,Hemoglobin A2,neither,False,False,3,327,56,55.1,57.1,43.4,49.0,5.6
51204,Factor V,neither,False,False,2,248,26,34.6,36.9,57.6,59.3,1.7
51208,Factor X,neither,False,False,2,203,20,33.3,35.0,57.7,61.7,4.0
51621,Ethylene Glycol,neither,False,False,2,161,10,41.1,60.0,47.8,52.6,4.8
51203,Factor IX,neither,False,False,3,153,5,19.0,40.0,49.4,58.5,9.1
