cohort,feature_set,fold,feature,itemid,representation,importance
mimic_cohort_NF_30_days,cont,0,cont_50801,50801,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50802,50802,cont,0.002193973785082885
mimic_cohort_NF_30_days,cont,0,cont_50803,50803,cont,0.00013916441694268827
mimic_cohort_NF_30_days,cont,0,cont_50804,50804,cont,0.0019276138156942649
mimic_cohort_NF_30_days,cont,0,cont_50805,50805,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50806,50806,cont,0.0002191052290300904
mimic_cohort_NF_30_days,cont,0,cont_50808,50808,cont,0.001951763796475958
mimic_cohort_NF_30_days,cont,0,cont_50809,50809,cont,0.0004713169518681209
mimic_cohort_NF_30_days,cont,0,cont_50810,50810,cont,0.00010343372439327622
mimic_cohort_NF_30_days,cont,0,cont_50811,50811,cont,0.00028850722937969587
mimic_cohort_NF_30_days,cont,0,cont_50813,50813,cont,0.002899814297549024
mimic_cohort_NF_30_days,cont,0,cont_50814,50814,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50815,50815,cont,3.553579110000554e-05
mimic_cohort_NF_30_days,cont,0,cont_50816,50816,cont,0.0001276291073318586
mimic_cohort_NF_30_days,cont,0,cont_50817,50817,cont,0.00011819353838189902
mimic_cohort_NF_30_days,cont,0,cont_50818,50818,cont,0.0019599296623023536
mimic_cohort_NF_30_days,cont,0,cont_50819,50819,cont,5.1063204122599556e-05
mimic_cohort_NF_30_days,cont,0,cont_50820,50820,cont,0.0026665007111351387
mimic_cohort_NF_30_days,cont,0,cont_50821,50821,cont,0.0012514369525597302
mimic_cohort_NF_30_days,cont,0,cont_50822,50822,cont,0.0009317229880387763
mimic_cohort_NF_30_days,cont,0,cont_50823,50823,cont,6.6526610644257705e-06
mimic_cohort_NF_30_days,cont,0,cont_50824,50824,cont,0.0005208253505630641
mimic_cohort_NF_30_days,cont,0,cont_50825,50825,cont,0.0010025773637198684
mimic_cohort_NF_30_days,cont,0,cont_50826,50826,cont,1.9752518813636966e-05
mimic_cohort_NF_30_days,cont,0,cont_50829,50829,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50830,50830,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50831,50831,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50832,50832,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50833,50833,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50834,50834,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50835,50835,cont,1.3740038472107724e-05
mimic_cohort_NF_30_days,cont,0,cont_50836,50836,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50837,50837,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50838,50838,cont,1.187335092348285e-05
mimic_cohort_NF_30_days,cont,0,cont_50839,50839,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50840,50840,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50841,50841,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50842,50842,cont,7.094237708131345e-05
mimic_cohort_NF_30_days,cont,0,cont_50843,50843,cont,3.4951592045018253e-06
mimic_cohort_NF_30_days,cont,0,cont_50844,50844,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50847,50847,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50848,50848,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50849,50849,cont,9.595848326848354e-07
mimic_cohort_NF_30_days,cont,0,cont_50850,50850,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50851,50851,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50853,50853,cont,0.0012172820841181919
mimic_cohort_NF_30_days,cont,0,cont_50854,50854,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50855,50855,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50856,50856,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50858,50858,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50859,50859,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50860,50860,cont,0.0
mimic_cohort_NF_30_days,cont,0,cont_50861,50861,cont,0.017108207372454543
mimic_cohort_NF_30_days,cont,0,cont_50862,50862,cont,0.016521685257822796
mimic_cohort_NF_30_days,cont,0,cont_50863,50863,cont,0.015227370566906831
mimic_cohort_NF_30_days,cont,0,cont_50866,50866,cont,2.3971197977871823e-05
mimic_cohort_NF_30_days,cont,0,cont_50867,50867,cont,0.001017252760907392
mimic_cohort_NF_30_days,cont,0,cont_50868,50868,cont,0.0164158807613282
