cohort,feature_set,fold,feature,itemid,representation,importance
mimic_cohort_aplasia_45_days,cont,0,cont_50801,50801,cont,8.520498072650103e-06
mimic_cohort_aplasia_45_days,cont,0,cont_50802,50802,cont,0.0017187024685197325
mimic_cohort_aplasia_45_days,cont,0,cont_50803,50803,cont,9.41807009284542e-05
mimic_cohort_aplasia_45_days,cont,0,cont_50804,50804,cont,0.002211650487361942
mimic_cohort_aplasia_45_days,cont,0,cont_50805,50805,cont,2.397216472369797e-05
mimic_cohort_aplasia_45_days,cont,0,cont_50806,50806,cont,0.00014169156635921598
mimic_cohort_aplasia_45_days,cont,0,cont_50808,50808,cont,0.0013955518753898638
mimic_cohort_aplasia_45_days,cont,0,cont_50809,50809,cont,0.0001614558960033661
mimic_cohort_aplasia_45_days,cont,0,cont_50810,50810,cont,0.0001215678376233962
mimic_cohort_aplasia_45_days,cont,0,cont_50811,50811,cont,7.447836829973805e-05
mimic_cohort_aplasia_45_days,cont,0,cont_50813,50813,cont,0.0022124531844814393
mimic_cohort_aplasia_45_days,cont,0,cont_50814,50814,cont,5.646390752668199e-05
mimic_cohort_aplasia_45_days,cont,0,cont_50815,50815,cont,2.143190183693743e-05
mimic_cohort_aplasia_45_days,cont,0,cont_50816,50816,cont,6.299279306966813e-05
mimic_cohort_aplasia_45_days,cont,0,cont_50817,50817,cont,0.00023012037173859894
mimic_cohort_aplasia_45_days,cont,0,cont_50818,50818,cont,0.001645538743868557
mimic_cohort_aplasia_45_days,cont,0,cont_50819,50819,cont,6.026008120676376e-05
mimic_cohort_aplasia_45_days,cont,0,cont_50820,50820,cont,0.003501422389768059
mimic_cohort_aplasia_45_days,cont,0,cont_50821,50821,cont,0.0013397238671753139
mimic_cohort_aplasia_45_days,cont,0,cont_50822,50822,cont,0.0013484480210229995
mimic_cohort_aplasia_45_days,cont,0,cont_50823,50823,cont,3.101354667699519e-05
mimic_cohort_aplasia_45_days,cont,0,cont_50824,50824,cont,0.0005280123839092544
mimic_cohort_aplasia_45_days,cont,0,cont_50825,50825,cont,0.0006890639271087206
mimic_cohort_aplasia_45_days,cont,0,cont_50826,50826,cont,6.304594730391851e-05
mimic_cohort_aplasia_45_days,cont,0,cont_50829,50829,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50830,50830,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50831,50831,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50832,50832,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50833,50833,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50834,50834,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50835,50835,cont,3.4456292343489033e-05
mimic_cohort_aplasia_45_days,cont,0,cont_50836,50836,cont,1.9063305424654196e-05
mimic_cohort_aplasia_45_days,cont,0,cont_50837,50837,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50838,50838,cont,1.8934322245935194e-07
mimic_cohort_aplasia_45_days,cont,0,cont_50839,50839,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50840,50840,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50841,50841,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50842,50842,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50843,50843,cont,1.8149584810078332e-05
mimic_cohort_aplasia_45_days,cont,0,cont_50844,50844,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50847,50847,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50848,50848,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50849,50849,cont,2.7771591037200926e-07
mimic_cohort_aplasia_45_days,cont,0,cont_50850,50850,cont,2.6715955956273035e-06
mimic_cohort_aplasia_45_days,cont,0,cont_50851,50851,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50853,50853,cont,0.0007007177832133569
mimic_cohort_aplasia_45_days,cont,0,cont_50854,50854,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50855,50855,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50856,50856,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50858,50858,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50859,50859,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50860,50860,cont,0.0
mimic_cohort_aplasia_45_days,cont,0,cont_50861,50861,cont,0.01795622148876861
mimic_cohort_aplasia_45_days,cont,0,cont_50862,50862,cont,0.018513468644638487
mimic_cohort_aplasia_45_days,cont,0,cont_50863,50863,cont,0.014288658503078287
mimic_cohort_aplasia_45_days,cont,0,cont_50866,50866,cont,0.00013421580562899687
mimic_cohort_aplasia_45_days,cont,0,cont_50867,50867,cont,0.0008281650207741739
mimic_cohort_aplasia_45_days,cont,0,cont_50868,50868,cont,0.010862765268398373
