itemid,cohort,label,n_admissions,n_value,n_no_value,n_value_and_range,n_value_no_range,n_range_no_value
50803,cohort_C80-D61_aplasia,"Calculated Bicarbonate, Whole Blood",4539,21,4518,21,0,2
50804,cohort_C80-D61_aplasia,Calculated Total CO2,4539,307,4232,307,0,11
50805,cohort_C80-D61_aplasia,Carboxyhemoglobin,4539,4,4535,4,0,0
50806,cohort_C80-D61_aplasia,"Chloride, Whole Blood",4539,47,4492,47,0,1
50808,cohort_C80-D61_aplasia,Free Calcium,4539,212,4327,212,0,16
50809,cohort_C80-D61_aplasia,Glucose (Blood Gas),4539,54,4485,54,0,1
50811,cohort_C80-D61_aplasia,Hemoglobin (Blood Gas),4539,44,4495,44,0,0
50813,cohort_C80-D61_aplasia,Lactate,4539,378,4161,378,0,58
50814,cohort_C80-D61_aplasia,Methemoglobin,4539,6,4533,6,0,0
50818,cohort_C80-D61_aplasia,pCO2,4539,309,4230,309,0,7
50820,cohort_C80-D61_aplasia,pH,4539,379,4160,379,0,9
50821,cohort_C80-D61_aplasia,pO2,4539,269,4270,269,0,47
50822,cohort_C80-D61_aplasia,"Potassium, Whole Blood",4539,183,4356,183,0,33
50824,cohort_C80-D61_aplasia,"Sodium, Whole Blood",4539,116,4423,116,0,7
50853,cohort_C80-D61_aplasia,25-OH Vitamin D,4539,108,4431,108,0,63
50856,cohort_C80-D61_aplasia,Acetaminophen,4539,1,4538,1,0,25
50861,cohort_C80-D61_aplasia,Alanine Aminotransferase (ALT),4539,4002,537,4002,0,10
50862,cohort_C80-D61_aplasia,Albumin,4539,3042,1497,3042,0,0
50863,cohort_C80-D61_aplasia,Alkaline Phosphatase,4539,3987,552,3987,0,0
50866,cohort_C80-D61_aplasia,Ammonia,4539,23,4516,23,0,3
50867,cohort_C80-D61_aplasia,Amylase,4539,110,4429,110,0,0
50868,cohort_C80-D61_aplasia,Anion Gap,4539,3033,1506,3033,0,1069
50877,cohort_C80-D61_aplasia,Anti-Thyroglobulin Antibodies,4539,0,4539,0,0,4
50878,cohort_C80-D61_aplasia,Asparate Aminotransferase (AST),4539,4003,536,4003,0,9
50881,cohort_C80-D61_aplasia,Beta-2 Microglobulin,4539,97,4442,97,0,0
50882,cohort_C80-D61_aplasia,Bicarbonate,4539,4102,437,4102,0,0
50883,cohort_C80-D61_aplasia,"Bilirubin, Direct",4539,188,4351,188,0,113
50885,cohort_C80-D61_aplasia,"Bilirubin, Total",4539,3934,605,3934,0,63
50889,cohort_C80-D61_aplasia,C-Reactive Protein,4539,203,4336,203,0,35
50890,cohort_C80-D61_aplasia,C3,4539,20,4519,20,0,0
50891,cohort_C80-D61_aplasia,C4,4539,21,4518,21,0,0
50893,cohort_C80-D61_aplasia,"Calcium, Total",4539,4074,465,4074,0,0
50894,cohort_C80-D61_aplasia,Calculated Free Testosterone,4539,2,4537,2,0,0
50895,cohort_C80-D61_aplasia,Calculated TBG,4539,4,4535,4,0,0
50896,cohort_C80-D61_aplasia,Calculated Thyroxine (T4) Index,4539,4,4535,4,0,0
50899,cohort_C80-D61_aplasia,Carbamazepine,4539,0,4539,0,0,0
50902,cohort_C80-D61_aplasia,Chloride,4539,4102,437,4102,0,0
50904,cohort_C80-D61_aplasia,"Cholesterol, HDL",4539,86,4453,71,15,1
50905,cohort_C80-D61_aplasia,"Cholesterol, LDL, Calculated",4539,8,4531,8,0,69
50906,cohort_C80-D61_aplasia,"Cholesterol, LDL, Measured",4539,8,4531,8,0,2
50907,cohort_C80-D61_aplasia,"Cholesterol, Total",4539,119,4420,119,0,1
50908,cohort_C80-D61_aplasia,CK-MB Index,4539,6,4533,6,0,0
50910,cohort_C80-D61_aplasia,Creatine Kinase (CK),4539,0,4539,0,0,272
50911,cohort_C80-D61_aplasia,"Creatine Kinase, MB Isoenzyme",4539,176,4363,176,0,65
50912,cohort_C80-D61_aplasia,Creatinine,4539,4103,436,4103,0,0
50914,cohort_C80-D61_aplasia,Cyclosporin,4539,0,4539,0,0,4
50915,cohort_C80-D61_aplasia,D-Dimer (Chemistry),4539,0,4539,0,0,12
50916,cohort_C80-D61_aplasia,DHEA-Sulfate,4539,1,4538,1,0,0
50917,cohort_C80-D61_aplasia,Digoxin,4539,5,4534,5,0,2
50924,cohort_C80-D61_aplasia,Ferritin,4539,472,4067,472,0,0
50925,cohort_C80-D61_aplasia,Folate,4539,121,4418,121,0,33
50927,cohort_C80-D61_aplasia,Gamma Glutamyltransferase,4539,61,4478,61,0,0
50930,cohort_C80-D61_aplasia,Globulin,4539,281,4258,281,0,0
