cohort,n,n_positive,n_negative,n_subjects,prevalence
cohort_C15-G47,274,49,225,133,0.178832
cohort_C18-D63,734,188,546,385,0.256131
cohort_C18-K91,843,73,770,388,0.086595
cohort_C25-G47,1064,174,890,584,0.163534
cohort_C53-A41,190,48,142,69,0.252632
cohort_C56-E83,507,136,371,232,0.268245
cohort_C56-K63,638,66,572,249,0.103448
cohort_C83-N17,1640,472,1168,397,0.287805
cohort_C85-I42,1346,40,1306,328,0.029718
cohort_C91-B25,994,51,943,348,0.051308
cohort_C92-A41,891,252,639,316,0.282828
cohort_E10-N28,2650,73,2577,857,0.027547
cohort_E11-G96,28874,79,28795,12478,0.002736
cohort_E11-I50,17920,3317,14603,9201,0.1851
cohort_E11-L30,30197,539,29658,12411,0.017849
cohort_E16-E87,490,187,303,229,0.381633
cohort_E83-G47,10036,1714,8322,4198,0.170785
cohort_F10-F06,11491,72,11419,4403,0.006266
cohort_F10-K63,12291,281,12010,4336,0.022862
cohort_F11-J15,5215,219,4996,1852,0.041994
cohort_F17-C22,16131,107,16024,7131,0.006633
cohort_F19-E87,1768,420,1348,629,0.237557
cohort_F23-F20,190,45,145,98,0.236842
cohort_G20-A04,1407,80,1327,685,0.056859
cohort_G20-G24,1430,37,1393,681,0.025874
cohort_G25-J69,3513,280,3233,1245,0.079704
cohort_G40-I46,5949,122,5827,2331,0.020508
cohort_G50-K59,251,69,182,117,0.2749
cohort_G91-G97,582,15,567,288,0.025773
cohort_G96-J96,271,26,245,161,0.095941
cohort_G96-N17,252,37,215,156,0.146825
cohort_H43-H54,445,54,391,122,0.121348
cohort_H81-E55,1043,42,1001,453,0.040268
cohort_I10-I51,43338,778,42560,20525,0.017952
cohort_I11-N18,7616,1696,5920,3850,0.222689
cohort_I20-K29,599,44,555,217,0.073456
cohort_I21-I97,6454,295,6159,3222,0.045708
cohort_I25-A04,24054,1221,22833,10981,0.050761
cohort_I25-D50,21261,2825,18436,10383,0.132872
cohort_I25-N16,24372,27,24345,11191,0.001108
cohort_I35-D64,3312,847,2465,1738,0.255737
cohort_I35-I46,4887,136,4751,2128,0.027829
cohort_I42-E87,2646,1067,1579,1468,0.40325
cohort_I50-J06,21978,676,21302,9296,0.030758
cohort_I69-J15,3914,208,3706,1664,0.053143
cohort_I70-A49,4230,44,4186,1657,0.010402
cohort_J18-A49,10464,25,10439,4102,0.002389
cohort_J18-B96,8154,1368,6786,3516,0.16777
cohort_J18-J09,9231,75,9156,4093,0.008125
cohort_J38-J06,1019,24,995,392,0.023553
cohort_J38-J96,546,159,387,250,0.291209
cohort_J45-E27,14294,311,13983,5750,0.021757
cohort_J98-A04,5931,344,5587,2679,0.058
cohort_K04-N17,274,55,219,120,0.20073
cohort_K08-F41,317,37,280,110,0.116719
cohort_K21-F33,35674,544,35130,14402,0.015249
cohort_K22-M80,4857,79,4778,1774,0.016265
cohort_K25-A04,1718,110,1608,674,0.064028
cohort_K25-B96,1389,228,1161,578,0.164147
cohort_K25-K91,1729,99,1630,671,0.057259
cohort_K30-K31,401,123,278,130,0.306733
cohort_K44-E66,2292,146,2146,1009,0.0637
cohort_K44-K43,2984,56,2928,1210,0.018767
cohort_K51-K63,1269,62,1207,523,0.048857
cohort_K59-J69,16792,1196,15596,6188,0.071224
cohort_K70-A04,3798,235,3563,1451,0.061875
cohort_K70-G31,4094,134,3960,1490,0.032731
cohort_K85-K83,1945,166,1779,935,0.085347
cohort_K92-I86,5528,127,5401,2190,0.022974
cohort_K92-J96,4774,1081,3693,1805,0.226435
cohort_L02-A49,2619,16,2603,1037,0.006109
cohort_L02-I87,2796,95,2701,990,0.033977
cohort_M06-E86,1933,416,1517,920,0.21521
cohort_M06-I25,1581,225,1356,761,0.142315
cohort_M06-J15,2319,92,2227,984,0.039672
cohort_M06-M84,2468,69,2399,991,0.027958
cohort_M16-M00,1780,37,1743,762,0.020787
cohort_M19-E53,8491,201,8290,3520,0.023672
cohort_M25-D47,8892,228,8664,3052,0.025641
cohort_M32-E86,602,113,489,273,0.187708
cohort_M33-J18,106,18,88,46,0.169811
cohort_M35-N30,1486,66,1420,609,0.044415
cohort_M43-M96,705,48,657,322,0.068085
cohort_M47-N39,2456,437,2019,1128,0.177932
cohort_M48-M96,6128,118,6010,2682,0.019256
cohort_M54-M19,13339,1044,12295,4809,0.078267
cohort_M62-H91,3168,53,3115,1086,0.01673
cohort_M62-M35,2680,11,2669,1095,0.004104
cohort_M70-M19,354,46,308,123,0.129944
cohort_M70-M48,402,25,377,131,0.062189
cohort_N20-N39,938,198,740,459,0.211087
cohort_N36-A41,214,58,156,89,0.271028
cohort_N40-N10,9684,108,9576,4463,0.011152
cohort_N80-K59,373,75,298,200,0.201072
cohort_N81-N99,254,12,242,155,0.047244
cohort_N92-N89,466,18,448,173,0.038627
cohort_O30-O72,149,35,114,93,0.234899
cohort_O32-O72,379,29,350,302,0.076517
cohort_Q21-J15,1123,51,1072,520,0.045414
cohort_Q61-J18,502,68,434,200,0.135458
